"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2018","Asian","Georgia","24","444,690","5.40","5.24","634"
"2018","Asian","Hawaii","--","513,268","--","--","--"
"2018","Asian","Idaho","0**","25,446","0.00**","0.00**","--"
"2018","Asian","Illinois","--","731,286","--","--","--"
"2018","Asian","Indiana","--","163,492","--","--","--"
"2018","Asian","Iowa","0**","82,039","0.00**","0.00**","--"
"2018","Asian","Kansas","--","89,770","--","--","--"
"2018","Asian","Kentucky","--","69,399","--","--","--"
"2018","Asian","Louisiana","--","82,211","--","--","--"
"2018","Asian","Maine","--","16,756","--","--","--"
"2018","Asian","Maryland","12**","397,624","3.02**","3.09**","392"
"2018","Asian","Massachusetts","--","482,411","--","--","--"
"2018","Asian","Michigan","16**","330,032","4.85**","4.48**","421"
"2018","Asian","Minnesota","--","285,824","--","--","--"
"2018","Asian","Mississippi","--","31,577","--","--","--"
"2018","Asian","Missouri","--","126,948","--","--","--"
"2018","Asian","Montana","0**","9,306","0.00**","0.00**","--"
"2018","Asian","Nebraska","--","50,241","--","--","--"
"2018","Asian","Nevada","21","248,704","8.44","7.43","420"
"2018","Asian","New Hampshire","--","39,762","--","--","--"
"2018","Asian","New Jersey","--","871,843","--","--","--"
"2018","Asian","New Mexico","--","32,275","--","--","--"
"2018","Asian","New York","10**","1,720,035","0.58**","0.57**","295"
"2018","Asian","North Carolina","--","316,306","--","--","--"
"2018","Asian","North Dakota","0**","12,876","0.00**","0.00**","--"
"2018","Asian","Ohio","--","283,356","--","--","--"
"2018","Asian","Oklahoma","10**","89,913","11.12**","9.62**","271"
"2018","Asian","Oregon","--","194,672","--","--","--"
"2018","Asian","Pennsylvania","16**","462,880","3.46**","3.21**","440"
"2018","Asian","Rhode Island","--","37,450","--","--","--"
"2018","Asian","South Carolina","--","87,555","--","--","--"
"2018","Asian","South Dakota","--","13,414","--","--","--"
"2018","Asian","Tennessee","11**","126,628","8.69**","9.07**","425"
"2018","Asian","Texas","72","1,433,533","5.02","4.73","1,866"
"2018","Asian","Utah","--","78,003","--","--","--"
"2018","Asian","Vermont","0**","11,960","0.00**","0.00**","--"
"2018","Asian","Virginia","18**","573,290","3.14**","3.22**","524"
"2018","Asian","Washington","19**","685,800","2.77**","2.49**","499"
"2018","Asian","West Virginia","--","14,813","--","--","--"
"2018","Asian","Wisconsin","--","172,351","--","--","--"
"2018","Asian","Wyoming","0**","5,982","0.00**","0.00**","--"
