"Year","Race","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","HI Native / Pacific Islander","Kansas","0**","3,029","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Kentucky","0**","3,321","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Louisiana","0**","1,767","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Maine","0**","423","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Maryland","0**","2,996","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Massachusetts","0**","3,094","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Michigan","0**","2,868","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Minnesota","0**","3,194","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Mississippi","0**","1,093","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Missouri","0**","8,701","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Montana","0**","764","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Nebraska","0**","1,285","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Nevada","--","21,135","--","--","--"
"2020","HI Native / Pacific Islander","New Hampshire","0**","399","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","New Jersey","0**","3,307","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","New Mexico","0**","1,380","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","New York","0**","9,532","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","North Carolina","--","7,211","--","--","--"
"2020","HI Native / Pacific Islander","North Dakota","--","554","--","--","--"
"2020","HI Native / Pacific Islander","Ohio","0**","5,224","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Oklahoma","--","7,615","--","--","--"
"2020","HI Native / Pacific Islander","Oregon","--","17,587","--","--","--"
"2020","HI Native / Pacific Islander","Pennsylvania","0**","4,022","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Rhode Island","0**","673","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","South Carolina","0**","3,041","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","South Dakota","0**","549","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Tennessee","0**","3,861","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Texas","--","26,840","--","--","--"
"2020","HI Native / Pacific Islander","Utah","--","33,630","--","--","--"
"2020","HI Native / Pacific Islander","Vermont","0**","186","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Virginia","0**","6,354","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Washington","--","55,281","--","--","--"
"2020","HI Native / Pacific Islander","West Virginia","--","407","--","--","--"
"2020","HI Native / Pacific Islander","Wisconsin","0**","2,343","0.00**","0.00**","--"
"2020","HI Native / Pacific Islander","Wyoming","--","396","--","--","--"
"2020","More than One Race","Alabama","--","82,785","--","--","--"
