"Year","State","Metro / Non-Metro","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2021","Wyoming","Metro","0**","2,004","0.00**","0.00**","--"
"2021","Wyoming","Non-Metro","--","2,145","--","--","--"
"2020","Alabama","Metro","311","502,346","61.91","60.11","10,692"
"2020","Alabama","Non-Metro","74","127,644","57.97","59.43","2,497"
"2020","Alaska","Metro","--","12,846","--","--","--"
"2020","Alaska","Non-Metro","0**","2,285","0.00**","0.00**","--"
"2020","Arizona","Metro","78","195,528","39.89","36.87","2,634"
"2020","Arizona","Non-Metro","--","2,182","--","--","--"
"2020","Arkansas","Metro","105","152,845","68.70","66.54","3,605"
"2020","Arkansas","Non-Metro","46","73,644","62.46","65.66","1,455"
"2020","California","Metro","500","1,270,353","39.36","37.22","15,905"
"2020","California","Non-Metro","--","10,696","--","--","--"
"2020","Colorado","Metro","59","134,477","43.87","40.33","2,139"
"2020","Colorado","Non-Metro","0**","9,104","0.00**","0.00**","--"
"2020","Connecticut","Metro","60","213,399","28.12","26.01","2,064"
"2020","Connecticut","Non-Metro","0**","2,647","0.00**","0.00**","--"
"2020","Delaware","Metro","61","110,243","55.33","53.31","2,244"
"2020","District of Columbia","Metro","129","143,217","90.07","89.24","4,568"
"2020","Florida","Metro","648","1,717,851","37.72","36.17","22,750"
"2020","Florida","Non-Metro","20**","63,254","31.62**","25.39**","663"
"2020","Georgia","Metro","537","1,424,321","37.70","36.08","18,488"
"2020","Georgia","Non-Metro","85","228,142","37.26","35.54","2,870"
"2020","Hawaii","Metro","0**","17,881","0.00**","0.00**","--"
"2020","Hawaii","Non-Metro","0**","1,301","0.00**","0.00**","--"
"2020","Idaho","Metro","0**","6,775","0.00**","0.00**","--"
"2020","Idaho","Non-Metro","0**","2,869","0.00**","0.00**","--"
"2020","Illinois","Metro","836","851,812","98.14","95.04","29,312"
"2020","Illinois","Non-Metro","--","38,020","--","--","--"
"2020","Indiana","Metro","264","317,351","83.19","77.80","9,635"
"2020","Indiana","Non-Metro","--","15,528","--","--","--"
