"Year","Age Group","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"2001","40 to 44","3,793","22,815,834","16.63","--","77","822","21.7%","2,182","5,405"
"2001","45 to 49","--","20,698,983","--","--","--","--","--","--","--"
"2001","50 to 54","--","18,687,285","--","--","--","--","--","--","--"
"2001","55 to 59","--","13,968,975","--","--","--","--","--","--","--"
"2001","60 to 64","--","11,136,320","--","--","--","--","--","--","--"
"2001","65 to 69","--","9,562,233","--","--","--","--","--","--","--"
"2001","70 to 74","--","8,821,946","--","--","--","--","--","--","--"
"2001","75 to 79","--","7,455,413","--","--","--","--","--","--","--"
"2001","80 to 84","--","5,138,205","--","--","--","--","--","--","--"
"2001","85+","--","4,312,494","--","--","--","--","--","--","--"
"2001","Unknown","--","--","--","--","--","--","--","--","--"
"Total","","1,944,042","6,515,645,013","29.84","--","46,062","--","--","--","--"
"","","","","","","","","","",""
"Injury Outcome: Nonfatal All Injuries","","","","","","","","","",""
"Data Years: 2001 to 2021","","","","","","","","","",""
"Geography: United States","","","","","","","","","",""
"Disposition: All Cases","","","","","","","","","",""
"Intent: All Intents","","","","","","","","","",""
"Mechanism: Firearm","","","","","","","","","",""
"Age: All Ages","","","","","","","","","",""
"Sex: All Sexes","","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","","",""
