"Year","Intent","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Unintentional","Females","West Virginia","--","888,850","--","--","--"
"2022","Homicide","Males","Alabama","528","2,467,360","21.40","22.34","17,373"
"2022","Homicide","Males","Alaska","29","385,947","7.51","7.26","962"
"2022","Homicide","Males","Arizona","402","3,679,034","10.93","11.30","12,464"
"2022","Homicide","Males","Arkansas","236","1,505,477","15.68","16.16","7,593"
"2022","Homicide","Males","California","1,475","19,535,016","7.55","7.49","46,247"
"2022","Homicide","Males","Colorado","230","2,964,544","7.76","7.64","7,644"
"2022","Homicide","Males","Connecticut","95","1,776,254","5.35","5.59","3,313"
"2022","Homicide","Males","Delaware","42","494,520","8.49","9.35","1,470"
"2022","Homicide","Males","District of Columbia","128","319,682","40.04","38.20","4,259"
"2022","Homicide","Males","Florida","979","10,945,426","8.94","9.73","31,666"
"2022","Homicide","Males","Georgia","857","5,330,652","16.08","16.11","28,984"
"2022","Homicide","Males","Hawaii","15**","724,711","2.07**","2.21**","505"
"2022","Homicide","Males","Idaho","32","977,139","3.28","3.47","902"
"2022","Homicide","Males","Illinois","949","6,228,734","15.24","15.72","32,559"
"2022","Homicide","Males","Indiana","376","3,395,488","11.07","11.32","12,535"
"2022","Homicide","Males","Iowa","49","1,606,737","3.05","3.17","1,666"
"2022","Homicide","Males","Kansas","102","1,475,455","6.91","7.19","3,183"
"2022","Homicide","Males","Kentucky","225","2,240,509","10.04","10.60","6,936"
"2022","Homicide","Males","Louisiana","633","2,247,370","28.17","29.21","21,749"
"2022","Homicide","Males","Maine","13**","683,232","1.90**","2.25**","412"
"2022","Homicide","Males","Maryland","487","3,001,909","16.22","16.93","16,403"
"2022","Homicide","Males","Massachusetts","91","3,417,950","2.66","2.69","3,036"
"2022","Homicide","Males","Michigan","511","4,982,544","10.26","10.84","16,254"
"2022","Homicide","Males","Minnesota","116","2,871,216","4.04","4.23","3,888"
"2022","Homicide","Males","Mississippi","431","1,428,776","30.17","31.77","14,032"
"2022","Homicide","Males","Missouri","511","3,054,821","16.73","17.41","16,371"
"2022","Homicide","Males","Montana","29","569,846","5.09","5.39","834"
"2022","Homicide","Males","Nebraska","34","990,672","3.43","3.49","1,087"
"2022","Homicide","Males","Nevada","146","1,603,852","9.10","9.33","4,529"
"2022","Homicide","Males","New Hampshire","12**","697,809","1.72**","1.77**","326"
"2022","Homicide","Males","New Jersey","209","4,565,014","4.58","4.83","6,999"
"2022","Homicide","Males","New Mexico","168","1,053,151","15.95","16.96","5,221"
"2022","Homicide","Males","New York","461","9,626,210","4.79","5.02","14,933"
"2022","Homicide","Males","North Carolina","647","5,239,829","12.35","12.59","21,838"
"2022","Homicide","Males","North Dakota","13**","400,463","3.25**","3.04**","391"
"2022","Homicide","Males","Ohio","615","5,809,684","10.59","11.22","20,376"
"2022","Homicide","Males","Oklahoma","200","2,004,482","9.98","10.53","6,110"
"2022","Homicide","Males","Oregon","127","2,117,172","6.00","6.11","3,585"
"2022","Homicide","Males","Pennsylvania","731","6,405,343","11.41","12.10","24,690"
"2022","Homicide","Males","Rhode Island","11**","536,995","2.05**","2.01**","393"
"2022","Homicide","Males","South Carolina","407","2,572,119","15.82","16.57","13,966"
"2022","Homicide","Males","South Dakota","20**","462,723","4.32**","4.53**","682"
"2022","Homicide","Males","Tennessee","508","3,462,358","14.67","15.25","16,750"
"2022","Homicide","Males","Texas","1,490","15,019,450","9.92","9.71","49,097"
"2022","Homicide","Males","Utah","35","1,716,831","2.04","1.99","1,175"
"2022","Homicide","Males","Vermont","12**","322,025","3.73**","4.38**","317"
"2022","Homicide","Males","Virginia","469","4,299,114","10.91","11.07","15,650"
"2022","Homicide","Males","Washington","259","3,928,342","6.59","6.55","7,648"
"2022","Homicide","Males","West Virginia","65","886,306","7.33","8.16","1,770"
"2022","Homicide","Males","Wisconsin","208","2,955,306","7.04","7.52","6,637"
"2022","Homicide","Males","Wyoming","10**","297,954","3.36**","3.50**","288"
"2022","Homicide","Females","Alabama","96","2,606,936","3.68","4.14","2,938"
"2022","Homicide","Females","Alaska","12**","347,636","3.45**","3.46**","400"
"2022","Homicide","Females","Arizona","88","3,680,163","2.39","2.57","2,610"
"2022","Homicide","Females","Arkansas","54","1,540,160","3.51","3.56","1,415"
"2022","Homicide","Females","California","201","19,494,326","1.03","1.05","5,781"
"2022","Homicide","Females","Colorado","74","2,875,382","2.57","2.61","2,307"
"2022","Homicide","Females","Connecticut","19**","1,849,951","1.03**","1.10**","575"
"2022","Homicide","Females","Delaware","--","523,876","--","--","--"
"2022","Homicide","Females","District of Columbia","13**","352,121","3.69**","3.29**","353"
"2022","Homicide","Females","Florida","191","11,299,397","1.69","1.85","5,515"
"2022","Homicide","Females","Georgia","176","5,582,224","3.15","3.15","5,001"
"2022","Homicide","Females","Hawaii","--","715,485","--","--","--"
"2022","Homicide","Females","Idaho","--","961,894","--","--","--"
"2022","Homicide","Females","Illinois","142","6,353,298","2.24","2.39","4,693"
"2022","Homicide","Females","Indiana","92","3,437,549","2.68","2.79","2,718"
"2022","Homicide","Females","Iowa","16**","1,593,780","1.00**","1.01**","479"
"2022","Homicide","Females","Kansas","25","1,461,695","1.71","1.80","677"
"2022","Homicide","Females","Kentucky","58","2,271,801","2.55","2.90","1,814"
"2022","Homicide","Females","Louisiana","107","2,342,871","4.57","5.02","3,276"
"2022","Homicide","Females","Maine","--","702,108","--","--","--"
"2022","Homicide","Females","Maryland","52","3,162,751","1.64","1.86","1,666"
"2022","Homicide","Females","Massachusetts","15**","3,564,024","0.42**","0.44**","498"
"2022","Homicide","Females","Michigan","129","5,051,569","2.55","2.81","4,155"
"2022","Homicide","Females","Minnesota","27","2,845,968","0.95","1.03","850"
"2022","Homicide","Females","Mississippi","80","1,511,281","5.29","5.51","2,391"
"2022","Homicide","Females","Missouri","118","3,123,136","3.78","4.10","3,769"
"2022","Homicide","Females","Montana","10**","553,021","1.81**","2.01**","250"
"2022","Homicide","Females","Nebraska","14**","977,251","1.43**","1.43**","411"
"2022","Homicide","Females","Nevada","34","1,573,920","2.16","2.13","899"
"2022","Homicide","Females","New Hampshire","--","697,422","--","--","--"
"2022","Homicide","Females","New Jersey","26","4,696,685","0.55","0.58","740"
"2022","Homicide","Females","New Mexico","50","1,060,193","4.72","5.24","1,326"
"2022","Homicide","Females","New York","67","10,050,941","0.67","0.70","1,965"
"2022","Homicide","Females","North Carolina","134","5,459,144","2.46","2.56","3,715"
"2022","Homicide","Females","North Dakota","--","378,798","--","--","--"
"2022","Homicide","Females","Ohio","123","5,946,374","2.07","2.25","4,185"
"2022","Homicide","Females","Oklahoma","40","2,015,318","1.99","2.07","1,117"
"2022","Homicide","Females","Oregon","28","2,122,965","1.32","1.32","693"
"2022","Homicide","Females","Pennsylvania","103","6,566,665","1.57","1.70","2,962"
"2022","Homicide","Females","Rhode Island","--","556,739","--","--","--"
"2022","Homicide","Females","South Carolina","87","2,710,515","3.21","3.33","2,385"
"2022","Homicide","Females","South Dakota","--","447,101","--","--","--"
"2022","Homicide","Females","Tennessee","101","3,588,981","2.81","3.02","3,223"
"2022","Homicide","Females","Texas","336","15,010,122","2.24","2.27","10,677"
"2022","Homicide","Females","Utah","13**","1,663,969","0.78**","0.82**","358"
"2022","Homicide","Females","Vermont","--","325,039","--","--","--"
"2022","Homicide","Females","Virginia","87","4,384,505","1.98","2.12","2,670"
"2022","Homicide","Females","Washington","54","3,857,444","1.40","1.39","1,240"
