"Year","Intent","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2015","Homicide","Maine","14**","1,329,098","1.05**","1.14**","389"
"2015","Homicide","Maryland","445","5,988,528","7.43","7.74","15,365"
"2015","Homicide","Massachusetts","86","6,797,484","1.27","1.26","3,175"
"2015","Homicide","Michigan","436","9,934,483","4.39","4.73","13,973"
"2015","Homicide","Minnesota","92","5,484,002","1.68","1.77","3,053"
"2015","Homicide","Mississippi","264","2,990,231","8.83","9.12","7,173"
"2015","Homicide","Missouri","459","6,075,411","7.56","7.93","15,271"
"2015","Homicide","Montana","20**","1,031,495","1.94**","2.16**","632"
"2015","Homicide","Nebraska","50","1,892,059","2.64","2.67","1,655"
"2015","Homicide","Nevada","128","2,868,531","4.46","4.54","3,622"
"2015","Homicide","New Hampshire","12**","1,337,480","0.90**","0.95**","360"
"2015","Homicide","New Jersey","273","8,870,312","3.08","3.28","9,192"
"2015","Homicide","New Mexico","91","2,090,071","4.35","4.77","2,919"
"2015","Homicide","New York","408","19,657,321","2.08","2.10","13,894"
"2015","Homicide","North Carolina","438","10,037,218","4.36","4.54","14,182"
"2015","Homicide","North Dakota","11**","755,537","1.46**","1.69**","293"
"2015","Homicide","Ohio","484","11,622,315","4.16","4.37","16,011"
"2015","Homicide","Oklahoma","221","3,910,518","5.65","5.87","6,829"
"2015","Homicide","Oregon","94","4,018,542","2.34","2.36","2,603"
"2015","Homicide","Pennsylvania","522","12,789,838","4.08","4.34","17,775"
"2015","Homicide","Rhode Island","10**","1,056,886","0.95**","0.99**","329"
"2015","Homicide","South Carolina","360","4,896,006","7.35","7.55","10,971"
"2015","Homicide","South Dakota","15**","854,663","1.76**","1.97**","556"
"2015","Homicide","Tennessee","363","6,595,354","5.50","5.72","11,534"
"2015","Homicide","Texas","1,110","27,468,531","4.04","4.04","34,992"
"2015","Homicide","Utah","41","2,983,626","1.37","1.29","1,418"
"2015","Homicide","Vermont","11**","625,810","1.76**","1.76**","219"
"2015","Homicide","Virginia","276","8,367,303","3.30","3.31","9,336"
"2015","Homicide","Washington","162","7,167,287","2.26","2.32","5,100"
"2015","Homicide","West Virginia","50","1,843,332","2.71","2.89","1,423"
"2015","Homicide","Wisconsin","175","5,762,927","3.04","3.18","5,807"
"2015","Homicide","Wyoming","13**","586,389","2.22**","2.16**","400"
"2015","Legal Intervention","Alabama","--","4,854,803","--","--","--"
"2015","Legal Intervention","Alaska","--","738,430","--","--","--"
