"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","5 to 9","Rhode Island","0**","55,999","0.00**","--","--"
"2022","5 to 9","South Carolina","--","304,905","--","--","--"
"2022","5 to 9","South Dakota","0**","61,380","0.00**","--","--"
"2022","5 to 9","Tennessee","--","421,316","--","--","--"
"2022","5 to 9","Texas","14**","2,085,857","0.67**","--","809"
"2022","5 to 9","Utah","--","256,385","--","--","--"
"2022","5 to 9","Vermont","0**","31,579","0.00**","--","--"
"2022","5 to 9","Virginia","--","515,804","--","--","--"
"2022","5 to 9","Washington","0**","462,468","0.00**","--","--"
"2022","5 to 9","West Virginia","0**","96,539","0.00**","--","--"
"2022","5 to 9","Wisconsin","--","339,916","--","--","--"
"2022","5 to 9","Wyoming","0**","35,894","0.00**","--","--"
"2022","10 to 14","Alabama","23","318,447","7.22","--","1,194"
"2022","10 to 14","Alaska","--","50,287","--","--","--"
"2022","10 to 14","Arizona","--","462,912","--","--","--"
"2022","10 to 14","Arkansas","--","200,043","--","--","--"
"2022","10 to 14","California","15**","2,476,125","0.61**","--","777"
"2022","10 to 14","Colorado","15**","353,020","4.25**","--","780"
"2022","10 to 14","Connecticut","0**","213,461","0.00**","--","--"
"2022","10 to 14","Delaware","--","60,249","--","--","--"
"2022","10 to 14","District of Columbia","--","31,811","--","--","--"
"2022","10 to 14","Florida","21","1,231,864","1.71","--","1,093"
"2022","10 to 14","Georgia","18**","732,571","2.46**","--","934"
"2022","10 to 14","Hawaii","--","83,775","--","--","--"
"2022","10 to 14","Idaho","--","136,743","--","--","--"
"2022","10 to 14","Illinois","27","790,620","3.42","--","1,395"
"2022","10 to 14","Indiana","10**","450,448","2.22**","--","517"
"2022","10 to 14","Iowa","--","207,751","--","--","--"
"2022","10 to 14","Kansas","--","201,187","--","--","--"
"2022","10 to 14","Kentucky","12**","286,085","4.20**","--","633"
"2022","10 to 14","Louisiana","17**","300,731","5.65**","--","879"
"2022","10 to 14","Maine","--","71,908","--","--","--"
"2022","10 to 14","Maryland","--","387,223","--","--","--"
"2022","10 to 14","Massachusetts","--","384,262","--","--","--"
"2022","10 to 14","Michigan","17**","606,735","2.80**","--","888"
"2022","10 to 14","Minnesota","--","372,455","--","--","--"
"2022","10 to 14","Mississippi","11**","196,616","5.60**","--","572"
"2022","10 to 14","Missouri","18**","391,460","4.60**","--","931"
"2022","10 to 14","Montana","--","68,281","--","--","--"
"2022","10 to 14","Nebraska","--","136,019","--","--","--"
"2022","10 to 14","Nevada","--","200,817","--","--","--"
"2022","10 to 14","New Hampshire","0**","73,777","0.00**","--","--"
"2022","10 to 14","New Jersey","--","572,948","--","--","--"
"2022","10 to 14","New Mexico","--","137,500","--","--","--"
"2022","10 to 14","New York","11**","1,128,498","0.98**","--","571"
"2022","10 to 14","North Carolina","21","660,316","3.18","--","1,087"
"2022","10 to 14","North Dakota","0**","50,496","0.00**","--","--"
"2022","10 to 14","Ohio","28","732,227","3.82","--","1,460"
"2022","10 to 14","Oklahoma","10**","275,405","3.63**","--","525"
"2022","10 to 14","Oregon","--","246,508","--","--","--"
"2022","10 to 14","Pennsylvania","23","756,526","3.04","--","1,194"
"2022","10 to 14","Rhode Island","0**","57,671","0.00**","--","--"
"2022","10 to 14","South Carolina","17**","325,687","5.22**","--","885"
"2022","10 to 14","South Dakota","--","62,308","--","--","--"
"2022","10 to 14","Tennessee","13**","438,036","2.97**","--","677"
"2022","10 to 14","Texas","65","2,150,307","3.02","--","3,424"
"2022","10 to 14","Utah","--","272,743","--","--","--"
"2022","10 to 14","Vermont","--","33,802","--","--","--"
"2022","10 to 14","Virginia","10**","533,136","1.88**","--","516"
"2022","10 to 14","Washington","--","473,078","--","--","--"
"2022","10 to 14","West Virginia","--","102,960","--","--","--"
"2022","10 to 14","Wisconsin","14**","363,289","3.85**","--","727"
"2022","10 to 14","Wyoming","--","38,715","--","--","--"
"2022","15 to 19","Alabama","96","334,114","28.73","--","4,547"
"2022","15 to 19","Alaska","13**","45,200","28.76**","--","615"
"2022","15 to 19","Arizona","106","486,307","21.80","--","5,033"
"2022","15 to 19","Arkansas","66","203,124","32.49","--","3,132"
"2022","15 to 19","California","231","2,564,615","9.01","--","10,984"
"2022","15 to 19","Colorado","80","373,129","21.44","--","3,806"
"2022","15 to 19","Connecticut","17**","247,002","6.88**","--","815"
"2022","15 to 19","Delaware","--","63,177","--","--","--"
"2022","15 to 19","District of Columbia","23","36,412","63.17","--","1,108"
"2022","15 to 19","Florida","208","1,269,958","16.38","--","9,875"
"2022","15 to 19","Georgia","223","753,593","29.59","--","10,616"
"2022","15 to 19","Hawaii","--","77,426","--","--","--"
"2022","15 to 19","Idaho","17**","146,646","11.59**","--","809"
"2022","15 to 19","Illinois","181","821,799","22.03","--","8,608"
"2022","15 to 19","Indiana","97","463,294","20.94","--","4,601"
"2022","15 to 19","Iowa","23","222,071","10.36","--","1,093"
"2022","15 to 19","Kansas","30","206,642","14.52","--","1,435"
"2022","15 to 19","Kentucky","52","287,015","18.12","--","2,461"
"2022","15 to 19","Louisiana","133","300,780","44.22","--","6,335"
"2022","15 to 19","Maine","--","78,493","--","--","--"
"2022","15 to 19","Maryland","76","388,243","19.58","--","3,611"
"2022","15 to 19","Massachusetts","19**","449,051","4.23**","--","906"
"2022","15 to 19","Michigan","97","638,504","15.19","--","4,598"
"2022","15 to 19","Minnesota","31","374,341","8.28","--","1,486"
"2022","15 to 19","Mississippi","89","207,007","42.99","--","4,234"
"2022","15 to 19","Missouri","132","400,406","32.97","--","6,249"
"2022","15 to 19","Montana","27","68,745","39.28","--","1,278"
"2022","15 to 19","Nebraska","25","137,456","18.19","--","1,180"
"2022","15 to 19","Nevada","36","192,118","18.74","--","1,697"
"2022","15 to 19","New Hampshire","--","81,375","--","--","--"
"2022","15 to 19","New Jersey","35","576,810","6.07","--","1,659"
"2022","15 to 19","New Mexico","48","143,139","33.53","--","2,294"
"2022","15 to 19","New York","84","1,194,568","7.03","--","3,979"
"2022","15 to 19","North Carolina","164","705,170","23.26","--","7,800"
"2022","15 to 19","North Dakota","--","54,073","--","--","--"
"2022","15 to 19","Ohio","155","750,454","20.65","--","7,360"
"2022","15 to 19","Oklahoma","53","276,917","19.14","--","2,523"
"2022","15 to 19","Oregon","30","250,767","11.96","--","1,422"
"2022","15 to 19","Pennsylvania","151","833,463","18.12","--","7,171"
"2022","15 to 19","Rhode Island","--","71,843","--","--","--"
"2022","15 to 19","South Carolina","103","342,071","30.11","--","4,913"
