"Year","Age Group","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2020","10 to 14","Wyoming","--","40,248","--","--","--"
"2020","15 to 19","Alabama","84","334,621","25.10","--","3,960"
"2020","15 to 19","Alaska","14**","46,553","30.07**","--","667"
"2020","15 to 19","Arizona","86","483,652","17.78","--","4,094"
"2020","15 to 19","Arkansas","61","203,339","30.00","--","2,900"
"2020","15 to 19","California","263","2,628,849","10.00","--","12,457"
"2020","15 to 19","Colorado","65","382,586","16.99","--","3,103"
"2020","15 to 19","Connecticut","15**","244,355","6.14**","--","711"
"2020","15 to 19","Delaware","13**","63,307","20.54**","--","619"
"2020","15 to 19","District of Columbia","22","28,662","76.76","--","1,039"
"2020","15 to 19","Florida","211","1,256,772","16.79","--","10,020"
"2020","15 to 19","Georgia","171","759,130","22.53","--","8,084"
"2020","15 to 19","Hawaii","0**","79,106","0.00**","--","--"
"2020","15 to 19","Idaho","21","143,362","14.65","--","1,003"
"2020","15 to 19","Illinois","170","854,363","19.90","--","8,077"
"2020","15 to 19","Indiana","129","471,041","27.39","--","6,095"
"2020","15 to 19","Iowa","29","223,238","12.99","--","1,385"
"2020","15 to 19","Kansas","57","209,901","27.16","--","2,692"
"2020","15 to 19","Kentucky","79","294,378","26.84","--","3,759"
"2020","15 to 19","Louisiana","125","308,327","40.54","--","5,909"
"2020","15 to 19","Maine","--","79,559","--","--","--"
"2020","15 to 19","Maryland","63","395,996","15.91","--","2,964"
"2020","15 to 19","Massachusetts","21","457,440","4.59","--","997"
"2020","15 to 19","Michigan","94","668,009","14.07","--","4,449"
"2020","15 to 19","Minnesota","40","378,230","10.58","--","1,902"
"2020","15 to 19","Mississippi","65","208,648","31.15","--","3,087"
"2020","15 to 19","Missouri","103","404,832","25.44","--","4,896"
"2020","15 to 19","Montana","12**","67,355","17.82**","--","577"
"2020","15 to 19","Nebraska","16**","138,849","11.52**","--","769"
"2020","15 to 19","Nevada","40","191,227","20.92","--","1,904"
"2020","15 to 19","New Hampshire","--","87,213","--","--","--"
"2020","15 to 19","New Jersey","28","596,708","4.69","--","1,324"
"2020","15 to 19","New Mexico","32","145,906","21.93","--","1,522"
"2020","15 to 19","New York","75","1,240,783","6.05","--","3,534"
"2020","15 to 19","North Carolina","136","700,109","19.43","--","6,472"
"2020","15 to 19","North Dakota","--","51,367","--","--","--"
"2020","15 to 19","Ohio","142","780,421","18.20","--","6,733"
"2020","15 to 19","Oklahoma","58","276,548","20.97","--","2,756"
"2020","15 to 19","Oregon","35","255,597","13.69","--","1,653"
"2020","15 to 19","Pennsylvania","146","838,332","17.42","--","6,915"
"2020","15 to 19","Rhode Island","--","75,237","--","--","--"
"2020","15 to 19","South Carolina","103","336,841","30.58","--","4,885"
"2020","15 to 19","South Dakota","--","59,697","--","--","--"
"2020","15 to 19","Tennessee","93","444,097","20.94","--","4,427"
"2020","15 to 19","Texas","416","2,143,885","19.40","--","19,769"
"2020","15 to 19","Utah","38","271,683","13.99","--","1,823"
"2020","15 to 19","Vermont","--","42,675","--","--","--"
"2020","15 to 19","Virginia","99","567,243","17.45","--","4,683"
"2020","15 to 19","Washington","53","468,431","11.31","--","2,499"
"2020","15 to 19","West Virginia","--","110,506","--","--","--"
"2020","15 to 19","Wisconsin","51","395,654","12.89","--","2,427"
"2020","15 to 19","Wyoming","--","38,173","--","--","--"
"2020","20 to 24","Alabama","159","340,893","46.64","--","6,826"
"2020","20 to 24","Alaska","23","51,289","44.84","--","991"
"2020","20 to 24","Arizona","121","497,930","24.30","--","5,214"
"2020","20 to 24","Arkansas","85","204,224","41.62","--","3,641"
"2020","20 to 24","California","391","2,662,448","14.69","--","16,777"
"2020","20 to 24","Colorado","100","387,755","25.79","--","4,289"
"2020","20 to 24","Connecticut","27","237,251","11.38","--","1,157"
"2020","20 to 24","Delaware","21","58,747","35.75","--","893"
"2020","20 to 24","District of Columbia","37","41,968","88.16","--","1,597"
"2020","20 to 24","Florida","354","1,286,976","27.51","--","15,219"
"2020","20 to 24","Georgia","255","736,813","34.61","--","10,993"
"2020","20 to 24","Hawaii","--","90,815","--","--","--"
"2020","20 to 24","Idaho","30","124,558","24.09","--","1,286"
"2020","20 to 24","Illinois","274","842,605","32.52","--","11,746"
"2020","20 to 24","Indiana","165","479,343","34.42","--","7,118"
"2020","20 to 24","Iowa","37","230,591","16.05","--","1,584"
"2020","20 to 24","Kansas","64","218,094","29.35","--","2,756"
"2020","20 to 24","Kentucky","103","302,417","34.06","--","4,425"
"2020","20 to 24","Louisiana","200","311,005","64.31","--","8,625"
"2020","20 to 24","Maine","--","76,146","--","--","--"
"2020","20 to 24","Maryland","141","377,702","37.33","--","6,076"
"2020","20 to 24","Massachusetts","47","481,004","9.77","--","2,009"
"2020","20 to 24","Michigan","185","692,994","26.70","--","7,936"
"2020","20 to 24","Minnesota","50","363,663","13.75","--","2,158"
"2020","20 to 24","Mississippi","121","205,742","58.81","--","5,203"
"2020","20 to 24","Missouri","193","412,407","46.80","--","8,303"
"2020","20 to 24","Montana","30","73,933","40.58","--","1,291"
"2020","20 to 24","Nebraska","19**","138,692","13.70**","--","832"
"2020","20 to 24","Nevada","47","188,435","24.94","--","2,017"
"2020","20 to 24","New Hampshire","14**","89,019","15.73**","--","595"
"2020","20 to 24","New Jersey","65","572,237","11.36","--","2,774"
"2020","20 to 24","New Mexico","54","144,955","37.25","--","2,306"
"2020","20 to 24","New York","149","1,309,946","11.38","--","6,380"
"2020","20 to 24","North Carolina","247","704,305","35.07","--","10,608"
"2020","20 to 24","North Dakota","11**","63,950","17.20**","--","475"
"2020","20 to 24","Ohio","248","767,169","32.33","--","10,664"
"2020","20 to 24","Oklahoma","98","283,040","34.62","--","4,178"
"2020","20 to 24","Oregon","46","269,068","17.10","--","1,978"
"2020","20 to 24","Pennsylvania","220","816,931","26.93","--","9,448"
"2020","20 to 24","Rhode Island","12**","78,154","15.35**","--","518"
"2020","20 to 24","South Carolina","160","334,953","47.77","--","6,905"
"2020","20 to 24","South Dakota","13**","59,751","21.76**","--","564"
"2020","20 to 24","Tennessee","189","458,555","41.22","--","8,139"
"2020","20 to 24","Texas","557","2,059,832","27.04","--","23,944"
"2020","20 to 24","Utah","53","278,514","19.03","--","2,270"
"2020","20 to 24","Vermont","--","45,887","--","--","--"
"2020","20 to 24","Virginia","165","580,946","28.40","--","7,102"
"2020","20 to 24","Washington","97","495,090","19.59","--","4,148"
"2020","20 to 24","West Virginia","31","113,324","27.36","--","1,340"
"2020","20 to 24","Wisconsin","85","402,614","21.11","--","3,633"
"2020","20 to 24","Wyoming","16**","38,271","41.81**","--","685"
"2020","25 to 29","Alabama","138","330,296","41.78","--","5,277"
"2020","25 to 29","Alaska","27","57,142","47.25","--","1,034"
"2020","25 to 29","Arizona","125","499,893","25.01","--","4,733"
"2020","25 to 29","Arkansas","63","197,065","31.97","--","2,402"
"2020","25 to 29","California","434","2,938,880","14.77","--","16,477"
"2020","25 to 29","Colorado","102","446,295","22.86","--","3,868"
"2020","25 to 29","Connecticut","25","222,862","11.22","--","947"
"2020","25 to 29","Delaware","24","62,680","38.29","--","916"
"2020","25 to 29","District of Columbia","31","76,137","40.72","--","1,183"
"2020","25 to 29","Florida","328","1,351,676","24.27","--","12,463"
"2020","25 to 29","Georgia","249","746,256","33.37","--","9,457"
"2020","25 to 29","Hawaii","--","99,021","--","--","--"
"2020","25 to 29","Idaho","31","120,069","25.82","--","1,170"
"2020","25 to 29","Illinois","325","874,892","37.15","--","12,376"
"2020","25 to 29","Indiana","151","451,868","33.42","--","5,752"
"2020","25 to 29","Iowa","34","201,497","16.87","--","1,295"
"2020","25 to 29","Kansas","58","192,419","30.14","--","2,202"
"2020","25 to 29","Kentucky","86","300,085","28.66","--","3,264"
"2020","25 to 29","Louisiana","182","315,866","57.62","--","6,920"
"2020","25 to 29","Maine","10**","79,783","12.53**","--","382"
"2020","25 to 29","Maryland","112","401,538","27.89","--","4,259"
"2020","25 to 29","Massachusetts","43","495,484","8.68","--","1,639"
"2020","25 to 29","Michigan","198","675,513","29.31","--","7,534"
"2020","25 to 29","Minnesota","62","371,157","16.71","--","2,347"
"2020","25 to 29","Mississippi","105","194,839","53.89","--","3,983"
"2020","25 to 29","Missouri","205","409,704","50.04","--","7,804"
"2020","25 to 29","Montana","23","70,637","32.56","--","883"
"2020","25 to 29","Nebraska","18**","128,452","14.01**","--","689"
"2020","25 to 29","Nevada","41","222,183","18.45","--","1,559"
"2020","25 to 29","New Hampshire","--","86,218","--","--","--"
"2020","25 to 29","New Jersey","71","585,927","12.12","--","2,702"
"2020","25 to 29","New Mexico","57","141,076","40.40","--","2,153"
"2020","25 to 29","New York","153","1,453,678","10.53","--","5,836"
"2020","25 to 29","North Carolina","203","704,415","28.82","--","7,701"
"2020","25 to 29","North Dakota","10**","57,873","17.28**","--","374"
"2020","25 to 29","Ohio","241","779,967","30.90","--","9,149"
"2020","25 to 29","Oklahoma","81","269,679","30.04","--","3,095"
"2020","25 to 29","Oregon","56","293,566","19.08","--","2,114"
"2020","25 to 29","Pennsylvania","232","836,339","27.74","--","8,824"
"2020","25 to 29","Rhode Island","--","74,770","--","--","--"
"2020","25 to 29","South Carolina","153","332,960","45.95","--","5,835"
"2020","25 to 29","South Dakota","17**","56,099","30.30**","--","650"
"2020","25 to 29","Tennessee","190","484,954","39.18","--","7,180"
"2020","25 to 29","Texas","517","2,104,917","24.56","--","19,637"
"2020","25 to 29","Utah","58","250,347","23.17","--","2,209"
"2020","25 to 29","Vermont","--","38,531","--","--","--"
"2020","25 to 29","Virginia","133","585,905","22.70","--","5,068"
"2020","25 to 29","Washington","96","575,683","16.68","--","3,643"
"2020","25 to 29","West Virginia","32","107,942","29.65","--","1,222"
"2020","25 to 29","Wisconsin","68","372,935","18.23","--","2,598"
"2020","25 to 29","Wyoming","16**","36,196","44.20**","--","601"
"2020","30 to 34","Alabama","126","322,479","39.07","--","4,173"
"2020","30 to 34","Alaska","20**","57,537","34.76**","--","676"
"2020","30 to 34","Arizona","147","480,920","30.57","--","4,893"
"2020","30 to 34","Arkansas","60","193,691","30.98","--","1,960"
"2020","30 to 34","California","405","2,984,634","13.57","--","13,417"
"2020","30 to 34","Colorado","97","455,091","21.31","--","3,197"
"2020","30 to 34","Connecticut","16**","224,430","7.13**","--","529"
"2020","30 to 34","Delaware","19**","65,429","29.04**","--","626"
"2020","30 to 34","District of Columbia","24","79,343","30.25","--","807"
"2020","30 to 34","Florida","309","1,400,276","22.07","--","10,181"
"2020","30 to 34","Georgia","212","734,790","28.85","--","7,049"
"2020","30 to 34","Hawaii","10**","100,476","9.95**","--","330"
"2020","30 to 34","Idaho","20**","118,341","16.90**","--","654"
"2020","30 to 34","Illinois","229","867,164","26.41","--","7,627"
"2020","30 to 34","Indiana","111","432,742","25.65","--","3,703"
"2020","30 to 34","Iowa","30","193,033","15.54","--","992"
"2020","30 to 34","Kansas","45","186,027","24.19","--","1,489"
"2020","30 to 34","Kentucky","86","286,312","30.04","--","2,853"
"2020","30 to 34","Louisiana","118","320,846","36.78","--","3,896"
"2020","30 to 34","Maine","10**","83,675","11.95**","--","331"
"2020","30 to 34","Maryland","112","426,423","26.27","--","3,715"
"2020","30 to 34","Massachusetts","21","499,387","4.21","--","698"
"2020","30 to 34","Michigan","142","634,295","22.39","--","4,724"
"2020","30 to 34","Minnesota","49","382,862","12.80","--","1,615"
"2020","30 to 34","Mississippi","108","185,441","58.24","--","3,564"
"2020","30 to 34","Missouri","162","402,512","40.25","--","5,367"
"2020","30 to 34","Montana","23","68,565","33.55","--","763"
"2020","30 to 34","Nebraska","24","125,522","19.12","--","800"
"2020","30 to 34","Nevada","47","228,624","20.56","--","1,552"
"2020","30 to 34","New Hampshire","--","87,556","--","--","--"
"2020","30 to 34","New Jersey","58","602,202","9.63","--","1,936"
"2020","30 to 34","New Mexico","52","139,596","37.25","--","1,720"
"2020","30 to 34","New York","127","1,461,219","8.69","--","4,196"
"2020","30 to 34","North Carolina","185","691,590","26.75","--","6,139"
"2020","30 to 34","North Dakota","11**","55,512","19.82**","--","363"
"2020","30 to 34","Ohio","196","769,209","25.48","--","6,494"
"2020","30 to 34","Oklahoma","74","264,360","27.99","--","2,452"
"2020","30 to 34","Oregon","54","304,089","17.76","--","1,783"
"2020","30 to 34","Pennsylvania","209","869,056","24.05","--","6,912"
"2020","30 to 34","Rhode Island","--","76,581","--","--","--"
"2020","30 to 34","South Carolina","129","332,906","38.75","--","4,278"
"2020","30 to 34","South Dakota","16**","56,509","28.31**","--","538"
"2020","30 to 34","Tennessee","133","465,903","28.55","--","4,406"
"2020","30 to 34","Texas","406","2,115,951","19.19","--","13,434"
"2020","30 to 34","Utah","39","225,354","17.31","--","1,283"
"2020","30 to 34","Vermont","--","37,969","--","--","--"
"2020","30 to 34","Virginia","118","592,353","19.92","--","3,910"
"2020","30 to 34","Washington","78","596,231","13.08","--","2,584"
"2020","30 to 34","West Virginia","28","104,388","26.82","--","916"
"2020","30 to 34","Wisconsin","77","361,114","21.32","--","2,562"
"2020","30 to 34","Wyoming","14**","38,015","36.83**","--","465"
"2020","35 to 39","Alabama","101","311,120","32.46","--","2,821"
"2020","35 to 39","Alaska","14**","54,239","25.81**","--","395"
"2020","35 to 39","Arizona","97","461,322","21.03","--","2,712"
"2020","35 to 39","Arkansas","68","191,516","35.51","--","1,907"
"2020","35 to 39","California","334","2,809,163","11.89","--","9,366"
"2020","35 to 39","Colorado","84","433,675","19.37","--","2,368"
"2020","35 to 39","Connecticut","23","227,145","10.13","--","644"
"2020","35 to 39","Delaware","13**","61,152","21.26**","--","362"
"2020","35 to 39","District of Columbia","16**","63,670","25.13**","--","448"
"2020","35 to 39","Florida","215","1,356,824","15.85","--","6,036"
"2020","35 to 39","Georgia","176","717,048","24.55","--","4,930"
"2020","35 to 39","Hawaii","--","99,439","--","--","--"
"2020","35 to 39","Idaho","22","121,305","18.14","--","615"
"2020","35 to 39","Illinois","149","863,021","17.27","--","4,168"
"2020","35 to 39","Indiana","85","431,085","19.72","--","2,391"
"2020","35 to 39","Iowa","30","205,060","14.63","--","831"
"2020","35 to 39","Kansas","45","193,735","23.23","--","1,267"
"2020","35 to 39","Kentucky","81","281,597","28.77","--","2,265"
"2020","35 to 39","Louisiana","101","316,419","31.92","--","2,864"
"2020","35 to 39","Maine","11**","81,967","13.42**","--","309"
"2020","35 to 39","Maryland","80","423,419","18.89","--","2,247"
"2020","35 to 39","Massachusetts","12**","462,496","2.60**","--","336"
"2020","35 to 39","Michigan","122","608,829","20.04","--","3,445"
"2020","35 to 39","Minnesota","45","397,506","11.32","--","1,242"
"2020","35 to 39","Mississippi","87","185,717","46.85","--","2,445"
"2020","35 to 39","Missouri","147","400,665","36.69","--","4,141"
"2020","35 to 39","Montana","14**","70,461","19.87**","--","390"
"2020","35 to 39","Nebraska","22","132,624","16.59","--","622"
"2020","35 to 39","Nevada","44","219,770","20.02","--","1,228"
"2020","35 to 39","New Hampshire","13**","84,426","15.40**","--","370"
"2020","35 to 39","New Jersey","37","611,003","6.06","--","1,039"
"2020","35 to 39","New Mexico","45","138,532","32.48","--","1,262"
"2020","35 to 39","New York","105","1,336,948","7.85","--","2,962"
"2020","35 to 39","North Carolina","133","663,947","20.03","--","3,715"
"2020","35 to 39","North Dakota","13**","53,104","24.48**","--","359"
"2020","35 to 39","Ohio","128","737,627","17.35","--","3,553"
"2020","35 to 39","Oklahoma","66","266,680","24.75","--","1,846"
"2020","35 to 39","Oregon","37","302,116","12.25","--","1,034"
"2020","35 to 39","Pennsylvania","138","818,035","16.87","--","3,829"
"2020","35 to 39","Rhode Island","--","69,653","--","--","--"
"2020","35 to 39","South Carolina","74","319,901","23.13","--","2,081"
"2020","35 to 39","South Dakota","11**","57,408","19.16**","--","301"
"2020","35 to 39","Tennessee","127","442,031","28.73","--","3,553"
"2020","35 to 39","Texas","382","2,095,219","18.23","--","10,727"
"2020","35 to 39","Utah","39","232,459","16.78","--","1,093"
"2020","35 to 39","Vermont","--","38,822","--","--","--"
"2020","35 to 39","Virginia","86","591,745","14.53","--","2,407"
"2020","35 to 39","Washington","89","568,361","15.66","--","2,517"
"2020","35 to 39","West Virginia","30","104,714","28.65","--","827"
"2020","35 to 39","Wisconsin","69","378,917","18.21","--","1,931"
"2020","35 to 39","Wyoming","16**","39,612","40.39**","--","445"
"2020","40 to 44","Alabama","96","301,617","31.83","--","2,227"
"2020","40 to 44","Alaska","--","45,094","--","--","--"
"2020","40 to 44","Arizona","88","431,087","20.41","--","2,044"
"2020","40 to 44","Arkansas","55","182,252","30.18","--","1,281"
"2020","40 to 44","California","253","2,554,537","9.90","--","5,811"
"2020","40 to 44","Colorado","70","384,166","18.22","--","1,625"
"2020","40 to 44","Connecticut","14**","215,472","6.50**","--","319"
"2020","40 to 44","Delaware","--","56,292","--","--","--"
"2020","40 to 44","District of Columbia","12**","46,383","25.87**","--","276"
"2020","40 to 44","Florida","204","1,294,990","15.75","--","4,711"
"2020","40 to 44","Georgia","130","690,383","18.83","--","3,026"
"2020","40 to 44","Hawaii","--","90,023","--","--","--"
"2020","40 to 44","Idaho","31","115,090","26.94","--","721"
"2020","40 to 44","Illinois","118","814,140","14.49","--","2,707"
"2020","40 to 44","Indiana","79","414,771","19.05","--","1,801"
"2020","40 to 44","Iowa","28","191,254","14.64","--","648"
"2020","40 to 44","Kansas","31","176,745","17.54","--","715"
"2020","40 to 44","Kentucky","65","278,561","23.33","--","1,508"
"2020","40 to 44","Louisiana","79","284,796","27.74","--","1,829"
"2020","40 to 44","Maine","10**","77,877","12.84**","--","234"
"2020","40 to 44","Maryland","43","391,177","10.99","--","976"
"2020","40 to 44","Massachusetts","22","420,171","5.24","--","506"
"2020","40 to 44","Michigan","99","584,242","16.95","--","2,289"
"2020","40 to 44","Minnesota","34","354,760","9.58","--","790"
"2020","40 to 44","Mississippi","63","179,660","35.07","--","1,465"
"2020","40 to 44","Missouri","107","369,034","29.00","--","2,462"
"2020","40 to 44","Montana","15**","64,932","23.10**","--","342"
"2020","40 to 44","Nebraska","10**","118,881","8.41**","--","225"
"2020","40 to 44","Nevada","34","201,021","16.91","--","799"
"2020","40 to 44","New Hampshire","--","77,705","--","--","--"
"2020","40 to 44","New Jersey","24","592,878","4.05","--","546"
"2020","40 to 44","New Mexico","24","124,279","19.31","--","541"
"2020","40 to 44","New York","49","1,225,730","4.00","--","1,134"
"2020","40 to 44","North Carolina","110","648,443","16.96","--","2,545"
"2020","40 to 44","North Dakota","--","44,399","--","--","--"
"2020","40 to 44","Ohio","116","696,935","16.64","--","2,714"
"2020","40 to 44","Oklahoma","73","240,981","30.29","--","1,696"
"2020","40 to 44","Oregon","46","280,820","16.38","--","1,068"
"2020","40 to 44","Pennsylvania","108","754,243","14.32","--","2,516"
"2020","40 to 44","Rhode Island","--","63,169","--","--","--"
"2020","40 to 44","South Carolina","78","304,700","25.60","--","1,797"
"2020","40 to 44","South Dakota","--","51,406","--","--","--"
"2020","40 to 44","Tennessee","109","425,027","25.65","--","2,499"
"2020","40 to 44","Texas","327","1,933,264","16.91","--","7,565"
"2020","40 to 44","Utah","34","224,678","15.13","--","795"
"2020","40 to 44","Vermont","--","36,575","--","--","--"
"2020","40 to 44","Virginia","67","550,116","12.18","--","1,554"
"2020","40 to 44","Washington","55","500,401","10.99","--","1,280"
"2020","40 to 44","West Virginia","30","109,489","27.40","--","702"
"2020","40 to 44","Wisconsin","47","354,294","13.27","--","1,097"
"2020","40 to 44","Wyoming","--","35,892","--","--","--"
"2020","45 to 49","Alabama","71","310,445","22.87","--","1,280"
"2020","45 to 49","Alaska","10**","41,885","23.88**","--","184"
"2020","45 to 49","Arizona","83","422,715","19.64","--","1,468"
"2020","45 to 49","Arkansas","49","180,033","27.22","--","890"
"2020","45 to 49","California","184","2,487,139","7.40","--","3,296"
"2020","45 to 49","Colorado","62","361,733","17.14","--","1,092"
"2020","45 to 49","Connecticut","14**","221,146","6.33**","--","253"
"2020","45 to 49","Delaware","--","55,873","--","--","--"
"2020","45 to 49","District of Columbia","--","37,504","--","--","--"
"2020","45 to 49","Florida","163","1,325,696","12.30","--","2,921"
"2020","45 to 49","Georgia","134","704,883","19.01","--","2,406"
"2020","45 to 49","Hawaii","--","84,989","--","--","--"
"2020","45 to 49","Idaho","18**","105,448","17.07**","--","329"
"2020","45 to 49","Illinois","89","796,622","11.17","--","1,607"
"2020","45 to 49","Indiana","69","410,928","16.79","--","1,241"
"2020","45 to 49","Iowa","28","177,943","15.74","--","512"
"2020","45 to 49","Kansas","16**","164,526","9.73**","--","295"
"2020","45 to 49","Kentucky","68","279,636","24.32","--","1,207"
"2020","45 to 49","Louisiana","79","265,720","29.73","--","1,430"
"2020","45 to 49","Maine","--","82,005","--","--","--"
"2020","45 to 49","Maryland","46","384,791","11.96","--","809"
"2020","45 to 49","Massachusetts","17**","426,716","3.98**","--","313"
"2020","45 to 49","Michigan","105","601,186","17.47","--","1,892"
"2020","45 to 49","Minnesota","30","327,684","9.16","--","547"
"2020","45 to 49","Mississippi","56","177,663","31.52","--","989"
"2020","45 to 49","Missouri","91","358,038","25.42","--","1,644"
"2020","45 to 49","Montana","11**","58,996","18.65**","--","195"
"2020","45 to 49","Nebraska","10**","110,140","9.08**","--","183"
"2020","45 to 49","Nevada","43","198,303","21.68","--","762"
"2020","45 to 49","New Hampshire","15**","84,012","17.86**","--","269"
"2020","45 to 49","New Jersey","20**","598,469","3.34**","--","358"
"2020","45 to 49","New Mexico","39","117,518","33.19","--","700"
"2020","45 to 49","New York","63","1,216,464","5.18","--","1,115"
"2020","45 to 49","North Carolina","106","671,588","15.78","--","1,882"
"2020","45 to 49","North Dakota","--","39,417","--","--","--"
"2020","45 to 49","Ohio","103","704,054","14.63","--","1,855"
"2020","45 to 49","Oklahoma","62","228,938","27.08","--","1,106"
"2020","45 to 49","Oregon","37","261,974","14.12","--","644"
"2020","45 to 49","Pennsylvania","95","764,828","12.42","--","1,718"
"2020","45 to 49","Rhode Island","--","64,366","--","--","--"
"2020","45 to 49","South Carolina","80","310,766","25.74","--","1,424"
"2020","45 to 49","South Dakota","--","46,468","--","--","--"
"2020","45 to 49","Tennessee","108","434,595","24.85","--","1,930"
"2020","45 to 49","Texas","274","1,855,372","14.77","--","4,940"
"2020","45 to 49","Utah","32","184,379","17.36","--","569"
"2020","45 to 49","Vermont","--","37,476","--","--","--"
"2020","45 to 49","Virginia","76","543,286","13.99","--","1,366"
"2020","45 to 49","Washington","47","466,237","10.08","--","843"
"2020","45 to 49","West Virginia","24","112,622","21.31","--","436"
"2020","45 to 49","Wisconsin","49","340,697","14.38","--","892"
"2020","45 to 49","Wyoming","--","32,339","--","--","--"
"2020","50 to 54","Alabama","66","314,657","20.98","--","864"
"2020","50 to 54","Alaska","--","42,903","--","--","--"
"2020","50 to 54","Arizona","88","416,870","21.11","--","1,136"
"2020","50 to 54","Arkansas","30","178,987","16.76","--","387"
"2020","50 to 54","California","190","2,488,389","7.64","--","2,472"
"2020","50 to 54","Colorado","56","346,125","16.18","--","745"
"2020","50 to 54","Connecticut","--","251,431","--","--","--"
"2020","50 to 54","Delaware","--","62,386","--","--","--"
"2020","50 to 54","District of Columbia","--","35,065","--","--","--"
"2020","50 to 54","Florida","183","1,372,981","13.33","--","2,364"
"2020","50 to 54","Georgia","108","699,010","15.45","--","1,397"
"2020","50 to 54","Hawaii","--","86,766","--","--","--"
"2020","50 to 54","Idaho","30","102,487","29.27","--","390"
"2020","50 to 54","Illinois","70","808,550","8.66","--","910"
"2020","50 to 54","Indiana","65","413,818","15.71","--","846"
"2020","50 to 54","Iowa","23","185,308","12.41","--","298"
"2020","50 to 54","Kansas","30","164,856","18.20","--","408"
"2020","50 to 54","Kentucky","46","284,745","16.16","--","608"
"2020","50 to 54","Louisiana","67","275,889","24.29","--","853"
"2020","50 to 54","Maine","15**","91,724","16.35**","--","196"
"2020","50 to 54","Maryland","37","415,166","8.91","--","488"
"2020","50 to 54","Massachusetts","19**","469,515","4.05**","--","252"
"2020","50 to 54","Michigan","78","646,436","12.07","--","1,037"
"2020","50 to 54","Minnesota","29","345,997","8.38","--","372"
"2020","50 to 54","Mississippi","35","179,100","19.54","--","459"
"2020","50 to 54","Missouri","84","368,550","22.79","--","1,065"
"2020","50 to 54","Montana","12**","60,044","19.99**","--","162"
"2020","50 to 54","Nebraska","--","108,454","--","--","--"
"2020","50 to 54","Nevada","44","198,161","22.20","--","562"
"2020","50 to 54","New Hampshire","11**","96,856","11.36**","--","144"
"2020","50 to 54","New Jersey","28","637,781","4.39","--","376"
"2020","50 to 54","New Mexico","24","118,811","20.20","--","317"
"2020","50 to 54","New York","57","1,314,595","4.34","--","726"
"2020","50 to 54","North Carolina","102","679,422","15.01","--","1,322"
"2020","50 to 54","North Dakota","--","39,931","--","--","--"
"2020","50 to 54","Ohio","90","740,696","12.15","--","1,165"
"2020","50 to 54","Oklahoma","46","223,763","20.56","--","595"
"2020","50 to 54","Oregon","36","255,142","14.11","--","462"
"2020","50 to 54","Pennsylvania","79","836,552","9.44","--","1,037"
"2020","50 to 54","Rhode Island","--","72,804","--","--","--"
"2020","50 to 54","South Carolina","65","321,583","20.21","--","867"
"2020","50 to 54","South Dakota","--","47,884","--","--","--"
"2020","50 to 54","Tennessee","90","440,939","20.41","--","1,180"
"2020","50 to 54","Texas","246","1,732,587","14.20","--","3,190"
"2020","50 to 54","Utah","30","159,034","18.86","--","386"
"2020","50 to 54","Vermont","--","41,735","--","--","--"
"2020","50 to 54","Virginia","74","556,603","13.30","--","968"
"2020","50 to 54","Washington","51","467,189","10.92","--","672"
"2020","50 to 54","West Virginia","16**","115,187","13.89**","--","206"
"2020","50 to 54","Wisconsin","44","371,442","11.85","--","571"
"2020","50 to 54","Wyoming","--","31,578","--","--","--"
"2020","55 to 59","Alabama","54","341,389","15.82","--","432"
"2020","55 to 59","Alaska","11**","47,098","23.36**","--","82"
"2020","55 to 59","Arizona","95","437,668","21.71","--","773"
"2020","55 to 59","Arkansas","55","196,244","28.03","--","450"
"2020","55 to 59","California","184","2,494,710","7.38","--","1,451"
"2020","55 to 59","Colorado","59","357,851","16.49","--","487"
"2020","55 to 59","Connecticut","14**","271,818","5.15**","--","108"
"2020","55 to 59","Delaware","--","70,381","--","--","--"
"2020","55 to 59","District of Columbia","--","35,511","--","--","--"
"2020","55 to 59","Florida","202","1,496,847","13.50","--","1,616"
"2020","55 to 59","Georgia","95","700,368","13.56","--","734"
"2020","55 to 59","Hawaii","--","91,540","--","--","--"
"2020","55 to 59","Idaho","29","110,376","26.27","--","233"
"2020","55 to 59","Illinois","74","853,392","8.67","--","604"
"2020","55 to 59","Indiana","55","447,024","12.30","--","444"
"2020","55 to 59","Iowa","14**","207,931","6.73**","--","110"
"2020","55 to 59","Kansas","36","185,744","19.38","--","277"
"2020","55 to 59","Kentucky","66","308,157","21.42","--","543"
"2020","55 to 59","Louisiana","51","304,443","16.75","--","416"
"2020","55 to 59","Maine","15**","105,966","14.16**","--","112"
"2020","55 to 59","Maryland","32","439,482","7.28","--","257"
"2020","55 to 59","Massachusetts","10**","500,802","2.00**","--","73"
"2020","55 to 59","Michigan","98","705,692","13.89","--","788"
"2020","55 to 59","Minnesota","39","387,781","10.06","--","312"
"2020","55 to 59","Mississippi","36","194,080","18.55","--","289"
"2020","55 to 59","Missouri","68","418,701","16.24","--","531"
"2020","55 to 59","Montana","13**","71,856","18.09**","--","102"
"2020","55 to 59","Nebraska","13**","122,592","10.60**","--","99"
"2020","55 to 59","Nevada","40","199,479","20.05","--","322"
"2020","55 to 59","New Hampshire","--","110,721","--","--","--"
"2020","55 to 59","New Jersey","23","666,778","3.45","--","180"
