"Year","Sex","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2023","Females","New York","105","10,015,595","1.05","1.08","2,545"
"2023","Females","North Carolina","257","5,538,969","4.64","4.73","6,576"
"2023","Females","North Dakota","13**","381,838","3.41**","3.66**","440"
"2023","Females","Ohio","275","5,973,286","4.60","4.78","6,996"
"2023","Females","Oklahoma","144","2,037,066","7.07","7.10","3,474"
"2023","Females","Oregon","91","2,125,147","4.28","4.02","1,747"
"2023","Females","Pennsylvania","226","6,571,832","3.44","3.42","4,495"
"2023","Females","Rhode Island","12**","558,503","2.15**","1.88**","174"
"2023","Females","South Carolina","156","2,762,518","5.65","5.89","4,072"
"2023","Females","South Dakota","12**","451,921","2.66**","2.93**","335"
"2023","Females","Tennessee","264","3,631,374","7.27","7.14","6,384"
"2023","Females","Texas","761","15,287,209","4.98","4.97","19,234"
"2023","Females","Utah","68","1,686,145","4.03","4.18","1,706"
"2023","Females","Vermont","11**","326,028","3.37**","2.70**","139"
"2023","Females","Virginia","162","4,409,697","3.67","3.57","3,317"
"2023","Females","Washington","161","3,878,878","4.15","4.11","3,854"
"2023","Females","West Virginia","49","886,438","5.53","5.45","797"
"2023","Females","Wisconsin","100","2,951,439","3.39","3.47","2,541"
"2023","Females","Wyoming","14**","285,032","4.91**","4.57**","242"
"2022","Males","Alabama","1,088","2,463,660","44.16","44.71","27,795"
"2022","Males","Alaska","138","385,171","35.83","35.84","3,498"
"2022","Males","Arizona","1,323","3,674,902","36.00","34.59","28,505"
"2022","Males","Arkansas","554","1,503,494","36.85","37.23","13,747"
"2022","Males","California","3,111","19,496,496","15.96","15.57","72,244"
"2022","Males","Colorado","873","2,957,733","29.52","28.40","20,786"
"2022","Males","Connecticut","222","1,769,851","12.54","12.52","5,404"
"2022","Males","Delaware","107","493,768","21.67","21.14","2,386"
"2022","Males","District of Columbia","139","318,321","43.67","42.00","4,506"
"2022","Males","Florida","2,724","10,926,667","24.93","23.79","57,102"
"2022","Males","Georgia","1,815","5,321,052","34.11","34.19","49,079"
"2022","Males","Hawaii","59","722,852","8.16","7.99","1,223"
"2022","Males","Idaho","292","975,291","29.94","29.43","5,726"
"2022","Males","Illinois","1,568","6,218,598","25.22","25.34","43,598"
"2022","Males","Indiana","1,023","3,389,186","30.18","29.89","24,537"
"2022","Males","Iowa","326","1,604,142","20.32","19.87","6,675"
"2022","Males","Kansas","423","1,473,469","28.71","28.73","9,938"
"2022","Males","Kentucky","707","2,236,516","31.61","32.20","16,200"
"2022","Males","Louisiana","1,079","2,243,625","48.09","48.95","30,632"
"2022","Males","Maine","154","684,579","22.50","20.54","2,432"
"2022","Males","Maryland","736","2,997,871","24.55","25.08","20,778"
"2022","Males","Massachusetts","240","3,411,760","7.03","6.82","6,048"
"2022","Males","Michigan","1,245","4,972,145","25.04","24.99","28,819"
"2022","Males","Minnesota","484","2,864,174","16.90","16.68","10,652"
"2022","Males","Mississippi","701","1,426,196","49.15","50.89","19,249"
"2022","Males","Missouri","1,260","3,049,534","41.32","41.42","30,615"
"2022","Males","Montana","243","568,821","42.72","41.56","4,957"
"2022","Males","Nebraska","208","989,129","21.03","20.81","4,756"
"2022","Males","Nevada","510","1,599,463","31.89","31.37","10,631"
"2022","Males","New Hampshire","134","698,238","19.19","17.18","2,248"
"2022","Males","New Jersey","421","4,556,145","9.24","9.19","10,090"
"2022","Males","New Mexico","475","1,050,544","45.22","45.42","11,562"
"2022","Males","New York","942","9,605,512","9.81","9.77","22,793"
"2022","Males","North Carolina","1,535","5,229,648","29.35","28.88","38,346"
"2022","Males","North Dakota","113","399,672","28.27","27.97","2,533"
"2022","Males","Ohio","1,571","5,799,680","27.09","27.26","38,447"
"2022","Males","Oklahoma","675","2,000,300","33.75","34.09","14,925"
"2022","Males","Oregon","560","2,112,489","26.51","25.11","10,683"
"2022","Males","Pennsylvania","1,703","6,393,930","26.64","26.34","40,676"
"2022","Males","Rhode Island","33","536,381","6.15","5.45","687"
"2022","Males","South Carolina","917","2,567,997","35.71","35.57","22,845"
"2022","Males","South Dakota","119","462,379","25.74","25.53","2,951"
"2022","Males","Tennessee","1,259","3,457,465","36.41","35.88","30,050"
"2022","Males","Texas","3,919","14,979,235","26.16","26.16","101,131"
"2022","Males","Utah","392","1,712,827","22.89","24.02","8,874"
"2022","Males","Vermont","76","321,328","23.65","22.67","1,288"
"2022","Males","Virginia","1,142","4,288,995","26.63","26.24","28,661"
"2022","Males","Washington","884","3,919,532","22.55","21.54","18,304"
"2022","Males","West Virginia","274","885,601","30.94","28.64","4,651"
"2022","Males","Wisconsin","692","2,949,228","23.46","23.19","15,579"
"2022","Males","Wyoming","114","297,814","38.28","36.66","2,476"
"2022","Females","Alabama","190","2,610,243","7.28","7.61","4,518"
"2022","Females","Alaska","26","348,105","7.47","7.46","846"
"2022","Females","Arizona","212","3,690,782","5.74","5.78","4,785"
"2022","Females","Arkansas","112","1,542,910","7.26","7.06","2,445"
"2022","Females","California","373","19,544,120","1.91","1.86","8,881"
"2022","Females","Colorado","163","2,883,306","5.65","5.58","4,425"
"2022","Females","Connecticut","30","1,838,855","1.63","1.67","756"
"2022","Females","Delaware","17**","525,691","3.23**","3.44**","378"
"2022","Females","District of Columbia","15**","352,628","4.25**","3.91**","383"
"2022","Females","Florida","508","11,318,854","4.49","4.51","11,386"
"2022","Females","Georgia","348","5,592,098","6.22","6.10","8,640"
"2022","Females","Hawaii","--","716,547","--","--","--"
"2022","Females","Idaho","46","963,705","4.77","4.88","1,041"
"2022","Females","Illinois","230","6,363,917","3.61","3.72","6,412"
"2022","Females","Indiana","188","3,443,088","5.46","5.45","4,404"
"2022","Females","Iowa","41","1,595,551","2.57","2.52","975"
"2022","Females","Kansas","69","1,463,247","4.72","4.84","1,788"
"2022","Females","Kentucky","133","2,275,047","5.85","6.11","3,281"
"2022","Females","Louisiana","187","2,344,398","7.98","8.41","4,936"
"2022","Females","Maine","25","704,759","3.55","3.71","579"
