"Year","Intent","Ethnicity","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2016","Homicide","Unknown","33","--","0.00","0.00","1,116"
"2016","Legal Intervention","Non-Hispanic","421","265,786,268","0.16","0.17","11,422"
"2016","Legal Intervention","Hispanic","87","57,285,487","0.15","0.14","2,848"
"2016","Legal Intervention","Unknown","--","--","--","--","--"
"2016","Suicide","Non-Hispanic","21,582","265,786,268","8.12","7.49","370,620"
"2016","Suicide","Hispanic","1,313","57,285,487","2.29","2.44","35,856"
"2016","Suicide","Unknown","43","--","0.00","0.00","717"
"2016","Undetermined","Non-Hispanic","270","265,786,268","0.10","0.11","7,366"
"2016","Undetermined","Hispanic","26","57,285,487","0.05","0.04","904"
"2016","Undetermined","Unknown","--","--","--","--","--"
"2015","Unintentional","Non-Hispanic","448","264,620,835","0.17","0.17","12,647"
"2015","Unintentional","Hispanic","37","56,118,159","0.07","0.06","1,176"
"2015","Unintentional","Unknown","--","--","--","--","--"
"2015","Homicide","Non-Hispanic","10,911","264,620,835","4.12","4.32","351,158"
"2015","Homicide","Hispanic","2,021","56,118,159","3.60","3.34","70,845"
"2015","Homicide","Unknown","47","--","0.00","0.00","1,401"
"2015","Legal Intervention","Non-Hispanic","390","264,620,835","0.15","0.15","10,576"
"2015","Legal Intervention","Hispanic","90","56,118,159","0.16","0.16","2,713"
"2015","Legal Intervention","Unknown","--","--","--","--","--"
"2015","Suicide","Non-Hispanic","20,779","264,620,835","7.85","7.24","352,711"
"2015","Suicide","Hispanic","1,162","56,118,159","2.07","2.25","30,552"
"2015","Suicide","Unknown","77","--","0.00","0.00","999"
"2015","Undetermined","Non-Hispanic","259","264,620,835","0.10","0.10","6,674"
"2015","Undetermined","Hispanic","22","56,118,159","0.04","0.04","804"
"2015","Undetermined","Unknown","--","--","--","--","--"
"2014","Unintentional","Non-Hispanic","427","263,407,751","0.16","0.16","11,564"
"2014","Unintentional","Hispanic","32","54,978,578","0.06","0.05","1,255"
"2014","Unintentional","Unknown","--","--","--","--","--"
"2014","Homicide","Non-Hispanic","9,223","263,407,751","3.50","3.65","297,239"
"2014","Homicide","Hispanic","1,746","54,978,578","3.18","2.91","62,169"
"2014","Homicide","Unknown","39","--","0.00","0.00","1,080"
"2014","Legal Intervention","Non-Hispanic","368","263,407,751","0.14","0.15","10,405"
"2014","Legal Intervention","Hispanic","95","54,978,578","0.17","0.17","3,002"
"2014","Legal Intervention","Unknown","--","--","--","--","--"
"2014","Suicide","Non-Hispanic","20,202","263,407,751","7.67","7.05","336,037"
"2014","Suicide","Hispanic","1,116","54,978,578","2.03","2.24","29,168"
"2014","Suicide","Unknown","68","--","0.00","0.00","878"
"2014","Undetermined","Non-Hispanic","251","263,407,751","0.10","0.09","6,048"
"2014","Undetermined","Hispanic","21","54,978,578","0.04","0.04","706"
"2014","Undetermined","Unknown","--","--","--","--","--"
"2013","Unintentional","Non-Hispanic","456","262,153,137","0.17","0.17","12,768"
"2013","Unintentional","Hispanic","49","53,906,810","0.09","0.09","1,792"
"2013","Homicide","Non-Hispanic","9,426","262,153,137","3.60","3.74","303,135"
"2013","Homicide","Hispanic","1,750","53,906,810","3.25","2.99","61,856"
"2013","Homicide","Unknown","32","--","0.00","0.00","850"
"2013","Legal Intervention","Non-Hispanic","380","262,153,137","0.15","0.15","10,685"
"2013","Legal Intervention","Hispanic","86","53,906,810","0.16","0.15","2,689"
"2013","Legal Intervention","Unknown","--","--","--","--","--"
"2013","Suicide","Non-Hispanic","20,087","262,153,137","7.66","7.09","338,514"
"2013","Suicide","Hispanic","1,034","53,906,810","1.92","2.09","27,320"
"2013","Suicide","Unknown","54","--","0.00","0.00","623"
"2013","Undetermined","Non-Hispanic","246","262,153,137","0.09","0.09","6,223"
"2013","Undetermined","Hispanic","32","53,906,810","0.06","0.06","1,157"
"2013","Undetermined","Unknown","--","--","--","--","--"
"2012","Unintentional","Non-Hispanic","497","261,008,434","0.19","0.19","13,283"
"2012","Unintentional","Hispanic","48","52,869,228","0.09","0.09","1,820"
"2012","Unintentional","Unknown","--","--","--","--","--"
"2012","Homicide","Non-Hispanic","9,722","261,008,434","3.73","3.87","315,504"
"2012","Homicide","Hispanic","1,870","52,869,228","3.54","3.24","66,582"
"2012","Homicide","Unknown","30","--","0.00","0.00","1,022"
"2012","Legal Intervention","Non-Hispanic","368","261,008,434","0.14","0.15","10,670"
"2012","Legal Intervention","Hispanic","101","52,869,228","0.19","0.18","3,248"
"2012","Legal Intervention","Unknown","--","--","--","--","--"
"2012","Suicide","Non-Hispanic","19,572","261,008,434","7.50","6.95","332,742"
"2012","Suicide","Hispanic","1,023","52,869,228","1.94","2.17","27,168"
"2012","Suicide","Unknown","71","--","0.00","0.00","976"
"2012","Undetermined","Non-Hispanic","237","261,008,434","0.09","0.09","5,976"
"2012","Undetermined","Hispanic","19**","52,869,228","0.04**","0.03**","728"
"2011","Unintentional","Non-Hispanic","537","259,758,723","0.21","0.21","14,663"
"2011","Unintentional","Hispanic","52","51,824,758","0.10","0.09","2,017"
"2011","Unintentional","Unknown","--","--","--","--","--"
"2011","Homicide","Non-Hispanic","9,196","259,758,723","3.54","3.66","299,722"
"2011","Homicide","Hispanic","1,831","51,824,758","3.53","3.20","66,067"
"2011","Homicide","Unknown","41","--","0.00","0.00","1,145"
"2011","Legal Intervention","Non-Hispanic","357","259,758,723","0.14","0.14","9,556"
"2011","Legal Intervention","Hispanic","97","51,824,758","0.19","0.17","3,289"
"2011","Suicide","Non-Hispanic","18,984","259,758,723","7.31","6.81","328,657"
"2011","Suicide","Hispanic","946","51,824,758","1.83","2.07","24,667"
"2011","Suicide","Unknown","60","--","0.00","0.00","658"
"2011","Undetermined","Non-Hispanic","226","259,758,723","0.09","0.09","5,995"
"2011","Undetermined","Hispanic","21","51,824,758","0.04","0.04","702"
"2011","Undetermined","Unknown","--","--","--","--","--"
"2010","Unintentional","Non-Hispanic","568","258,279,494","0.22","0.22","16,527"
"2010","Unintentional","Hispanic","37","50,478,611","0.07","0.07","1,435"
"2010","Unintentional","Unknown","--","--","--","--","--"
"2010","Homicide","Non-Hispanic","9,082","258,279,494","3.52","3.64","298,044"
"2010","Homicide","Hispanic","1,919","50,478,611","3.80","3.40","69,973"
"2010","Homicide","Unknown","77","--","0.00","0.00","2,457"
"2010","Legal Intervention","Non-Hispanic","277","258,279,494","0.11","0.11","7,421"
"2010","Legal Intervention","Hispanic","65","50,478,611","0.13","0.12","2,039"
"2010","Legal Intervention","Unknown","--","--","--","--","--"
"2010","Suicide","Non-Hispanic","18,365","258,279,494","7.11","6.66","318,534"
"2010","Suicide","Hispanic","962","50,478,611","1.91","2.23","24,513"
"2010","Suicide","Unknown","65","--","0.00","0.00","1,185"
"2010","Undetermined","Non-Hispanic","227","258,279,494","0.09","0.09","5,989"
"2010","Undetermined","Hispanic","25","50,478,611","0.05","0.05","871"
"2009","Unintentional","Non-Hispanic","505","257,444,040","0.20","0.20","13,876"
"2009","Unintentional","Hispanic","47","49,327,489","0.10","0.10","1,661"
"2009","Unintentional","Unknown","--","--","--","--","--"
"2009","Homicide","Non-Hispanic","9,275","257,444,040","3.60","3.72","303,376"
"2009","Homicide","Hispanic","2,115","49,327,489","4.29","3.85","77,044"
