"Year","Ethnicity","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2022","Hispanic","North Carolina","114","1,122,009","10.16","9.79","4,092"
"2022","Hispanic","North Dakota","--","36,075","--","--","--"
"2022","Hispanic","Ohio","54","524,999","10.29","10.24","1,759"
"2022","Hispanic","Oklahoma","46","486,693","9.45","10.07","1,526"
"2022","Hispanic","Oregon","44","609,534","7.22","7.29","1,279"
"2022","Hispanic","Pennsylvania","145","1,116,130","12.99","11.98","5,147"
"2022","Hispanic","Rhode Island","--","191,980","--","--","--"
"2022","Hispanic","South Carolina","36","348,159","10.34","9.68","1,256"
"2022","Hispanic","South Dakota","--","44,508","--","--","--"
"2022","Hispanic","Tennessee","52","449,510","11.57","11.18","1,860"
"2022","Hispanic","Texas","1,265","12,068,549","10.48","10.05","41,860"
"2022","Hispanic","Utah","46","512,087","8.98","8.55","1,560"
"2022","Hispanic","Vermont","--","14,857","--","--","--"
"2022","Hispanic","Virginia","57","911,003","6.26","5.78","1,966"
"2022","Hispanic","Washington","131","1,093,313","11.98","11.23","4,478"
"2022","Hispanic","West Virginia","--","36,790","--","--","--"
"2022","Hispanic","Wisconsin","39","448,151","8.70","8.90","1,311"
"2022","Hispanic","Wyoming","--","62,808","--","--","--"
"2022","Unknown","Alaska","--","--","--","--","--"
"2022","Unknown","Arizona","11**","--","0.00**","0.00**","197"
"2022","Unknown","California","--","--","--","--","--"
"2022","Unknown","Colorado","--","--","--","--","--"
"2022","Unknown","Hawaii","--","--","--","--","--"
"2022","Unknown","Idaho","--","--","--","--","--"
"2022","Unknown","Illinois","--","--","--","--","--"
"2022","Unknown","Kansas","--","--","--","--","--"
"2022","Unknown","Maine","--","--","--","--","--"
"2022","Unknown","Massachusetts","--","--","--","--","--"
"2022","Unknown","Michigan","--","--","--","--","--"
"2022","Unknown","Minnesota","--","--","--","--","--"
"2022","Unknown","Mississippi","--","--","--","--","--"
"2022","Unknown","Missouri","--","--","--","--","--"
"2022","Unknown","Nebraska","--","--","--","--","--"
"2022","Unknown","New Hampshire","--","--","--","--","--"
"2022","Unknown","New Mexico","--","--","--","--","--"
"2022","Unknown","New York","--","--","--","--","--"
"2022","Unknown","North Dakota","--","--","--","--","--"
"2022","Unknown","Oregon","--","--","--","--","--"
"2022","Unknown","Pennsylvania","--","--","--","--","--"
"2022","Unknown","South Dakota","--","--","--","--","--"
"2022","Unknown","Tennessee","--","--","--","--","--"
"2022","Unknown","Texas","--","--","--","--","--"
"2022","Unknown","Virginia","--","--","--","--","--"
"2022","Unknown","Washington","--","--","--","--","--"
"2022","Unknown","West Virginia","--","--","--","--","--"
"2021","Non-Hispanic","Alabama","1,291","4,808,789","26.85","26.84","33,430"
"2021","Non-Hispanic","Alaska","168","678,598","24.76","24.82","4,615"
"2021","Non-Hispanic","Arizona","998","4,924,050","20.27","19.01","19,276"
"2021","Non-Hispanic","Arkansas","681","2,776,700","24.53","24.62","16,169"
"2021","Non-Hispanic","California","2,248","23,464,207","9.58","9.06","47,341"
"2021","Non-Hispanic","Colorado","830","4,517,869","18.37","17.07","17,223"
"2021","Non-Hispanic","Connecticut","213","2,981,930","7.14","6.81","4,866"
"2021","Non-Hispanic","Delaware","150","903,191","16.61","17.59","3,953"
"2021","Non-Hispanic","District of Columbia","176","591,929","29.73","25.27","5,800"
"2021","Non-Hispanic","Florida","2,749","15,989,086","17.19","16.84","58,143"
"2021","Non-Hispanic","Georgia","2,097","9,682,768","21.66","21.50","54,841"
"2021","Non-Hispanic","Hawaii","64","1,287,724","4.97","4.78","1,358"
"2021","Non-Hispanic","Idaho","287","1,652,000","17.37","17.25","5,908"
"2021","Non-Hispanic","Illinois","1,786","10,393,717","17.18","17.68","50,810"
"2021","Non-Hispanic","Indiana","1,193","6,288,191","18.97","18.87","30,408"
"2021","Non-Hispanic","Iowa","357","2,982,514","11.97","11.62","7,315"
"2021","Non-Hispanic","Kansas","430","2,561,715","16.79","16.84","10,274"
"2021","Non-Hispanic","Kentucky","918","4,318,565","21.26","21.13","22,102"
