"Year","State","Deaths","Population","Crude Rate","Age-Adjusted Rate","Years of Potential Life Lost"
"2019","Arkansas","140","1,020,255","13.72","14.29","6,262"
"2019","California","604","13,134,893","4.60","5.10","26,929"
"2019","Colorado","176","1,870,301","9.41","10.12","7,901"
"2019","Connecticut","30","1,115,151","2.69","3.14","1,323"
"2019","Delaware","20**","299,556","6.68**","6.60**","893"
"2019","District of Columbia","69","215,769","31.98","29.68","3,033"
"2019","Florida","533","6,248,466","8.53","9.73","23,677"
"2019","Georgia","421","3,672,096","11.47","13.40","18,827"
"2019","Hawaii","--","437,740","--","--","--"
"2019","Idaho","47","637,457","7.37","8.40","2,094"
"2019","Illinois","421","4,150,024","10.15","10.83","18,965"
"2019","Indiana","250","2,319,463","10.78","12.24","11,190"
"2019","Iowa","64","1,084,955","5.90","5.71","2,887"
"2019","Kansas","100","1,034,309","9.67","11.78","4,511"
"2019","Kentucky","134","1,480,405","9.05","9.56","6,038"
"2019","Louisiana","271","1,574,575","17.21","19.71","12,190"
"2019","Maine","24","372,223","6.45","7.57","1,091"
"2019","Maryland","200","1,943,997","10.29","12.86","8,788"
"2019","Massachusetts","54","2,145,609","2.52","2.63","2,383"
"2019","Michigan","254","3,226,601","7.87","9.02","11,322"
"2019","Minnesota","94","1,875,096","5.01","5.29","4,264"
"2019","Mississippi","183","1,024,113","17.87","21.88","8,175"
"2019","Missouri","325","2,018,957","16.10","17.97","14,668"
"2019","Montana","39","341,168","11.43","11.14","1,781"
"2019","Nebraska","41","691,289","5.93","7.33","1,798"
"2019","Nevada","84","989,133","8.49","10.81","3,728"
"2019","New Hampshire","21","396,868","5.29","5.33","908"
"2019","New Jersey","88","2,811,744","3.13","3.40","3,964"
"2019","New Mexico","108","702,417","15.38","17.38","4,845"
"2019","New York","158","6,072,464","2.60","2.82","6,995"
"2019","North Carolina","338","3,442,512","9.82","11.03","15,103"
"2019","North Dakota","15**","276,350","5.43**","6.88**","710"
"2019","Ohio","362","3,797,309","9.53","10.98","16,228"
"2019","Oklahoma","151","1,388,799","10.87","11.96","6,934"
"2019","Oregon","85","1,285,116","6.61","8.09","3,757"
"2019","Pennsylvania","320","3,937,846","8.13","9.25","14,233"
"2019","Rhode Island","--","327,414","--","--","--"
"2019","South Carolina","264","1,649,260","16.01","17.89","11,870"
"2019","South Dakota","30","312,766","9.59","13.59","1,324"
"2019","Tennessee","263","2,219,251","11.85","12.55","11,815"
"2019","Texas","887","10,642,068","8.34","9.26","40,159"
"2019","Utah","89","1,344,091","6.62","7.49","3,959"
"2019","Vermont","--","187,812","--","--","--"
"2019","Virginia","237","2,789,449","8.50","9.89","10,592"
"2019","Washington","144","2,431,160","5.92","6.88","6,434"
"2019","West Virginia","50","536,607","9.32","9.26","2,246"
"2019","Wisconsin","115","1,891,976","6.08","7.02","5,168"
"2019","Wyoming","24","193,259","12.42","12.43","1,089"
"2018","Alabama","254","1,612,284","15.75","17.62","11,416"
"2018","Alaska","44","264,947","16.61","18.55","1,998"
"2018","Arizona","228","2,428,748","9.39","10.03","10,082"
"2018","Arkansas","122","1,024,485","11.91","13.39","5,508"
"2018","California","640","13,297,415","4.81","5.18","28,591"
"2018","Colorado","187","1,875,697","9.97","11.28","8,381"
"2018","Connecticut","24","1,128,993","2.13","2.16","1,062"
"2018","Delaware","34","299,971","11.33","12.48","1,563"
"2018","District of Columbia","58","215,902","26.86","27.19","2,544"
"2018","Florida","522","6,248,603","8.35","9.15","23,364"
"2018","Georgia","387","3,668,184","10.55","12.84","17,316"
"2018","Hawaii","--","444,287","--","--","--"
"2018","Idaho","63","631,713","9.97","10.74","2,797"
"2018","Illinois","414","4,209,309","9.84","11.29","18,451"
"2018","Indiana","246","2,323,728","10.59","11.55","11,121"
"2018","Iowa","58","1,088,187","5.33","5.53","2,597"
"2018","Kansas","98","1,043,088","9.40","9.82","4,356"
"2018","Kentucky","137","1,486,264","9.22","9.08","6,187"
"2018","Louisiana","269","1,589,768","16.92","20.06","12,040"
"2018","Maine","17**","374,308","4.54**","4.48**","778"
"2018","Maryland","174","1,953,082","8.91","10.96","7,723"
"2018","Massachusetts","54","2,163,597","2.50","2.68","2,336"
"2018","Michigan","285","3,263,259","8.73","9.91","12,698"
"2018","Minnesota","99","1,877,920","5.27","5.21","4,437"
"2018","Mississippi","183","1,036,275","17.66","22.36","8,171"
"2018","Missouri","292","2,028,926","14.39","15.76","13,230"
"2018","Montana","25","342,115","7.31","7.70","1,121"
"2018","Nebraska","33","692,898","4.76","5.44","1,471"
"2018","Nevada","101","979,815","10.31","11.91","4,560"
"2018","New Hampshire","21","400,983","5.24","3.86","913"
"2018","New Jersey","92","2,832,536","3.25","4.08","4,058"
"2018","New Mexico","106","708,987","14.95","17.29","4,673"
"2018","New York","192","6,157,228","3.12","3.30","8,554"
"2018","North Carolina","311","3,435,975","9.05","9.67","13,921"
"2018","North Dakota","18**","276,212","6.52**","6.38**","832"
"2018","Ohio","361","3,819,692","9.45","11.06","16,161"
"2018","Oklahoma","116","1,390,963","8.34","9.56","5,281"
"2018","Oregon","89","1,290,769","6.90","6.17","4,067"
"2018","Pennsylvania","365","3,978,092","9.18","10.00","16,164"
"2018","Rhode Island","10**","332,094","3.01**","2.18**","441"
"2018","South Carolina","230","1,644,955","13.98","15.45","10,346"
"2018","South Dakota","34","312,097","10.89","14.68","1,555"
"2018","Tennessee","318","2,221,718","14.31","16.26","14,300"
"2018","Texas","808","10,594,739","7.63","9.28","36,348"
"2018","Utah","91","1,336,109","6.81","7.62","4,130"
"2018","Vermont","--","189,999","--","--","--"
"2018","Virginia","269","2,793,340","9.63","10.59","12,041"
"2018","Washington","172","2,426,760","7.09","7.35","7,766"
"2018","West Virginia","45","543,421","8.28","10.03","2,003"
"2018","Wisconsin","122","1,905,690","6.40","8.43","5,391"
"2018","Wyoming","24","194,980","12.31","12.02","1,066"
"Total","","41,191","432,896,192","9.52","--","1,848,522"
"","","","","","",""
"Injury Outcome: Fatal","","","","","",""
"Injury Type: All Injury","","","","","",""
"Data Years: 2018 to 2021","","","","","",""
"Geography: United States","","","","","",""
"Intent: All Intents","","","","","",""
"Mechanism: Firearm","","","","","",""
"Age: <1 to 25","","","","","",""
"Sex: Both Sexes","","","","","",""
"Race: All Races","","","","","",""
"Ethnicity: Non-Hispanic, Hispanic, Unknown","","","","","",""
"Metro / Non-Metro Indicator: None Selected","","","","","",""
"YPLL Age: 65","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","",""
