Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2000,2000,Prostate,28010,Virginia,51,752,3486075,21.6
,2000,2000,Prostate,28010,Washington,53,574,2942778,19.5
,2000,2000,Prostate,28010,West Virginia,54,248,878752,28.2
,2000,2000,Prostate,28010,Wisconsin,55,661,2654764,24.9
,2000,2000,Prostate,28010,Wyoming,56,61,248716,24.5
,2001,2001,Prostate,28010,Alabama,01,611,2158138,28.3
,2001,2001,Prostate,28010,Alaska,02,31,328135,9.4
,2001,2001,Prostate,28010,Arizona,04,507,2631801,19.3
,2001,2001,Prostate,28010,Arkansas,05,348,1314726,26.5
,2001,2001,Prostate,28010,California,06,2943,17185235,17.1
,2001,2001,Prostate,28010,Colorado,08,338,2229982,15.2
,2001,2001,Prostate,28010,Connecticut,09,389,1663876,23.4
,2001,2001,Prostate,28010,Delaware,10,105,386350,27.2
,2001,2001,Prostate,28010,District of Columbia,11,92,270764,34
,2001,2001,Prostate,28010,Florida,12,2213,7984190,27.7
,2001,2001,Prostate,28010,Georgia,13,745,4120876,18.1
,2001,2001,Prostate,28010,Hawaii,15,113,616759,18.3
,2001,2001,Prostate,28010,Idaho,16,132,661919,19.9
,2001,2001,Prostate,28010,Illinois,17,1402,6118002,22.9
,2001,2001,Prostate,28010,Indiana,18,688,3007602,22.9
,2001,2001,Prostate,28010,Iowa,19,397,1439710,27.6
,2001,2001,Prostate,28010,Kansas,20,315,1336196,23.6
,2001,2001,Prostate,28010,Kentucky,21,381,1991261,19.1
,2001,2001,Prostate,28010,Louisiana,22,562,2169812,25.9
,2001,2001,Prostate,28010,Maine,23,184,626035,29.4
,2001,2001,Prostate,28010,Maryland,24,558,2594827,21.5
,2001,2001,Prostate,28010,Massachusetts,25,755,3085067,24.5
,2001,2001,Prostate,28010,Michigan,26,1114,4901831,22.7
,2001,2001,Prostate,28010,Minnesota,27,600,2468647,24.3
,2001,2001,Prostate,28010,Mississippi,28,412,1379508,29.9
,2001,2001,Prostate,28010,Missouri,29,562,2745666,20.5
,2001,2001,Prostate,28010,Montana,30,124,452278,27.4
,2001,2001,Prostate,28010,Nebraska,31,190,848628,22.4
,2001,2001,Prostate,28010,Nevada,32,203,1067549,19
,2001,2001,Prostate,28010,New Hampshire,33,136,618105,22
,2001,2001,Prostate,28010,New Jersey,34,996,4122739,24.2
,2001,2001,Prostate,28010,New Mexico,35,188,901303,20.9
,2001,2001,Prostate,28010,New York,36,2079,9204125,22.6
,2001,2001,Prostate,28010,North Carolina,37,913,4022805,22.7
,2001,2001,Prostate,28010,North Dakota,38,88,319275,27.6
,2001,2001,Prostate,28010,Ohio,39,1275,5533713,23
,2001,2001,Prostate,28010,Oklahoma,40,370,1707048,21.7
,2001,2001,Prostate,28010,Oregon,41,431,1720048,25.1
,2001,2001,Prostate,28010,Pennsylvania,42,1637,5944575,27.5
,2001,2001,Prostate,28010,Rhode Island,44,137,508168,27
,2001,2001,Prostate,28010,South Carolina,45,499,1975032,25.3
,2001,2001,Prostate,28010,South Dakota,46,115,376435,30.5
,2001,2001,Prostate,28010,Tennessee,47,605,2802368,21.6
,2001,2001,Prostate,28010,Texas,48,1754,10588432,16.6
,2001,2001,Prostate,28010,Utah,49,181,1144533,15.8
,2001,2001,Prostate,28010,Vermont,50,73,300444,24.3
,2001,2001,Prostate,28010,Virginia,51,733,3532976,20.7
,2001,2001,Prostate,28010,Washington,53,591,2983642,19.8
,2001,2001,Prostate,28010,West Virginia,54,209,877838,23.8
,2001,2001,Prostate,28010,Wisconsin,55,628,2673188,23.5
,2001,2001,Prostate,28010,Wyoming,56,67,249330,26.9
,2002,2002,Prostate,28010,Alabama,01,568,2165719,26.2
,2002,2002,Prostate,28010,Alaska,02,40,332704,12
,2002,2002,Prostate,28010,Arizona,04,542,2692038,20.1
,2002,2002,Prostate,28010,Arkansas,05,336,1322688,25.4
,2002,2002,Prostate,28010,California,06,3058,17373381,17.6
,2002,2002,Prostate,28010,Colorado,08,374,2261741,16.5
,2002,2002,Prostate,28010,Connecticut,09,440,1678249,26.2
,2002,2002,Prostate,28010,Delaware,10,82,391517,20.9
,2002,2002,Prostate,28010,District of Columbia,11,102,270012,37.8
,2002,2002,Prostate,28010,Florida,12,2241,8147636,27.5
,2002,2002,Prostate,28010,Georgia,13,750,4180322,17.9
,2002,2002,Prostate,28010,Hawaii,15,102,623421,16.4
,2002,2002,Prostate,28010,Idaho,16,150,671686,22.3
,2002,2002,Prostate,28010,Illinois,17,1331,6137659,21.7
,2002,2002,Prostate,28010,Indiana,18,630,3022625,20.8
,2002,2002,Prostate,28010,Iowa,19,399,1442784,27.7
,2002,2002,Prostate,28010,Kansas,20,312,1341637,23.3
,2002,2002,Prostate,28010,Kentucky,21,411,2002652,20.5
,2002,2002,Prostate,28010,Louisiana,22,495,2181743,22.7
,2002,2002,Prostate,28010,Maine,23,148,631734,23.4
,2002,2002,Prostate,28010,Maryland,24,570,2625192,21.7
,2002,2002,Prostate,28010,Massachusetts,25,724,3097770,23.4
,2002,2002,Prostate,28010,Michigan,26,1021,4915539,20.8
,2002,2002,Prostate,28010,Minnesota,27,602,2487730,24.2
,2002,2002,Prostate,28010,Mississippi,28,395,1383269,28.6
,2002,2002,Prostate,28010,Missouri,29,538,2764349,19.5
,2002,2002,Prostate,28010,Montana,30,110,454955,24.2
,2002,2002,Prostate,28010,Nebraska,31,183,853489,21.4
,2002,2002,Prostate,28010,Nevada,32,215,1104027,19.5
,2002,2002,Prostate,28010,New Hampshire,33,136,625409,21.7
,2002,2002,Prostate,28010,New Jersey,34,878,4153842,21.1
,2002,2002,Prostate,28010,New Mexico,35,200,913453,21.9
,2002,2002,Prostate,28010,New York,36,2030,9234873,22
,2002,2002,Prostate,28010,North Carolina,37,894,4076022,21.9
,2002,2002,Prostate,28010,North Dakota,38,88,319151,27.6
,2002,2002,Prostate,28010,Ohio,39,1301,5548504,23.4
,2002,2002,Prostate,28010,Oklahoma,40,350,1720000,20.3
,2002,2002,Prostate,28010,Oregon,41,436,1742298,25
,2002,2002,Prostate,28010,Pennsylvania,42,1650,5967199,27.7
,2002,2002,Prostate,28010,Rhode Island,44,115,512905,22.4
,2002,2002,Prostate,28010,South Carolina,45,478,1996726,23.9
,2002,2002,Prostate,28010,South Dakota,46,110,377692,29.1
,2002,2002,Prostate,28010,Tennessee,47,595,2824045,21.1
,2002,2002,Prostate,28010,Texas,48,1704,10775672,15.8
,2002,2002,Prostate,28010,Utah,49,183,1165962,15.7
,2002,2002,Prostate,28010,Vermont,50,62,302483,20.5
,2002,2002,Prostate,28010,Virginia,51,816,3573178,22.8
,2002,2002,Prostate,28010,Washington,53,619,3015607,20.5
,2002,2002,Prostate,28010,West Virginia,54,213,881573,24.2
,2002,2002,Prostate,28010,Wisconsin,55,660,2693465,24.5
,2002,2002,Prostate,28010,Wyoming,56,59,252232,23.4
,2003,2003,Prostate,28010,Alabama,01,540,2179422,24.8
,2003,2003,Prostate,28010,Alaska,02,21,335380,6.3
,2003,2003,Prostate,28010,Arizona,04,553,2746287,20.1
,2003,2003,Prostate,28010,Arkansas,05,336,1333293,25.2
,2003,2003,Prostate,28010,California,06,3013,17543650,17.2
,2003,2003,Prostate,28010,Colorado,08,352,2275518,15.5
,2003,2003,Prostate,28010,Connecticut,09,379,1690868,22.4
,2003,2003,Prostate,28010,Delaware,10,85,397201,21.4
,2003,2003,Prostate,28010,District of Columbia,11,73,267895,27.2
,2003,2003,Prostate,28010,Florida,12,2137,8306512,25.7
,2003,2003,Prostate,28010,Georgia,13,707,4227841,16.7
,2003,2003,Prostate,28010,Hawaii,15,112,627401,17.9
,2003,2003,Prostate,28010,Idaho,16,150,683503,21.9
,2003,2003,Prostate,28010,Illinois,17,1234,6153147,20.1
,2003,2003,Prostate,28010,Indiana,18,633,3044272,20.8
,2003,2003,Prostate,28010,Iowa,19,416,1448092,28.7
,2003,2003,Prostate,28010,Kansas,20,266,1345589,19.8
,2003,2003,Prostate,28010,Kentucky,21,396,2014862,19.7
,2003,2003,Prostate,28010,Louisiana,22,456,2193889,20.8
,2003,2003,Prostate,28010,Maine,23,160,637833,25.1
