AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,29023,11630,40653,0.7139202519
_40-64,93274,23867,117141,0.796254087
_65-69,18064,4253,22317,0.8094277905
_70-74,10248,2529,12777,0.8020662127
_75-79,4515,1186,5701,0.7919663217
_80-84,1706,432,2138,0.7979420019
_85+,836,237,1073,0.7791239515
