AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,48943,27806,76749,0.6377021199
_40-64,739771,296436,1036207,0.7139220252
_65-69,1207162,295212,1502374,0.8035029893
_70-74,1758874,383964,2142838,0.8208151993
_75-79,1549740,332276,1882016,0.823446772
_80-84,1110501,242484,1352985,0.8207785009
_85+,1108604,249044,1357648,0.8165621722
