RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,118467,19635,138102,0.857822479
"Non-Hispanic White",6176109,1068010,7244119,0.8525686836
"Black or African-American",761638,251344,1012982,0.7518771311
Other,55690,10498,66188,0.8413911887
"Asian/Pacific Islander",214937,39961,254898,0.8432274871
Hispanic,475435,124995,600430,0.7918241927
"American Indian / Alaska Native",23992,10106,34098,0.7036189806
