AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,43504,12056,55560,0.7830093593
_40-64,1198144,283542,1481686,0.8086355679
_65-69,2265409,377551,2642960,0.8571484245
_70-74,3237970,480046,3718016,0.8708865158
_75-79,2597187,376196,2973383,0.873478795
_80-84,1641480,244987,1886467,0.8701344895
_85+,1344791,212953,1557744,0.8632939687
