AGE_GROUP,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,Utah,46,242,62,304,0.7960526316
_18-39,Vermont,47,117,30,147,0.7959183673
_18-39,Virginia,49,1066,347,1413,0.754423213
_18-39,Washington,50,709,181,890,0.7966292135
_18-39,"West Virginia",51,482,167,649,0.7426810478
_18-39,Wisconsin,52,983,227,1210,0.8123966942
_18-39,Wyoming,53,77,17,94,0.8191489362
_40-64,Alabama,1,27821,9131,36952,0.7528956484
_40-64,Alaska,2,1411,420,1831,0.7706171491
_40-64,Arizona,3,12240,4083,16323,0.7498621577
_40-64,Arkansas,4,18285,6190,24475,0.7470888662
_40-64,California,5,81837,23036,104873,0.7803438445
_40-64,Colorado,6,10976,2714,13690,0.8017531045
_40-64,Connecticut,7,13439,3161,16600,0.8095783133
_40-64,Delaware,8,4674,1234,5908,0.7911306703
_40-64,"District of Columbia",9,2202,892,3094,0.7117000646
_40-64,Florida,10,62956,17605,80561,0.781469942
_40-64,Georgia,11,34851,11847,46698,0.7463060517
_40-64,Hawaii,12,2114,560,2674,0.7905759162
_40-64,Idaho,13,4993,1265,6258,0.7978587408
_40-64,Illinois,14,45404,13055,58459,0.7766810927
_40-64,Indiana,15,32229,8589,40818,0.7895781273
_40-64,Iowa,16,13705,2923,16628,0.8242121722
_40-64,Kansas,17,11798,2681,14479,0.8148352787
_40-64,Kentucky,18,32608,10624,43232,0.7542561066
_40-64,Louisiana,19,22968,8333,31301,0.7337784735
_40-64,Maine,20,9817,1789,11606,0.8458555919
_40-64,Maryland,21,18741,5987,24728,0.7578857975
_40-64,Massachusetts,22,34377,8357,42734,0.8044414284
_40-64,Michigan,23,50040,14516,64556,0.7751409629
_40-64,Minnesota,24,18374,3818,22192,0.8279560202
_40-64,Mississippi,25,20042,7858,27900,0.7183512545
_40-64,Missouri,26,32868,8640,41508,0.7918473547
_40-64,Montana,27,3173,786,3959,0.8014650164
_40-64,Nebraska,28,6227,1378,7605,0.8188034188
_40-64,Nevada,29,6334,2280,8614,0.7353146041
_40-64,"New Hampshire",30,6155,1272,7427,0.8287330012
_40-64,"New Jersey",31,27155,7741,34896,0.7781694177
_40-64,"New Mexico",32,6657,2178,8835,0.7534804754
_40-64,"New York",33,64270,17895,82165,0.7822065356
_40-64,"North Carolina",34,48055,14338,62393,0.77019858
_40-64,"North Dakota",35,2228,466,2694,0.8270230141
_40-64,Ohio,36,52153,14555,66708,0.7818102776
_40-64,Oklahoma,37,16149,5504,21653,0.7458088948
_40-64,Oregon,38,11378,2973,14351,0.7928367361
_40-64,Pennsylvania,39,53880,13279,67159,0.8022751977
_40-64,"Rhode Island",41,5093,1144,6237,0.8165784832
_40-64,"South Carolina",42,24073,7755,31828,0.756346613
_40-64,"South Dakota",43,2621,587,3208,0.8170199501
_40-64,Tennessee,44,31429,9578,41007,0.7664301217
_40-64,Texas,45,65478,21677,87155,0.7512821984
_40-64,Utah,46,4340,1112,5452,0.7960381511
_40-64,Vermont,47,3350,628,3978,0.8421317245
_40-64,Virginia,49,27561,7866,35427,0.7779659582
_40-64,Washington,50,19510,4889,24399,0.7996229354
_40-64,"West Virginia",51,14732,4300,19032,0.7740647331
_40-64,Wisconsin,52,23520,4590,28110,0.8367129136
_40-64,Wyoming,53,1612,399,2011,0.8015912481
_65-69,Alabama,1,32786,7650,40436,0.8108121476
_65-69,Alaska,2,4599,1075,5674,0.8105393021
_65-69,Arizona,3,41373,8429,49802,0.8307497691
_65-69,Arkansas,4,25107,5899,31006,0.8097465007
_65-69,California,5,179429,40737,220166,0.8149714306
_65-69,Colorado,6,28090,5272,33362,0.8419759007
_65-69,Connecticut,7,21595,3934,25529,0.8459007403
_65-69,Delaware,8,12647,2191,14838,0.8523385901
_65-69,"District of Columbia",9,2842,905,3747,0.7584734454
_65-69,Florida,10,132443,28051,160494,0.8252208805
_65-69,Georgia,11,56677,13835,70512,0.8037922623
_65-69,Hawaii,12,6540,1241,7781,0.840508932
_65-69,Idaho,13,11147,2048,13195,0.8447896931
_65-69,Illinois,14,102526,19413,121939,0.8407974479
_65-69,Indiana,15,60720,10434,71154,0.8533603171
_65-69,Iowa,16,36947,5044,41991,0.8798790217
_65-69,Kansas,17,28853,4618,33471,0.8620298169
_65-69,Kentucky,18,40944,8924,49868,0.8210475656
_65-69,Louisiana,19,35390,9083,44473,0.7957637218
_65-69,Maine,20,10893,1541,12434,0.8760656265
_65-69,Maryland,21,42794,8959,51753,0.8268892625
_65-69,Massachusetts,22,59526,10153,69679,0.8542889536
_65-69,Michigan,23,76336,16195,92531,0.8249775751
_65-69,Minnesota,24,33746,4727,38473,0.8771346139
_65-69,Mississippi,25,28942,8288,37230,0.7773838302
_65-69,Missouri,26,49146,8922,58068,0.8463525522
_65-69,Montana,27,9874,1729,11603,0.8509868138
_65-69,Nebraska,28,19164,2912,22076,0.8680920457
_65-69,Nevada,29,15635,3665,19300,0.8101036269
_65-69,"New Hampshire",30,12978,1984,14962,0.8673974068
_65-69,"New Jersey",31,62066,13166,75232,0.8249946831
_65-69,"New Mexico",32,11541,2811,14352,0.804138796
_65-69,"New York",33,104545,23572,128117,0.8160119266
_65-69,"North Carolina",34,78693,16841,95534,0.8237172106
_65-69,"North Dakota",35,7562,1104,8666,0.872605585
_65-69,Ohio,36,94725,17723,112448,0.8423893711
_65-69,Oklahoma,37,29898,6546,36444,0.8203819559
_65-69,Oregon,38,24494,4705,29199,0.8388643447
_65-69,Pennsylvania,39,105502,17919,123421,0.8548140106
_65-69,"Rhode Island",41,7715,1334,9049,0.8525803956
_65-69,"South Carolina",42,49059,11218,60277,0.8138925295
_65-69,"South Dakota",43,9371,1458,10829,0.8653615292
_65-69,Tennessee,44,52266,10900,63166,0.827438812
_65-69,Texas,45,143016,32958,175974,0.8127109687
_65-69,Utah,46,12174,2293,14467,0.8415013479
_65-69,Vermont,47,7025,997,8022,0.8757167789
_65-69,Virginia,49,61500,12089,73589,0.8357227303
_65-69,Washington,50,40251,7736,47987,0.8387896722
_65-69,"West Virginia",51,18289,3680,21969,0.8324912377
_65-69,Wisconsin,52,48173,6435,54608,0.8821601231
_65-69,Wyoming,53,5242,920,6162,0.8506978254
_70-74,Alabama,1,54734,10509,65243,0.8389252487
_70-74,Alaska,2,5853,1160,7013,0.8345928989
_70-74,Arizona,3,65514,12181,77695,0.8432202844
_70-74,Arkansas,4,32451,6553,39004,0.8319915906
_70-74,California,5,261563,52065,313628,0.8339912253
_70-74,Colorado,6,40621,6673,47294,0.8589038779
