RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,220938,35874,256812,0.8603102659
"Non-Hispanic White",9344843,1647173,10992016,0.8501482349
"Black or African-American",1029854,337901,1367755,0.7529521003
Other,93791,19020,112811,0.8313994203
"Asian/Pacific Islander",407319,82637,489956,0.8313379161
Hispanic,809610,236007,1045617,0.7742892474
"American Indian / Alaska Native",35590,15259,50849,0.6999154359
