AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_75-79,Michigan,26,86599,15564,102163,0.8476552176
_75-79,Minnesota,27,36385,4436,40821,0.8913304427
_75-79,Mississippi,28,26254,6337,32591,0.8055598171
_75-79,Missouri,29,52803,8541,61344,0.8607687793
_75-79,Montana,30,9090,1368,10458,0.8691910499
_75-79,Nebraska,31,18249,2506,20755,0.8792580101
_75-79,Nevada,32,19994,4074,24068,0.8307295995
_75-79,"New Hampshire",33,16143,2097,18240,0.8850328947
_75-79,"New Jersey",34,88815,17313,106128,0.8368668024
_75-79,"New Mexico",35,11853,2528,14381,0.8242125026
_75-79,"New York",36,137181,28009,165190,0.8304437315
_75-79,"North Carolina",37,93985,17865,111850,0.8402771569
_75-79,"North Dakota",38,7037,939,7976,0.8822718154
_75-79,Ohio,39,93371,15802,109173,0.8552572523
_75-79,Oklahoma,40,30157,5627,35784,0.8427509501
_75-79,Oregon,41,25673,4017,29690,0.8647019198
_75-79,Pennsylvania,42,99474,15801,115275,0.8629277814
_75-79,"Rhode Island",44,8844,1322,10166,0.8699586858
_75-79,"South Carolina",45,52413,10716,63129,0.8302523404
_75-79,"South Dakota",46,8344,1199,9543,0.8743581683
_75-79,Tennessee,47,54690,10061,64751,0.8446201603
_75-79,Texas,48,179022,37495,216517,0.8268265309
_75-79,Utah,49,13333,2435,15768,0.845573313
_75-79,Vermont,50,7876,940,8816,0.8933756806
_75-79,Virginia,51,66645,11735,78380,0.8502806838
_75-79,Washington,53,47177,7682,54859,0.8599682823
_75-79,"West Virginia",54,15459,2751,18210,0.8489291598
_75-79,Wisconsin,55,46732,5714,52446,0.8910498417
_75-79,Wyoming,56,4649,726,5375,0.8649302326
_80-84,Alabama,1,24832,4752,29584,0.8393726339
_80-84,Alaska,2,2308,453,2761,0.8359290112
_80-84,Arizona,4,28042,5429,33471,0.8377998865
_80-84,Arkansas,5,15964,3053,19017,0.839459431
_80-84,California,6,142816,27896,170712,0.8365902807
_80-84,Colorado,8,15839,2817,18656,0.8490030017
_80-84,Connecticut,9,23966,3982,27948,0.8575211106
_80-84,Delaware,10,8472,1364,9836,0.8613257422
_80-84,"District of Columbia",11,1882,441,2323,0.8101592768
_80-84,Florida,12,120411,24751,145162,0.8294939447
_80-84,Georgia,13,39811,8152,47963,0.8300356525
_80-84,Hawaii,15,5146,888,6034,0.852833941
_80-84,Idaho,16,6750,1170,7920,0.8522727273
_80-84,Illinois,17,79773,13925,93698,0.8513842345
_80-84,Indiana,18,39615,6762,46377,0.8541949673
_80-84,Iowa,19,24156,3100,27256,0.886263575
_80-84,Kansas,20,17146,2531,19677,0.8713726686
_80-84,Kentucky,21,25072,4801,29873,0.8392863121
_80-84,Louisiana,22,20597,4695,25292,0.8143681797
_80-84,Maine,23,9664,1288,10952,0.8823959094
_80-84,Maryland,24,31460,6020,37480,0.8393810032
_80-84,Massachusetts,25,45255,6841,52096,0.8686847359
_80-84,Michigan,26,57734,10352,68086,0.8479569956
_80-84,Minnesota,27,25433,3197,28630,0.8883339155
_80-84,Mississippi,28,16375,3900,20275,0.8076448829
_80-84,Missouri,29,33055,5482,38537,0.8577471002
_80-84,Montana,30,5645,914,6559,0.8606494893
_80-84,Nebraska,31,12051,1669,13720,0.8783527697
_80-84,Nevada,32,10767,2325,13092,0.8224106324
_80-84,"New Hampshire",33,9439,1311,10750,0.8780465116
_80-84,"New Jersey",34,58881,12183,71064,0.8285629855
_80-84,"New Mexico",35,6895,1616,8511,0.8101280696
_80-84,"New York",36,96006,20678,116684,0.8227863289
_80-84,"North Carolina",37,53961,10385,64346,0.8386069064
_80-84,"North Dakota",38,4850,658,5508,0.8805374001
_80-84,Ohio,39,60122,10533,70655,0.8509235015
_80-84,Oklahoma,40,18704,3597,22301,0.8387067844
_80-84,Oregon,41,15034,2352,17386,0.8647187392
_80-84,Pennsylvania,42,63325,10241,73566,0.8607916701
_80-84,"Rhode Island",44,4942,838,5780,0.855017301
_80-84,"South Carolina",45,29123,6095,35218,0.82693509
_80-84,"South Dakota",46,5485,756,6241,0.8788655664
_80-84,Tennessee,47,32100,5884,37984,0.8450926706
_80-84,Texas,48,109504,23580,133084,0.8228186709
_80-84,Utah,49,8189,1532,9721,0.842403045
_80-84,Vermont,50,4739,574,5313,0.8919631094
_80-84,Virginia,51,41443,7323,48766,0.8498339007
_80-84,Washington,53,30877,5024,35901,0.8600596084
_80-84,"West Virginia",54,9926,1860,11786,0.842185644
_80-84,Wisconsin,55,28363,3698,32061,0.8846573719
_80-84,Wyoming,56,2881,526,3407,0.8456119753
_85+,Alabama,1,17987,3294,21281,0.8452140407
_85+,Alaska,2,1476,291,1767,0.8353140917
_85+,Arizona,4,17983,3426,21409,0.8399738428
_85+,Arkansas,5,11451,2277,13728,0.8341346154
_85+,California,6,126310,25382,151692,0.8326741028
_85+,Colorado,8,11009,2206,13215,0.8330684828
_85+,Connecticut,9,24557,4375,28932,0.8487833541
_85+,Delaware,10,6501,1126,7627,0.8523665924
_85+,"District of Columbia",11,1502,406,1908,0.78721174
_85+,Florida,12,96698,21526,118224,0.8179219109
_85+,Georgia,13,28486,5965,34451,0.8268555339
_85+,Hawaii,15,5070,873,5943,0.8531044927
_85+,Idaho,16,4613,812,5425,0.8503225806
_85+,Illinois,17,67176,12940,80116,0.8384841979
_85+,Indiana,18,31318,5738,37056,0.8451532815
_85+,Iowa,19,19543,2812,22355,0.8742115858
_85+,Kansas,20,14148,2361,16509,0.8569870979
_85+,Kentucky,21,18033,3743,21776,0.8281135195
_85+,Louisiana,22,15701,3470,19171,0.8189974441
_85+,Maine,23,8158,1154,9312,0.8760738832
_85+,Maryland,24,26901,5394,32295,0.8329772411
_85+,Massachusetts,25,41258,7066,48324,0.8537786607
_85+,Michigan,26,48393,9200,57593,0.8402583647
_85+,Minnesota,27,21356,3030,24386,0.8757483802
