ENTLMT_RSN_CURR,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,10748607,2030231,12778838,0.841125539
Disabled,1190193,342639,1532832,0.7764666969
ESRD,1844,504,2348,0.7853492334
"Disabled and ESRD",1301,497,1798,0.7235817575
