age_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
_50_54,11932,4186,16118,73.6026272034766,72.2161057363016,74.9891486706515,.,.,.
_55_59,13224,4317,17541,75.8317157248419,74.38243616571,77.2809952839739,.,.,.
_60_64,16850,5039,21889,76.2167382485217,74.9921231620899,77.4413533349536,.,.,.
_65_69,18526,4691,23217,79.4315480117776,78.2780239619038,80.5850720616513,.,.,.
_70_74,17273,4239,21512,78.9656442874715,77.6527322104706,80.2785563644724,.,.,.
