education_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Graduated from College or Technical
School",Nebraska,31,463,124,587,79.2112489745163,75.1499783941137,83.2725195549189,79.5529238497094,73.1663674149711,85.9394802844477
"Don’t know/Not sure/Missing",Nebraska,31,1,1,2,.,.,.,.,.,.
"Did not graduate High School",Nevada,32,39,15,54,78.4942840631442,65.0247333456717,91.9638347806166,80.5992875208281,62.3922990332868,98.8062760083694
"Graduated High School",Nevada,32,99,52,151,62.0441045225786,49.7446515658013,74.3435574793559,63.9199567071421,45.1411166226904,82.6987967915938
"Attended College or Technical School",Nevada,32,142,75,217,67.4286874462899,58.2116299524547,76.6457449401251,67.6590875550529,53.2992824193893,82.0188926907165
"Graduated from College or Technical
School",Nevada,32,227,56,283,78.4459866063753,71.0401860371989,85.8517871755517,78.4208784667684,66.4825464155406,90.3592105179963
"Don’t know/Not sure/Missing",Nevada,32,1,1,2,.,.,.,.,.,.
"Did not graduate High School","New Hampshire",33,21,8,29,68.2043782612265,53.0166422899917,83.3921142324614,66.3802324695817,39.5841212135576,93.1763437256058
"Graduated High School","New Hampshire",33,275,92,367,75.8337526287054,70.3827877649928,81.2847174924181,77.1148143689569,68.9050417352403,85.3245870026735
"Attended College or Technical School","New Hampshire",33,410,110,520,80.4807675444458,76.4760941714305,84.485440917461,80.6281726240429,74.3098006974139,86.9465445506718
"Graduated from College or Technical
School","New Hampshire",33,802,143,945,85.1760398191077,82.5303293137538,87.8217503244616,84.8676550729366,80.7673276464788,88.9679824993943
"Don’t know/Not sure/Missing","New Hampshire",33,2,1,3,.,.,.,.,.,.
"Did not graduate High School","New Jersey",34,51,26,77,65.381698018853,51.542129467873,79.221266569833,65.6333630468543,46.8058445080142,84.4608815856945
"Graduated High School","New Jersey",34,221,85,306,72.4859183263481,65.188910136129,79.7829265165673,71.3215400775226,59.5905033561748,83.0525767988703
"Attended College or Technical School","New Jersey",34,292,97,389,77.5988025389498,71.9601886644433,83.2374164134563,77.5692384649185,68.36896317886,86.7695137509771
"Graduated from College or Technical
School","New Jersey",34,659,152,811,80.2048079463009,76.3583916495623,84.0512242430395,81.5674068871357,76.286217192938,86.8485965813334
"Don’t know/Not sure/Missing","New Jersey",34,6,1,7,91.7439698315769,65.8376485815778,100,100,100,100
"Did not graduate High School","New Mexico",35,80,49,129,58.4658628783845,47.4013813507746,69.5303444059944,56.9279561168324,39.2198834704928,74.6360287631719
"Graduated High School","New Mexico",35,166,83,249,67.4285249655162,59.3772815494981,75.4797683815342,66.1816613884123,53.4037399712094,78.9595828056152
"Attended College or Technical School","New Mexico",35,216,92,308,69.0194481131933,61.502559982489,76.5363362438977,68.5436579536114,55.624215681778,81.4631002254447
"Graduated from College or Technical
School","New Mexico",35,395,139,534,77.3762605439675,72.9023036486541,81.8502174392809,77.126755510151,69.8712920175311,84.3822190027709
"Don’t know/Not sure/Missing","New Mexico",35,0,1,1,.,.,.,.,.,.
"Did not graduate High School","New York",36,185,47,232,77.2888170318849,70.3643844330703,84.2132496306995,76.3246701425533,64.9972220045999,87.6521182805066
"Graduated High School","New York",36,606,187,793,76.4232482791577,72.1208387612137,80.7256577971018,76.7312011117633,70.2920533541188,83.1703488694079
"Attended College or Technical School","New York",36,797,198,995,78.6186323634188,74.1696944895751,83.0675702372625,78.0777192548215,71.2052141443227,84.9502243653202
"Graduated from College or Technical
School","New York",36,1533,319,1852,81.8648625015616,78.9884356151196,84.7412893880037,81.6486578541189,76.7204919180377,86.5768237902001
"Don’t know/Not sure/Missing","New York",36,13,3,16,83.863089397393,64.4307004309556,100,80.0837639362403,77.5937455880224,82.5737822844583
"Did not graduate High School","North Carolina",37,27,14,41,56.7331109524525,35.7819135545789,77.6843083503261,56.8397180153384,28.2912039955226,85.3882320351542
"Graduated High School","North Carolina",37,141,46,187,78.3338119346438,72.1692066050706,84.4984172642168,78.2674591932716,68.5585064047102,87.976411981833
"Attended College or Technical School","North Carolina",37,262,55,317,80.4349100690266,74.8183010474518,86.0515190906013,80.2626371483872,71.1155387346055,89.409735562169
"Graduated from College or Technical
School","North Carolina",37,367,74,441,82.8871574645462,78.4500629157623,87.3242520133302,82.9961298021166,75.632382254363,90.3598773498701
"Don’t know/Not sure/Missing","North Carolina",37,3,0,3,.,.,.,.,.,.
"Did not graduate High School","North Dakota",38,16,8,24,66.5187347469815,41.1975598903371,91.8399096036259,72.1125141873548,39.1998318230743,100
"Graduated High School","North Dakota",38,122,41,163,76.1252055990594,69.1031085152685,83.1473026828504,75.7323350806367,63.9914413141251,87.4732288471484
"Attended College or Technical School","North Dakota",38,256,59,315,82.2115259016393,77.7060190522293,86.7170327510493,82.0880513850938,74.6782944416251,89.4978083285624
"Graduated from College or Technical
School","North Dakota",38,328,75,403,82.2217336499816,78.135080403792,86.3083868961712,81.8576295069229,75.2458462773405,88.4694127365054
"Don’t know/Not sure/Missing","North Dakota",38,.,.,.,.,.,.,.,.,.
"Did not graduate High School",Ohio,39,98,56,154,65.0269766513302,54.3203901257435,75.7335631769169,64.8246543674967,48.658833025784,80.9904757092094
"Graduated High School",Ohio,39,857,300,1157,73.6852014755422,70.0541242661617,77.3162786849228,73.9987829977297,68.0779461334679,79.9196198619915
