insurance_status,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Have some form of insurance",4642,10600,15242,29.0284343245183,27.6033266042967,30.4535420447399,27.7919549416692,25.6865397586143,29.8973701247242
"Do not have some form of health insurance",41,450,491,8.86701332962972,7.24791056418507,10.4861160950744,18.0963162692559,15.0782632785845,21.1143692599274
"Don´t know, refused or missing insurance response",128,345,473,27.268565836518,24.2574942566261,30.2796374164099,26.7017688570419,23.8072215005061,29.5963162135776
