sex_name,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
Male,Alabama,1,35,67,102,35.1485483035074,23.4353238632364,46.8617727437783,33.0018512784989,19.4799747330955,46.5237278239023
Female,Alabama,1,31,74,105,29.8968316794289,19.0657771701907,40.7278861886671,30.9335766080721,17.6928805028862,44.1742727132581
Male,Alaska,2,29,94,123,24.759958137585,15.2679944810597,34.2519217941103,26.6447308148502,11.5703176834322,41.7191439462683
Female,Alaska,2,20,73,93,15.5209021352588,7.29493439614504,23.7468698743726,.,.,.
Male,Arizona,4,50,154,204,25.047410231153,16.1750849101695,33.9197355521365,23.1309896583302,9.88909830791805,36.3728810087424
Female,Arizona,4,37,136,173,22.3081787539259,13.4187925071487,31.197565000703,21.577884148488,10.2070750579484,32.9486932390276
Male,Arkansas,5,47,115,162,27.6523390248041,19.811624729825,35.4930533197833,27.3736499219397,16.0059878564547,38.7413119874246
Female,Arkansas,5,36,97,133,24.8442404358352,14.6849381102691,35.0035427614014,24.4185556017053,11.0939459730564,37.7431652303542
Male,California,6,31,102,133,26.8797264674395,15.7026232817914,38.0568296530875,.,.,.
Female,California,6,18,60,78,23.79396993761,12.323400454701,35.2645394205189,.,.,.
Male,Colorado,8,25,92,117,21.4568289607802,12.8850414071991,30.0286165143612,23.8541202661256,13.0771915196084,34.6310490126428
Female,Colorado,8,18,67,85,20.8160030718693,9.6701857798147,31.9618203639238,.,.,.
Male,Connecticut,9,60,98,158,41.5045405193139,30.8604982253915,52.1485828132363,41.1391731684112,22.0948423337803,60.183504003042
Female,Connecticut,9,50,71,121,41.1193761312087,28.8861423757915,53.352609886626,43.4999829461826,24.5542889412497,62.4456769511155
Male,Delaware,10,24,59,83,34.2983054195576,19.9771476412179,48.6194631978974,.,.,.
Female,Delaware,10,33,55,88,39.1154545635852,26.7827740053731,51.4481351217973,32.4836133606586,14.9532910763287,50.0139356449885
Male,"District of Columbia",11,13,16,29,36.3319596459561,14.7973600919556,57.8665591999567,.,.,.
Female,"District of Columbia",11,8,20,28,.,.,.,.,.,.
Male,Florida,12,95,249,344,24.7123000617033,16.9233505658855,32.501249557521,24.176871859144,16.6026716090449,31.7510721092432
Female,Florida,12,98,235,333,29.0984309991293,23.9210599009202,34.2758020973385,26.2560476586966,19.4685525886609,33.0435427287324
Male,Georgia,13,41,119,160,27.1342028736027,16.5311575957453,37.73724815146,22.4526973274653,10.5846898118462,34.3207048430845
Female,Georgia,13,45,129,174,20.8956031747699,13.5372687968071,28.2539375527326,18.9472500060405,9.73740126005006,28.1570987520309
Male,Hawaii,15,27,97,124,.,.,.,.,.,.
Female,Hawaii,15,23,67,90,32.1473992760453,16.4996288221834,47.7951697299071,.,.,.
Male,Idaho,16,16,57,73,24.522693227337,10.5400706164718,38.5053158382021,.,.,.
Female,Idaho,16,21,54,75,31.0730162877576,17.5510255363159,44.5950070391993,.,.,.
Male,Illinois,17,18,54,72,28.6915043692209,15.4172246958211,41.9657840426207,29.143003379222,12.8566549448961,45.4293518135479
Female,Illinois,17,15,40,55,31.2345171854476,14.2356956841315,48.2333386867638,.,.,.
Male,Indiana,18,92,197,289,28.2563070582709,22.5916956204199,33.9209184961219,27.6390666073641,19.0476525781699,36.2304806365583
Female,Indiana,18,68,169,237,31.1691780155453,23.2498386610793,39.0885173700113,31.1443121709172,18.9092092034217,43.3794151384127
Male,Iowa,19,61,159,220,25.5287373801451,18.352817377413,32.7046573828772,23.6599262509281,12.404995974608,34.9148565272483
Female,Iowa,19,47,100,147,37.0542263584021,26.879967161108,47.2284855556963,37.8864563485886,20.8386363610123,54.934276336165
