RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,169,48,217,0.7788018433
"Non-Hispanic White",7070,1724,8794,0.8039572436
"Black or African-American",6427,3384,9811,0.6550810315
Other,132,35,167,0.7904191617
"Asian/Pacific Islander",195,45,240,0.8125
Hispanic,2091,679,2770,0.7548736462
"American Indian / Alaska Native",68,21,89,0.7640449438
