"Notes","Year","Year Code","Leading Cancer Sites","Leading Cancer Sites Code","States and Puerto Rico","States and Puerto Rico Code",Count,Population,Crude Rate
,"2000","2000","Lung and Bronchus","22030","Kentucky","21",4155,4049021,102.6
,"2000","2000","Lung and Bronchus","22030","Louisiana","22",3435,4471885,76.8
,"2000","2000","Lung and Bronchus","22030","Maine","23",1173,1277072,91.9
,"2000","2000","Lung and Bronchus","22030","Maryland","24",3581,5311034,67.4
,"2000","2000","Lung and Bronchus","22030","Massachusetts","25",4633,6361104,72.8
,"2000","2000","Lung and Bronchus","22030","Michigan","26",7350,9952450,73.9
,"2000","2000","Lung and Bronchus","22030","Minnesota","27",2675,4933692,54.2
,"2000","2000","Lung and Bronchus","22030","Mississippi","28",Missing,Missing,Missing
,"2000","2000","Lung and Bronchus","22030","Missouri","29",4536,5607285,80.9
,"2000","2000","Lung and Bronchus","22030","Montana","30",690,903773,76.3
,"2000","2000","Lung and Bronchus","22030","Nebraska","31",1104,1713820,64.4
,"2000","2000","Lung and Bronchus","22030","Nevada","32",1584,2018741,78.5
,"2000","2000","Lung and Bronchus","22030","New Hampshire","33",867,1239882,69.9
,"2000","2000","Lung and Bronchus","22030","New Jersey","34",6070,8430621,72.0
,"2000","2000","Lung and Bronchus","22030","New Mexico","35",845,1821204,46.4
,"2000","2000","Lung and Bronchus","22030","New York","36",13076,19001780,68.8
,"2000","2000","Lung and Bronchus","22030","North Carolina","37",5690,8081614,70.4
,"2000","2000","Lung and Bronchus","22030","North Dakota","38",382,642023,59.5
,"2000","2000","Lung and Bronchus","22030","Ohio","39",8831,11363543,77.7
,"2000","2000","Lung and Bronchus","22030","Oklahoma","40",2965,3454365,85.8
,"2000","2000","Lung and Bronchus","22030","Oregon","41",2484,3429708,72.4
,"2000","2000","Lung and Bronchus","22030","Pennsylvania","42",10091,12284173,82.1
,"2000","2000","Lung and Bronchus","22030","Rhode Island","44",923,1050268,87.9
,"2000","2000","Lung and Bronchus","22030","South Carolina","45",3000,4024223,74.5
,"2000","2000","Lung and Bronchus","22030","South Dakota","46",Missing,Missing,Missing
,"2000","2000","Lung and Bronchus","22030","Tennessee","47",3990,5703719,70.0
,"2000","2000","Lung and Bronchus","22030","Texas","48",12004,20944499,57.3
,"2000","2000","Lung and Bronchus","22030","Utah","49",441,2244502,19.6
,"2000","2000","Lung and Bronchus","22030","Vermont","50",411,609618,67.4
,"2000","2000","Lung and Bronchus","22030","Virginia","51",4191,7105817,59.0
,"2000","2000","Lung and Bronchus","22030","Washington","53",3874,5910512,65.5
,"2000","2000","Lung and Bronchus","22030","West Virginia","54",1999,1807021,110.6
,"2000","2000","Lung and Bronchus","22030","Wisconsin","55",3465,5373999,64.5
,"2000","2000","Lung and Bronchus","22030","Wyoming","56",255,494300,51.6
,"2000","2000","Lung and Bronchus","22030","Puerto Rico","72",Missing,Missing,Missing
,"2001","2001","Lung and Bronchus","22030","Alabama","01",3643,4467634,81.5
,"2001","2001","Lung and Bronchus","22030","Alaska","02",282,633714,44.5
,"2001","2001","Lung and Bronchus","22030","Arizona","04",3308,5273477,62.7
,"2001","2001","Lung and Bronchus","22030","Arkansas","05",2442,2691571,90.7
,"2001","2001","Lung and Bronchus","22030","California","06",17586,34479458,51.0
,"2001","2001","Lung and Bronchus","22030","Colorado","08",2021,4425687,45.7
,"2001","2001","Lung and Bronchus","22030","Connecticut","09",2545,3432835,74.1
,"2001","2001","Lung and Bronchus","22030","Delaware","10",623,795699,78.3
,"2001","2001","Lung and Bronchus","22030","District of Columbia","11",404,574504,70.3
,"2001","2001","Lung and Bronchus","22030","Florida","12",15799,16356966,96.6
,"2001","2001","Lung and Bronchus","22030","Georgia","13",5383,8377038,64.3
,"2001","2001","Lung and Bronchus","22030","Hawaii","15",617,1225948,50.3
,"2001","2001","Lung and Bronchus","22030","Idaho","16",634,1319962,48.0
