ENTLMT_RSN_CURR,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,883465,106835,990300,0.8921185499
Disabled,47497,10151,57648,0.8239140994
ESRD,299,131,430,0.6953488372
"Disabled and ESRD",189,80,269,0.7026022305
