education_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",1784,4488,6272,28.7962441049337,26.5506908636512,31.0417973462162,27.2372837380846,23.0087098488524,31.4658576273168
"Graduated High School",8504,14857,23361,36.1418919443975,34.9671257643436,37.3166581244513,36.3376989312836,33.4994450075442,39.175952855023
"Attended College or Technical School",14902,17866,32768,45.2628636163598,44.2122762367012,46.3134509960184,44.299262285105,41.2249032056187,47.3736213645912
"Graduated from College or Technical School",31299,23967,55266,55.7539492248703,54.949235173374,56.5586632763666,53.6941753382224,51.5744607378143,55.8138899386305
"Don’t know/Not sure/Missing",86,169,255,39.5362239635545,32.718063482192,46.354384444917,40.5037765046594,37.3182555580839,43.6892974512349
