income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$15,000 to < $25,000",Florida,12,85,227,312,27.7944633622482,18.9842933710407,36.6046333534557,24.190416026324,11.6246954774812,36.7561365751668
"$25,000 to < $35,000",Florida,12,124,222,346,43.0667114649066,33.7174698469557,52.4159530828576,44.3339465122936,34.3035273360447,54.3643656885426
"$35,000 to < $50,000",Florida,12,149,201,350,36.7946060760638,28.810365160333,44.7788469917947,38.213776203905,28.9503657510967,47.4771866567133
"$50,000 to < $75,000",Florida,12,266,228,494,59.2097864580832,50.7250291231965,67.6945437929698,63.4058436372067,50.1419752393093,76.6697120351041
"$75,000 to < $100,000",Florida,12,215,177,392,49.0423730901602,39.4082548094348,58.6764913708855,46.3250284353563,33.8974214017784,58.7526354689342
"$100,000 to < $200,000",Florida,12,291,211,502,53.07320394554,44.3647286635646,61.7816792275153,54.1336177322462,41.8351958149268,66.4320396495655
"$200,000 or more",Florida,12,91,58,149,58.926137079328,45.6601692828127,72.1921048758434,65.5696623977568,48.7145812214312,82.4247435740823
"Don’t know/Not sure/Missing",Florida,12,196,280,476,32.2498276529127,25.3652382470261,39.1344170587994,31.8918679791991,18.4495664612899,45.3341694971083
"Less than $15,000",Georgia,13,40,131,171,27.8763032665136,17.206795428168,38.5458111048592,26.6319217456448,17.3852198818877,35.8786236094019
"$15,000 to < $25,000",Georgia,13,79,157,236,29.9053794878176,22.5533858353873,37.257373140248,25.6616070799507,12.0833189372471,39.2398952226544
"$25,000 to < $35,000",Georgia,13,98,145,243,37.354084989091,28.9434589432388,45.7647110349432,38.2559166394075,24.220961621232,52.2908716575829
"$35,000 to < $50,000",Georgia,13,110,128,238,47.2500852823231,38.5627736403012,55.9373969243451,48.6535520298441,29.9855251084314,67.3215789512569
"$50,000 to < $75,000",Georgia,13,174,167,341,54.0756881562158,46.7203679874981,61.4310083249336,56.612559724237,41.0248990186372,72.2002204298369
"$75,000 to < $100,000",Georgia,13,159,115,274,53.3154837185446,44.7626234960036,61.8683439410856,51.5499598648201,38.0824823131729,65.0174374164673
"$100,000 to < $200,000",Georgia,13,270,157,427,63.9218246597378,57.970364712881,69.8732846065946,64.442017900174,53.3456807098539,75.5383550904941
"$200,000 or more",Georgia,13,86,39,125,71.1644080243229,60.5348243349562,81.7939917136895,61.9838026020862,50.09467686301,73.8729283411623
"Don’t know/Not sure/Missing",Georgia,13,141,213,354,34.4867297661542,27.9732482382983,41.0002112940101,.,.,.
"Less than $15,000",Hawaii,15,37,91,128,23.98447046974,14.2758160288716,33.6931249106084,.,.,.
"$15,000 to < $25,000",Hawaii,15,64,122,186,36.7598961414457,27.0053543856179,46.5144378972734,.,.,.
"$25,000 to < $35,000",Hawaii,15,74,114,188,38.1020730029961,28.2262041371583,47.9779418688338,.,.,.
"$35,000 to < $50,000",Hawaii,15,90,152,242,34.5534888506232,26.3671937056427,42.7397839956038,38.9100056083609,22.2675944756004,55.5524167411215
"$50,000 to < $75,000",Hawaii,15,155,181,336,46.2576329936992,39.2265073649018,53.2887586224967,47.9799716070525,25.6266654247955,70.3332777893096
"$75,000 to < $100,000",Hawaii,15,143,140,283,51.1049458801232,43.4904269197511,58.7194648404952,44.8692984590488,22.0221204166069,67.7164765014907
"$100,000 to < $200,000",Hawaii,15,275,191,466,56.0550540849953,50.1820249270117,61.9280832429789,52.3627599029554,32.2159067658026,72.5096130401082
