AGE_GROUP,STATE_NAME,STATE_FIPS,BENE_N,TOTAL_N,PER_100K
_65-69,Arizona,4,587,181079,324.16790461621724
_65-69,Arkansas,5,552,98930,557.9702820175881
_65-69,California,6,7874,700253,1124.4507342346267
_65-69,Colorado,8,621,128603,482.8814257832243
_65-69,Connecticut,9,1063,70496,1507.8869723104858
_65-69,Delaware,10,206,38165,539.7615616402462
_65-69,"District of Columbia",11,306,12957,2361.65779115536
_65-69,Florida,12,4101,509682,804.6193508893781
_65-69,Georgia,13,1568,230695,679.6852987711047
_65-69,Hawaii,15,179,28355,631.281960853465
_65-69,Idaho,16,237,52194,454.07518105529374
_65-69,Illinois,17,2930,343270,853.555510239753
_65-69,Indiana,18,1463,190491,768.0152868114504
_65-69,Iowa,19,808,106596,758.0021764418927
_65-69,Kansas,20,697,94019,741.3395164807114
_65-69,Kentucky,21,800,133513,599.1925879876866
_65-69,Louisiana,22,1515,123071,1230.9967417181952
_65-69,Maine,23,328,39774,824.6593251873084
_65-69,Maryland,24,1736,167342,1037.3964695055633
_65-69,Massachusetts,25,2368,179211,1321.3474619303502
_65-69,Michigan,26,2995,268612,1114.9911396363527
_65-69,Minnesota,27,1111,112303,989.2879086044005
_65-69,Mississippi,28,1098,105936,1036.4748527412776
_65-69,Missouri,29,1553,168928,919.3265770032203
_65-69,Montana,30,247,45658,540.978579876473
_65-69,Nebraska,31,346,61439,563.160207685672
_65-69,Nevada,32,456,72707,627.1748249824639
_65-69,"New Hampshire",33,287,46907,611.8489777645127
_65-69,"New Jersey",34,2145,213898,1002.8144255673265
_65-69,"New Mexico",35,251,61050,411.13841113841113
_65-69,"New York",36,6071,371651,1633.521771769752
_65-69,"North Carolina",37,2088,285077,732.433693353024
_65-69,"North Dakota",38,190,24164,786.2936599900679
_65-69,Ohio,39,2465,307705,801.091954956858
_65-69,Oklahoma,40,930,120374,772.5920879924236
_65-69,Oregon,41,643,108702,591.5254549134331
_65-69,Pennsylvania,42,2807,337712,831.1815985218175
_65-69,"Rhode Island",44,190,23799,798.3528719694104
_65-69,"South Carolina",45,866,176631,490.28766184871284
_65-69,"South Dakota",46,202,33665,600.0297044408139
_65-69,Tennessee,47,1207,189965,635.3802016160872
_65-69,Texas,48,3992,563291,708.6923100138295
_65-69,Utah,49,293,52512,557.9677026203534
_65-69,Vermont,50,197,26315,748.6224586737602
_65-69,Virginia,51,1620,242705,667.4769782245936
_65-69,Washington,53,1128,187600,601.2793176972282
_65-69,"West Virginia",54,553,63899,865.4282539632859
_65-69,Wisconsin,55,1292,158155,816.9201100186526
_65-69,Wyoming,56,90,24832,362.4355670103093
_70-74,Alabama,1,759,180871,419.6360942329063
_70-74,Alaska,2,63,24583,256.27466135134034
_70-74,Arizona,4,364,245442,148.30387627219466
_70-74,Arkansas,5,460,118841,387.07180181923746
_70-74,California,6,6107,874657,698.2165580336064
_70-74,Colorado,8,352,154037,228.51652525042684
_70-74,Connecticut,9,710,106208,668.4995480566436
_70-74,Delaware,10,152,48390,314.1144864641455
_70-74,"District of Columbia",11,216,15851,1362.6900511008769
_70-74,Florida,12,3436,702280,489.2635416073361
_70-74,Georgia,13,1152,288949,398.68627335619783
_70-74,Hawaii,15,86,37073,231.97475251530764
_70-74,Idaho,16,134,60107,222.93576455321343
_70-74,Illinois,17,2083,431310,482.9473000857852
_70-74,Indiana,18,1059,232221,456.0311082976992
_70-74,Iowa,19,596,126402,471.5115267163494
_70-74,Kansas,20,464,108464,427.7917096916949
_70-74,Kentucky,21,630,154448,407.9042784626541
_70-74,Louisiana,22,1047,142154,736.5251769208041
_70-74,Maine,23,205,53702,381.73624818442516
_70-74,Maryland,24,1189,211283,562.7523274470733
_70-74,Massachusetts,25,1574,235237,669.1124270416643
_70-74,Michigan,26,1975,316660,623.6973409966525
_70-74,Minnesota,27,571,130610,437.17938902074883
_70-74,Mississippi,28,782,119859,652.4332757656914
_70-74,Missouri,29,1039,206603,502.8968601617595
_70-74,Montana,30,158,49970,316.189713828297
_70-74,Nebraska,31,235,73533,319.5844042810711
_70-74,Nevada,32,326,95608,340.9756505731738
_70-74,"New Hampshire",33,232,63446,365.6652901680169
_70-74,"New Jersey",34,1619,303903,532.7357742437554
_70-74,"New Mexico",35,156,72617,214.82572951237313
_70-74,"New York",36,4813,503546,955.8213152323721
_70-74,"North Carolina",37,1634,361445,452.0743128276778
_70-74,"North Dakota",38,119,26036,457.05945613765556
_70-74,Ohio,39,1913,371148,515.427807774796
_70-74,Oklahoma,40,600,143884,417.00258541602955
_70-74,Oregon,41,364,130662,278.5813779063538
_70-74,Pennsylvania,42,2089,409011,510.744209813428
_70-74,"Rhode Island",44,139,31363,443.19739820807956
_70-74,"South Carolina",45,674,225042,299.4996489544174
_70-74,"South Dakota",46,129,36678,351.7094716178636
_70-74,Tennessee,47,952,231239,411.69525901772624
_70-74,Texas,48,2989,718061,416.25989992493675
_70-74,Utah,49,169,66225,255.19063797659493
_70-74,Vermont,50,150,32010,468.6035613870665
_70-74,Virginia,51,1209,303816,397.9382257682281
_70-74,Washington,53,760,233852,324.9918752031199
_70-74,"West Virginia",54,370,76225,485.4050508363398
_70-74,Wisconsin,55,888,184769,480.60010066623727
_70-74,Wyoming,56,70,26403,265.12138772109233
_75-79,Alabama,1,448,124210,360.6794944046373
_75-79,Alaska,2,38,15379,247.09018791859026
_75-79,Arizona,4,190,170700,111.30638547158759
_75-79,Arkansas,5,288,85528,336.73183051164534
_75-79,California,6,3665,641076,571.6950876339155
_75-79,Colorado,8,195,99823,195.3457619987378
_75-79,Connecticut,9,470,85474,549.8748157334394
_75-79,Delaware,10,98,34655,282.7874765546097
_75-79,"District of Columbia",11,134,11639,1151.30165821806
_75-79,Florida,12,2449,556837,439.80554453098483
_75-79,Georgia,13,743,207482,358.1033535439219
_75-79,Hawaii,15,54,26783,201.6204308703282
_75-79,Idaho,16,106,41983,252.4831479408332
_75-79,Illinois,17,1297,322251,402.4812956360104
_75-79,Indiana,18,687,162310,423.26412420676485
_75-79,Iowa,19,328,86609,378.7135286171183
_75-79,Kansas,20,303,74271,407.96542392050736
_75-79,Kentucky,21,469,110862,423.048474680233
_75-79,Louisiana,22,705,96360,731.6313823163138
_75-79,Maine,23,128,41134,311.1781008411533
_75-79,Maryland,24,626,153636,407.4565856960608
_75-79,Massachusetts,25,1005,170096,590.8428181732668
_75-79,Michigan,26,1156,252843,457.2007134862346
_75-79,Minnesota,27,270,96510,279.76375505129005
_75-79,Mississippi,28,494,81799,603.9193633174
_75-79,Missouri,29,683,151102,452.01254781538296
_75-79,Montana,30,74,33002,224.22883461608384
_75-79,Nebraska,31,178,49878,356.8707646657845
_75-79,Nevada,32,181,68304,264.99180135863196
_75-79,"New Hampshire",33,126,45152,279.05740609496814
_75-79,"New Jersey",34,1173,229780,510.4882931499696
_75-79,"New Mexico",35,98,49199,199.1910404683022
_75-79,"New York",36,2987,374049,798.5584776326095
_75-79,"North Carolina",37,1088,271070,401.3723392481646
_75-79,"North Dakota",38,76,18843,403.3328026322772
_75-79,Ohio,39,1337,249107,536.7171536729197
_75-79,Oklahoma,40,414,102300,404.692082111437
_75-79,Oregon,41,219,87404,250.56061507482494
_75-79,Pennsylvania,42,1264,266705,473.93187229335786
_75-79,"Rhode Island",44,78,22277,350.13691251066126
_75-79,"South Carolina",45,395,154561,255.56252871034735
_75-79,"South Dakota",46,74,25097,294.85595887954736
_75-79,Tennessee,47,695,162132,428.66306466336073
_75-79,Texas,48,1946,535238,363.57657714885715
_75-79,Utah,49,100,46245,216.23959346956426
_75-79,Vermont,50,75,22350,335.5704697986577
_75-79,Virginia,51,747,214667,347.9808261167296
_75-79,Washington,53,396,166971,237.16693318001327
_75-79,"West Virginia",54,241,49643,485.46622887416146
_75-79,Wisconsin,55,524,127851,409.8520934525346
_75-79,Wyoming,56,41,17388,235.79480101219232
_80-84,Alabama,1,222,83498,265.87463172770606
_80-84,Alaska,2,.,.,95.32888465204957
_80-84,Arizona,4,118,101678,116.05263675524697
_80-84,Arkansas,5,184,56617,324.99072716675204
_80-84,California,6,2479,422674,586.5040196463468
_80-84,Colorado,8,88,59613,147.61880797812557
_80-84,Connecticut,9,289,59949,482.07643163355516
_80-84,Delaware,10,62,21216,292.2322775263952
_80-84,"District of Columbia",11,58,7671,756.0943814365793
_80-84,Florida,12,1738,369625,470.2062901589449
_80-84,Georgia,13,458,130567,350.77776160898236
_80-84,Hawaii,15,30,15864,189.10741301059002
_80-84,Idaho,16,51,26755,190.61857596710897
_80-84,Illinois,17,730,217131,336.20256895606803
_80-84,Indiana,18,444,109360,405.9985369422092
_80-84,Iowa,19,157,62281,252.0832998827893
_80-84,Kansas,20,216,50999,423.5377164258123
_80-84,Kentucky,21,307,73848,415.71877369732425
_80-84,Louisiana,22,411,63078,651.5742414153905
_80-84,Maine,23,73,28108,259.7125373559129
_80-84,Maryland,24,390,101240,385.22323192414063
_80-84,Massachusetts,25,462,112011,412.4594905857461
_80-84,Michigan,26,601,174819,343.78414245591154
_80-84,Minnesota,27,129,70646,182.60057186535684
_80-84,Mississippi,28,261,54442,479.4092796003086
_80-84,Missouri,29,399,99407,401.3801844940497
_80-84,Montana,30,37,21177,174.7178542758653
_80-84,Nebraska,31,77,34697,221.9212035622676
_80-84,Nevada,32,101,39337,256.75572616112055
_80-84,"New Hampshire",33,52,28119,184.9283402681461
_80-84,"New Jersey",34,705,156795,449.6316846838228
_80-84,"New Mexico",35,70,30564,229.0276141866248
_80-84,"New York",36,1767,260958,677.12045616536
_80-84,"North Carolina",37,586,167553,349.74008224263366
_80-84,"North Dakota",38,36,13231,272.08827753004306
_80-84,Ohio,39,851,168432,505.2484088534245
_80-84,Oklahoma,40,239,66728,358.170483155497
_80-84,Oregon,41,113,52952,213.40081583320742
_80-84,Pennsylvania,42,745,175798,423.78184052150766
_80-84,"Rhode Island",44,61,13241,460.690280190318
_80-84,"South Carolina",45,216,92655,233.12287518212727
_80-84,"South Dakota",46,34,16979,200.2473643913069
_80-84,Tennessee,47,472,101937,463.031087828757
_80-84,Texas,48,1205,344552,349.7295038194525
_80-84,Utah,49,50,30611,163.33997582568358
_80-84,Vermont,50,43,13991,307.34043313558715
_80-84,Virginia,51,464,140538,330.1598144274147
_80-84,Washington,53,176,108881,161.64436403045525
_80-84,"West Virginia",54,139,33245,418.1079861633328
_80-84,Wisconsin,55,241,83819,287.52430833104665
_80-84,Wyoming,56,17,11187,151.96209886475373
_85+,Alabama,1,251,80668,311.1518817870779
_85+,Alaska,2,12,7167,167.4340728338217
_85+,Arizona,4,101,90093,112.10637896395947
_85+,Arkansas,5,201,55347,363.1633150848284
_85+,California,6,2699,465981,579.2081651397804
_85+,Colorado,8,88,60498,145.45935402823233
_85+,Connecticut,9,280,78609,356.1933111984633
_85+,Delaware,10,55,20909,263.04462193313884
_85+,"District of Columbia",11,59,9222,639.7744523964433
_85+,Florida,12,2238,392486,570.2114215538897
_85+,Georgia,13,432,125247,344.9184411602673
_85+,Hawaii,15,37,20899,177.04196373032204
_85+,Idaho,16,48,25580,187.64659890539485
_85+,Illinois,17,739,242503,304.7384980804361
_85+,Indiana,18,423,118037,358.3622084600591
_85+,Iowa,19,151,73997,204.06232685108856
_85+,Kansas,20,235,60133,390.8003924633728
_85+,Kentucky,21,317,72322,438.3175244047455
_85+,Louisiana,22,389,63459,612.9942167383665
_85+,Maine,23,74,31639,233.8885552640728
_85+,Maryland,24,333,110822,300.4818537835448
_85+,Massachusetts,25,434,133728,324.5393634840871
_85+,Michigan,26,510,194716,261.91992440271986
_85+,Minnesota,27,127,86757,146.3858824071833
_85+,Mississippi,28,232,52010,446.0680638338781
_85+,Missouri,29,398,103461,384.68601695324804
_85+,Montana,30,30,21309,140.78558355624384
_85+,Nebraska,31,93,41034,226.641321830677
_85+,Nevada,32,83,31980,259.53721075672297
_85+,"New Hampshire",33,54,30730,175.7240481614058
_85+,"New Jersey",34,748,186346,401.4038401682891
_85+,"New Mexico",35,53,29852,177.54254321318504
_85+,"New York",36,1616,328337,492.17724472112496
_85+,"North Carolina",37,595,168972,352.1293468740383
