Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2000,2000,Lung and Bronchus,22030,Massachusetts,25,3762,6361104,59.1
,2000,2000,Lung and Bronchus,22030,Michigan,26,5548,9952450,55.7
,2000,2000,Lung and Bronchus,22030,Minnesota,27,2197,4933692,44.5
,2000,2000,Lung and Bronchus,22030,Mississippi,28,1930,2848353,67.8
,2000,2000,Lung and Bronchus,22030,Missouri,29,3739,5607285,66.7
,2000,2000,Lung and Bronchus,22030,Montana,30,485,903773,53.7
,2000,2000,Lung and Bronchus,22030,Nebraska,31,861,1713820,50.2
,2000,2000,Lung and Bronchus,22030,Nevada,32,1184,2018741,58.7
,2000,2000,Lung and Bronchus,22030,New Hampshire,33,659,1239882,53.2
,2000,2000,Lung and Bronchus,22030,New Jersey,34,4682,8430621,55.5
,2000,2000,Lung and Bronchus,22030,New Mexico,35,660,1821204,36.2
,2000,2000,Lung and Bronchus,22030,New York,36,9564,19001780,50.3
,2000,2000,Lung and Bronchus,22030,North Carolina,37,4874,8081614,60.3
,2000,2000,Lung and Bronchus,22030,North Dakota,38,315,642023,49.1
,2000,2000,Lung and Bronchus,22030,Ohio,39,7258,11363543,63.9
,2000,2000,Lung and Bronchus,22030,Oklahoma,40,2321,3454365,67.2
,2000,2000,Lung and Bronchus,22030,Oregon,41,2055,3429708,59.9
,2000,2000,Lung and Bronchus,22030,Pennsylvania,42,8057,12284173,65.6
,2000,2000,Lung and Bronchus,22030,Rhode Island,44,681,1050268,64.8
,2000,2000,Lung and Bronchus,22030,South Carolina,45,2419,4024223,60.1
,2000,2000,Lung and Bronchus,22030,South Dakota,46,389,755844,51.5
,2000,2000,Lung and Bronchus,22030,Tennessee,47,3939,5703719,69.1
,2000,2000,Lung and Bronchus,22030,Texas,48,9470,20944499,45.2
,2000,2000,Lung and Bronchus,22030,Utah,49,407,2244502,18.1
,2000,2000,Lung and Bronchus,22030,Vermont,50,334,609618,54.8
,2000,2000,Lung and Bronchus,22030,Virginia,51,3853,7105817,54.2
,2000,2000,Lung and Bronchus,22030,Washington,53,3113,5910512,52.7
,2000,2000,Lung and Bronchus,22030,West Virginia,54,1582,1807021,87.5
,2000,2000,Lung and Bronchus,22030,Wisconsin,55,2660,5373999,49.5
,2000,2000,Lung and Bronchus,22030,Wyoming,56,232,494300,46.9
,2001,2001,Lung and Bronchus,22030,Alabama,01,2912,4467634,65.2
,2001,2001,Lung and Bronchus,22030,Alaska,02,197,633714,31.1
,2001,2001,Lung and Bronchus,22030,Arizona,04,2440,5273477,46.3
,2001,2001,Lung and Bronchus,22030,Arkansas,05,2003,2691571,74.4
,2001,2001,Lung and Bronchus,22030,California,06,13992,34479458,40.6
,2001,2001,Lung and Bronchus,22030,Colorado,08,1483,4425687,33.5
,2001,2001,Lung and Bronchus,22030,Connecticut,09,1846,3432835,53.8
,2001,2001,Lung and Bronchus,22030,Delaware,10,521,795699,65.5
,2001,2001,Lung and Bronchus,22030,District of Columbia,11,314,574504,54.7
,2001,2001,Lung and Bronchus,22030,Florida,12,11793,16356966,72.1
,2001,2001,Lung and Bronchus,22030,Georgia,13,4191,8377038,50
,2001,2001,Lung and Bronchus,22030,Hawaii,15,475,1225948,38.7
,2001,2001,Lung and Bronchus,22030,Idaho,16,537,1319962,40.7
,2001,2001,Lung and Bronchus,22030,Illinois,17,6793,12488445,54.4
,2001,2001,Lung and Bronchus,22030,Indiana,18,3935,6127760,64.2
,2001,2001,Lung and Bronchus,22030,Iowa,19,1712,2931997,58.4
,2001,2001,Lung and Bronchus,22030,Kansas,20,1555,2702162,57.5
,2001,2001,Lung and Bronchus,22030,Kentucky,21,3340,4068132,82.1
,2001,2001,Lung and Bronchus,22030,Louisiana,22,2890,4477875,64.5
,2001,2001,Lung and Bronchus,22030,Maine,23,860,1285692,66.9
,2001,2001,Lung and Bronchus,22030,Maryland,24,2889,5374691,53.8
,2001,2001,Lung and Bronchus,22030,Massachusetts,25,3693,6397634,57.7
,2001,2001,Lung and Bronchus,22030,Michigan,26,5642,9991120,56.5
,2001,2001,Lung and Bronchus,22030,Minnesota,27,2270,4982796,45.6
,2001,2001,Lung and Bronchus,22030,Mississippi,28,1904,2852994,66.7
,2001,2001,Lung and Bronchus,22030,Missouri,29,3755,5641142,66.6
,2001,2001,Lung and Bronchus,22030,Montana,30,577,906961,63.6
,2001,2001,Lung and Bronchus,22030,Nebraska,31,945,1719836,54.9
,2001,2001,Lung and Bronchus,22030,Nevada,32,1200,2098399,57.2
,2001,2001,Lung and Bronchus,22030,New Hampshire,33,648,1255517,51.6
,2001,2001,Lung and Bronchus,22030,New Jersey,34,4698,8492671,55.3
,2001,2001,Lung and Bronchus,22030,New Mexico,35,657,1831690,35.9
,2001,2001,Lung and Bronchus,22030,New York,36,9517,19082838,49.9
,2001,2001,Lung and Bronchus,22030,North Carolina,37,4901,8210122,59.7
,2001,2001,Lung and Bronchus,22030,North Dakota,38,348,639062,54.5
,2001,2001,Lung and Bronchus,22030,Ohio,39,7186,11387404,63.1
,2001,2001,Lung and Bronchus,22030,Oklahoma,40,2317,3467100,66.8
,2001,2001,Lung and Bronchus,22030,Oregon,41,1955,3467937,56.4
,2001,2001,Lung and Bronchus,22030,Pennsylvania,42,8037,12298970,65.3
,2001,2001,Lung and Bronchus,22030,Rhode Island,44,648,1057142,61.3
,2001,2001,Lung and Bronchus,22030,South Carolina,45,2540,4064995,62.5
,2001,2001,Lung and Bronchus,22030,South Dakota,46,411,757972,54.2
,2001,2001,Lung and Bronchus,22030,Tennessee,47,3988,5750789,69.3
,2001,2001,Lung and Bronchus,22030,Texas,48,9395,21319622,44.1
,2001,2001,Lung and Bronchus,22030,Utah,49,371,2283715,16.2
,2001,2001,Lung and Bronchus,22030,Vermont,50,345,612223,56.4
,2001,2001,Lung and Bronchus,22030,Virginia,51,3764,7198362,52.3
,2001,2001,Lung and Bronchus,22030,Washington,53,3049,5985722,50.9
,2001,2001,Lung and Bronchus,22030,West Virginia,54,1555,1801481,86.3
,2001,2001,Lung and Bronchus,22030,Wisconsin,55,2743,5406835,50.7
,2001,2001,Lung and Bronchus,22030,Wyoming,56,232,494657,46.9
,2002,2002,Lung and Bronchus,22030,Alabama,01,2989,4480089,66.7
,2002,2002,Lung and Bronchus,22030,Alaska,02,198,642337,30.8
,2002,2002,Lung and Bronchus,22030,Arizona,04,2620,5396255,48.6
,2002,2002,Lung and Bronchus,22030,Arkansas,05,2131,2705927,78.8
,2002,2002,Lung and Bronchus,22030,California,06,13789,34871843,39.5
,2002,2002,Lung and Bronchus,22030,Colorado,08,1548,4490406,34.5
