Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Deaths,Population,Crude Rate
,2000,2000,Cervix Uteri,27010,Texas,48,371,10545156,3.5
,2000,2000,Cervix Uteri,27010,Utah,49,20,1119827,1.8
,2000,2000,Cervix Uteri,27010,Virginia,51,92,3619742,2.5
,2000,2000,Cervix Uteri,27010,Washington,53,61,2967734,2.1
,2000,2000,Cervix Uteri,27010,West Virginia,54,40,928269,4.3
,2000,2000,Cervix Uteri,27010,Wisconsin,55,54,2719235,2
,2001,2001,Cervix Uteri,27010,Alabama,01,84,2309496,3.6
,2001,2001,Cervix Uteri,27010,Arizona,04,77,2641676,2.9
,2001,2001,Cervix Uteri,27010,Arkansas,05,51,1376845,3.7
,2001,2001,Cervix Uteri,27010,California,06,468,17294223,2.7
,2001,2001,Cervix Uteri,27010,Colorado,08,50,2195705,2.3
,2001,2001,Cervix Uteri,27010,Connecticut,09,36,1768959,2
,2001,2001,Cervix Uteri,27010,Delaware,10,23,409349,5.6
,2001,2001,Cervix Uteri,27010,Florida,12,276,8372776,3.3
,2001,2001,Cervix Uteri,27010,Georgia,13,116,4256162,2.7
,2001,2001,Cervix Uteri,27010,Idaho,16,18,658043,2.7
,2001,2001,Cervix Uteri,27010,Illinois,17,183,6370443,2.9
,2001,2001,Cervix Uteri,27010,Indiana,18,80,3120158,2.6
,2001,2001,Cervix Uteri,27010,Iowa,19,33,1492287,2.2
,2001,2001,Cervix Uteri,27010,Kansas,20,42,1365966,3.1
,2001,2001,Cervix Uteri,27010,Kentucky,21,65,2076871,3.1
,2001,2001,Cervix Uteri,27010,Louisiana,22,65,2308063,2.8
,2001,2001,Cervix Uteri,27010,Maryland,24,84,2779864,3
,2001,2001,Cervix Uteri,27010,Massachusetts,25,61,3312567,1.8
,2001,2001,Cervix Uteri,27010,Michigan,26,133,5089289,2.6
,2001,2001,Cervix Uteri,27010,Minnesota,27,35,2514149,1.4
,2001,2001,Cervix Uteri,27010,Mississippi,28,41,1473486,2.8
,2001,2001,Cervix Uteri,27010,Missouri,29,77,2895476,2.7
,2001,2001,Cervix Uteri,27010,Nebraska,31,20,871208,2.3
,2001,2001,Cervix Uteri,27010,Nevada,32,31,1030850,3
,2001,2001,Cervix Uteri,27010,New Hampshire,33,17,637412,2.7
,2001,2001,Cervix Uteri,27010,New Jersey,34,150,4369932,3.4
,2001,2001,Cervix Uteri,27010,New Mexico,35,29,930387,3.1
,2001,2001,Cervix Uteri,27010,New York,36,286,9878713,2.9
,2001,2001,Cervix Uteri,27010,North Carolina,37,125,4187317,3
,2001,2001,Cervix Uteri,27010,Ohio,39,158,5853691,2.7
,2001,2001,Cervix Uteri,27010,Oklahoma,40,57,1760052,3.2
,2001,2001,Cervix Uteri,27010,Oregon,41,51,1747889,2.9
,2001,2001,Cervix Uteri,27010,Pennsylvania,42,184,6354395,2.9
,2001,2001,Cervix Uteri,27010,South Carolina,45,69,2089963,3.3
,2001,2001,Cervix Uteri,27010,Tennessee,47,113,2948421,3.8
,2001,2001,Cervix Uteri,27010,Texas,48,352,10731190,3.3
,2001,2001,Cervix Uteri,27010,Virginia,51,97,3665386,2.6
,2001,2001,Cervix Uteri,27010,Washington,53,55,3002080,1.8
,2001,2001,Cervix Uteri,27010,West Virginia,54,43,923643,4.7
,2001,2001,Cervix Uteri,27010,Wisconsin,55,54,2733647,2
,2002,2002,Cervix Uteri,27010,Alabama,01,77,2314370,3.3
,2002,2002,Cervix Uteri,27010,Arizona,04,64,2704217,2.4
,2002,2002,Cervix Uteri,27010,Arkansas,05,63,1383239,4.6
,2002,2002,Cervix Uteri,27010,California,06,416,17498462,2.4
,2002,2002,Cervix Uteri,27010,Colorado,08,39,2228665,1.7
,2002,2002,Cervix Uteri,27010,Connecticut,09,35,1780500,2
,2002,2002,Cervix Uteri,27010,Delaware,10,16,414652,3.9
,2002,2002,Cervix Uteri,27010,Florida,12,284,8541734,3.3
,2002,2002,Cervix Uteri,27010,Georgia,13,129,4327934,3
,2002,2002,Cervix Uteri,27010,Idaho,16,18,668686,2.7
,2002,2002,Cervix Uteri,27010,Illinois,17,206,6387897,3.2
,2002,2002,Cervix Uteri,27010,Indiana,18,79,3133342,2.5
,2002,2002,Cervix Uteri,27010,Iowa,19,39,1491450,2.6
,2002,2002,Cervix Uteri,27010,Kansas,20,35,1371898,2.6
