state_fips,state_name,sex,age,population
08,Colorado,Male,40-49,392244.0
08,Colorado,Male,50-59,355653.0
08,Colorado,Male,60-69,314181.0
08,Colorado,Male,70-79,176195.0
08,Colorado,Male,80+,73065.0
08,Colorado,Male,All,2927588.0
09,Connecticut,All,0-9,379368.0
09,Connecticut,All,10-19,469768.0
09,Connecticut,All,20-29,464952.0
09,Connecticut,All,30-39,453092.0
09,Connecticut,All,40-49,440832.0
09,Connecticut,All,50-59,518259.0
09,Connecticut,All,60-69,456567.0
09,Connecticut,All,70-79,269570.0
09,Connecticut,All,80+,158909.0
09,Connecticut,All,All,3611317.0
09,Connecticut,Female,0-9,187324.0
09,Connecticut,Female,10-19,229040.0
09,Connecticut,Female,20-29,227602.0
09,Connecticut,Female,30-39,227203.0
09,Connecticut,Female,40-49,223880.0
09,Connecticut,Female,50-59,266094.0
09,Connecticut,Female,60-69,235588.0
09,Connecticut,Female,70-79,146312.0
09,Connecticut,Female,80+,99078.0
09,Connecticut,Female,All,1842121.0
09,Connecticut,Male,0-9,192044.0
09,Connecticut,Male,10-19,240728.0
09,Connecticut,Male,20-29,237350.0
09,Connecticut,Male,30-39,225889.0
09,Connecticut,Male,40-49,216952.0
09,Connecticut,Male,50-59,252165.0
09,Connecticut,Male,60-69,220979.0
09,Connecticut,Male,70-79,123258.0
09,Connecticut,Male,80+,59831.0
09,Connecticut,Male,All,1769196.0
10,Delaware,All,0-9,109968.0
10,Delaware,All,10-19,123481.0
10,Delaware,All,20-29,122674.0
10,Delaware,All,30-39,124265.0
10,Delaware,All,40-49,114864.0
10,Delaware,All,50-59,131642.0
10,Delaware,All,60-69,137636.0
10,Delaware,All,70-79,87953.0
10,Delaware,All,80+,41152.0
10,Delaware,All,All,993635.0
10,Delaware,Female,0-9,54250.0
10,Delaware,Female,10-19,61080.0
10,Delaware,Female,20-29,60574.0
10,Delaware,Female,30-39,61260.0
10,Delaware,Female,40-49,59908.0
10,Delaware,Female,50-59,67386.0
10,Delaware,Female,60-69,74732.0
10,Delaware,Female,70-79,47432.0
10,Delaware,Female,80+,24104.0
10,Delaware,Female,All,510726.0
10,Delaware,Male,0-9,55718.0
10,Delaware,Male,10-19,62401.0
10,Delaware,Male,20-29,62100.0
10,Delaware,Male,30-39,63005.0
10,Delaware,Male,40-49,54956.0
10,Delaware,Male,50-59,64256.0
10,Delaware,Male,60-69,62904.0
10,Delaware,Male,70-79,40521.0
