state_fips,state_name,age,population,population_pct
05,Arkansas,20-29,400796.0,13.3
05,Arkansas,25-29,195578.0,6.5
05,Arkansas,25-34,389579.0,12.9
05,Arkansas,30-34,194001.0,6.4
05,Arkansas,30-39,387024.0,12.8
05,Arkansas,35-39,193023.0,6.4
05,Arkansas,35-44,378345.0,12.5
05,Arkansas,40-44,185322.0,6.1
05,Arkansas,40-49,365471.0,12.1
05,Arkansas,40-64,929811.0,30.8
05,Arkansas,45-49,180149.0,6.0
05,Arkansas,45-54,360316.0,11.9
05,Arkansas,45-64,744489.0,24.7
05,Arkansas,50-54,180167.0,6.0
05,Arkansas,50-59,373812.0,12.4
05,Arkansas,55-59,193645.0,6.4
05,Arkansas,55-64,384173.0,12.7
05,Arkansas,60-64,190528.0,6.3
05,Arkansas,60-69,357925.0,11.9
05,Arkansas,65+,519434.0,17.2
05,Arkansas,65-69,167397.0,5.5
05,Arkansas,65-74,304000.0,10.1
05,Arkansas,70-74,136603.0,4.5
05,Arkansas,70-79,234334.0,7.8
05,Arkansas,75-79,97731.0,3.2
05,Arkansas,75-84,158344.0,5.2
05,Arkansas,80+,117703.0,3.9
05,Arkansas,80-84,60613.0,2.0
05,Arkansas,85+,57090.0,1.9
05,Arkansas,All,3018669.0,100.0
06,California,0-14,7239502.0,18.4
06,California,0-17,8774570.0,22.3
06,California,0-9,4626466.0,11.8
06,California,10-19,5212166.0,13.2
06,California,15+,32116602.0,81.6
06,California,15-24,5273904.0,13.4
06,California,18+,30581534.0,77.7
06,California,18-19,1064062.0,2.7
06,California,18-24,3738836.0,9.5
06,California,18-39,12393699.0,31.5
06,California,18-44,14974095.0,38.0
06,California,20-24,2674774.0,6.8
06,California,20-29,5598160.0,14.2
06,California,25-29,2923386.0,7.4
06,California,25-34,5884283.0,15.0
06,California,30-34,2960897.0,7.5
06,California,30-39,5731477.0,14.6
06,California,35-39,2770580.0,7.0
06,California,35-44,5350976.0,13.6
06,California,40-44,2580396.0,6.6
06,California,40-49,5067295.0,12.9
06,California,40-64,12322535.0,31.3
06,California,45-49,2486899.0,6.3
06,California,45-54,4977216.0,12.6
06,California,45-64,9742139.0,24.8
06,California,50-54,2490317.0,6.3
06,California,50-59,4948799.0,12.6
06,California,55-59,2458482.0,6.2
06,California,55-64,4764923.0,12.1
06,California,60-64,2306441.0,5.9
06,California,60-69,4219339.0,10.7
06,California,65+,5865300.0,14.9
06,California,65-69,1912898.0,4.9
06,California,65-74,3427460.0,8.7
06,California,70-74,1514562.0,3.8
06,California,70-79,2527755.0,6.4
06,California,75-79,1013193.0,2.6
06,California,75-84,1686649.0,4.3
06,California,80+,1424647.0,3.6
06,California,80-84,673456.0,1.7
06,California,85+,751191.0,1.9
06,California,All,39356104.0,100.0
08,Colorado,0-14,1021174.0,17.7
08,Colorado,0-17,1241310.0,21.5
08,Colorado,0-9,655967.0,11.4
08,Colorado,10-19,741611.0,12.9
08,Colorado,15+,4749616.0,82.3
08,Colorado,15-24,766856.0,13.3
08,Colorado,18+,4529480.0,78.5
08,Colorado,18-19,156268.0,2.7
08,Colorado,18-24,546720.0,9.5
08,Colorado,18-39,1871082.0,32.4
08,Colorado,18-44,2264158.0,39.2
08,Colorado,20-24,390452.0,6.8
08,Colorado,20-29,834246.0,14.5
08,Colorado,25-29,443794.0,7.7
08,Colorado,25-34,897631.0,15.6
08,Colorado,30-34,453837.0,7.9
08,Colorado,30-39,880568.0,15.3
08,Colorado,35-39,426731.0,7.4
08,Colorado,35-44,819807.0,14.2
08,Colorado,40-44,393076.0,6.8
08,Colorado,40-49,753455.0,13.1
08,Colorado,40-64,1803045.0,31.2
08,Colorado,45-49,360379.0,6.2
08,Colorado,45-54,708248.0,12.3
08,Colorado,45-64,1409969.0,24.4
08,Colorado,50-54,347869.0,6.0
08,Colorado,50-59,703895.0,12.2
08,Colorado,55-59,356026.0,6.2
08,Colorado,55-64,701721.0,12.2
08,Colorado,60-64,345695.0,6.0
08,Colorado,60-69,644770.0,11.2
08,Colorado,65+,855353.0,14.8
08,Colorado,65-69,299075.0,5.2
08,Colorado,65-74,531638.0,9.2
08,Colorado,70-74,232563.0,4.0
08,Colorado,70-79,374695.0,6.5
08,Colorado,75-79,142132.0,2.5
08,Colorado,75-84,231411.0,4.0
08,Colorado,80+,181583.0,3.1
08,Colorado,80-84,89279.0,1.5
08,Colorado,85+,92304.0,1.6
08,Colorado,All,5770790.0,100.0
09,Connecticut,0-14,601635.0,16.7
09,Connecticut,0-17,742877.0,20.6
09,Connecticut,0-9,379368.0,10.5
09,Connecticut,10-19,469768.0,13.0
09,Connecticut,15+,3009682.0,83.3
09,Connecticut,15-24,488892.0,13.5
09,Connecticut,18+,2868440.0,79.4
09,Connecticut,18-19,106259.0,2.9
09,Connecticut,18-24,347650.0,9.6
09,Connecticut,18-39,1024303.0,28.4
09,Connecticut,18-44,1242168.0,34.4
09,Connecticut,20-24,241391.0,6.7
09,Connecticut,20-29,464952.0,12.9
09,Connecticut,25-29,223561.0,6.2
09,Connecticut,25-34,449466.0,12.4
09,Connecticut,30-34,225905.0,6.3
09,Connecticut,30-39,453092.0,12.5
09,Connecticut,35-39,227187.0,6.3
09,Connecticut,35-44,445052.0,12.3
09,Connecticut,40-44,217865.0,6.0
09,Connecticut,40-49,440832.0,12.2
09,Connecticut,40-64,1215029.0,33.6
09,Connecticut,45-49,222967.0,6.2
09,Connecticut,45-54,475109.0,13.2
09,Connecticut,45-64,997164.0,27.6
09,Connecticut,50-54,252142.0,7.0
09,Connecticut,50-59,518259.0,14.4
09,Connecticut,55-59,266117.0,7.4
09,Connecticut,55-64,522055.0,14.5
09,Connecticut,60-64,255938.0,7.1
09,Connecticut,60-69,456567.0,12.6
09,Connecticut,65+,629108.0,17.4
09,Connecticut,65-69,200629.0,5.6
09,Connecticut,65-74,362365.0,10.0
09,Connecticut,70-74,161736.0,4.5
09,Connecticut,70-79,269570.0,7.5
09,Connecticut,75-79,107834.0,3.0
09,Connecticut,75-84,178746.0,4.9
09,Connecticut,80+,158909.0,4.4
09,Connecticut,80-84,70912.0,2.0
09,Connecticut,85+,87997.0,2.4
09,Connecticut,All,3611317.0,100.0
10,Delaware,0-14,170463.0,17.2
10,Delaware,0-17,206702.0,20.8
10,Delaware,0-9,109968.0,11.1
10,Delaware,10-19,123481.0,12.4
10,Delaware,15+,823172.0,82.8
10,Delaware,15-24,122808.0,12.4
10,Delaware,18+,786933.0,79.2
10,Delaware,18-19,26747.0,2.7
10,Delaware,18-24,86569.0,8.7
10,Delaware,18-39,273686.0,27.5
10,Delaware,18-44,332376.0,33.5
10,Delaware,20-24,59822.0,6.0
10,Delaware,20-29,122674.0,12.3
10,Delaware,25-29,62852.0,6.3
10,Delaware,25-34,127883.0,12.9
10,Delaware,30-34,65031.0,6.5
10,Delaware,30-39,124265.0,12.5
10,Delaware,35-39,59234.0,6.0
10,Delaware,35-44,117924.0,11.9
10,Delaware,40-44,58690.0,5.9
10,Delaware,40-49,114864.0,11.6
10,Delaware,40-64,318231.0,32.0
10,Delaware,45-49,56174.0,5.7
10,Delaware,45-54,118880.0,12.0
10,Delaware,45-64,259541.0,26.1
10,Delaware,50-54,62706.0,6.3
10,Delaware,50-59,131642.0,13.2
10,Delaware,55-59,68936.0,6.9
10,Delaware,55-64,140661.0,14.2
10,Delaware,60-64,71725.0,7.2
10,Delaware,60-69,137636.0,13.9
10,Delaware,65+,195016.0,19.6
10,Delaware,65-69,65911.0,6.6
10,Delaware,65-74,117824.0,11.9
10,Delaware,70-74,51913.0,5.2
10,Delaware,70-79,87953.0,8.9
10,Delaware,75-79,36040.0,3.6
10,Delaware,75-84,57773.0,5.8
10,Delaware,80+,41152.0,4.1
10,Delaware,80-84,21733.0,2.2
10,Delaware,85+,19419.0,2.0
10,Delaware,All,993635.0,100.0
11,District of Columbia,0-14,108459.0,16.2
11,District of Columbia,0-17,124056.0,18.5
11,District of Columbia,0-9,76159.0,11.4
11,District of Columbia,10-19,64579.0,9.6
11,District of Columbia,15+,562128.0,83.8
11,District of Columbia,15-24,77532.0,11.6
11,District of Columbia,18+,546531.0,81.5
11,District of Columbia,18-19,16682.0,2.5
11,District of Columbia,18-24,61935.0,9.2
11,District of Columbia,18-39,275568.0,41.1
11,District of Columbia,18-44,322479.0,48.1
11,District of Columbia,20-24,45253.0,6.7
11,District of Columbia,20-29,120136.0,17.9
11,District of Columbia,25-29,74883.0,11.2
11,District of Columbia,25-34,152345.0,22.7
11,District of Columbia,30-34,77462.0,11.6
11,District of Columbia,30-39,138750.0,20.7
11,District of Columbia,35-39,61288.0,9.1
11,District of Columbia,35-44,108199.0,16.1
11,District of Columbia,40-44,46911.0,7.0
11,District of Columbia,40-49,84138.0,12.5
11,District of Columbia,40-64,186512.0,27.8
11,District of Columbia,45-49,37227.0,5.6
11,District of Columbia,45-54,72665.0,10.8
11,District of Columbia,45-64,139601.0,20.8
11,District of Columbia,50-54,35438.0,5.3
11,District of Columbia,50-59,69364.0,10.3
11,District of Columbia,55-59,33926.0,5.1
11,District of Columbia,55-64,66936.0,10.0
11,District of Columbia,60-64,33010.0,4.9
11,District of Columbia,60-69,60497.0,9.0
11,District of Columbia,65+,84451.0,12.6
11,District of Columbia,65-69,27487.0,4.1
11,District of Columbia,65-74,49028.0,7.3
11,District of Columbia,70-74,21541.0,3.2
11,District of Columbia,70-79,36807.0,5.5
11,District of Columbia,75-79,15266.0,2.3
11,District of Columbia,75-84,25256.0,3.8
11,District of Columbia,80+,20157.0,3.0
11,District of Columbia,80-84,9990.0,1.5
11,District of Columbia,85+,10167.0,1.5
11,District of Columbia,All,670587.0,100.0
12,Florida,0-14,3492962.0,16.1
12,Florida,0-17,4235429.0,19.6
12,Florida,0-9,2244141.0,10.4
12,Florida,10-19,2507794.0,11.6
12,Florida,15+,18141567.0,83.9
12,Florida,15-24,2561720.0,11.8
12,Florida,18+,17399100.0,80.4
12,Florida,18-19,516506.0,2.4
12,Florida,18-24,1819253.0,8.4
12,Florida,18-39,5926145.0,27.4
12,Florida,18-44,7241695.0,33.5
12,Florida,20-24,1302747.0,6.0
12,Florida,20-29,2659873.0,12.3
12,Florida,25-29,1357126.0,6.3
12,Florida,25-34,2753398.0,12.7
12,Florida,30-34,1396272.0,6.5
12,Florida,30-39,2749766.0,12.7
12,Florida,35-39,1353494.0,6.3
12,Florida,35-44,2669044.0,12.3
12,Florida,40-44,1315550.0,6.1
12,Florida,40-49,2642290.0,12.2
12,Florida,40-64,6952308.0,32.1
12,Florida,45-49,1326740.0,6.1
12,Florida,45-54,2716771.0,12.6
12,Florida,45-64,5636758.0,26.1
12,Florida,50-54,1390031.0,6.4
12,Florida,50-59,2868328.0,13.3
12,Florida,55-59,1478297.0,6.8
12,Florida,55-64,2919987.0,13.5
12,Florida,60-64,1441690.0,6.7
12,Florida,60-69,2765674.0,12.8
12,Florida,65+,4520647.0,20.9
12,Florida,65-69,1323984.0,6.1
12,Florida,65-74,2485311.0,11.5
12,Florida,70-74,1161327.0,5.4
12,Florida,70-79,2050453.0,9.5
12,Florida,75-79,889126.0,4.1
12,Florida,75-84,1462322.0,6.8
12,Florida,80+,1146210.0,5.3
12,Florida,80-84,573196.0,2.6
12,Florida,85+,573014.0,2.6
12,Florida,All,21634529.0,100.0
13,Georgia,0-14,2063066.0,19.2
13,Georgia,0-17,2512545.0,23.4
13,Georgia,0-9,1315156.0,12.3
13,Georgia,10-19,1505467.0,14.0
13,Georgia,15+,8659259.0,80.8
13,Georgia,15-24,1500639.0,14.0
13,Georgia,18+,8209780.0,76.6
13,Georgia,18-19,308078.0,2.9
13,Georgia,18-24,1051160.0,9.8
13,Georgia,18-39,3244637.0,30.3
13,Georgia,18-44,3946494.0,36.8
13,Georgia,20-24,743082.0,6.9
13,Georgia,20-29,1485937.0,13.9
13,Georgia,25-29,742855.0,6.9
13,Georgia,25-34,1475136.0,13.8
13,Georgia,30-34,732281.0,6.8
13,Georgia,30-39,1450622.0,13.5
13,Georgia,35-39,718341.0,6.7
13,Georgia,35-44,1420198.0,13.2
13,Georgia,40-44,701857.0,6.5
13,Georgia,40-49,1402843.0,13.1
13,Georgia,40-64,3424698.0,31.9
13,Georgia,45-49,700986.0,6.5
13,Georgia,45-54,1401400.0,13.1
13,Georgia,45-64,2722841.0,25.4
13,Georgia,50-54,700414.0,6.5
13,Georgia,50-59,1390207.0,13.0
13,Georgia,55-59,689793.0,6.4
13,Georgia,55-64,1321441.0,12.3
13,Georgia,60-64,631648.0,5.9
13,Georgia,60-69,1158942.0,10.8
13,Georgia,65+,1540445.0,14.4
13,Georgia,65-69,527294.0,4.9
