state_fips,state_name,age,population,population_pct,time_period
01,Alabama,75-79,123521.0,2.7,2009
01,Alabama,75-84,213325.0,4.6,2009
01,Alabama,80+,166196.0,3.6,2009
01,Alabama,80-84,89804.0,1.9,2009
01,Alabama,85+,76392.0,1.6,2009
01,Alabama,All,4633360.0,100.0,2009
01,Alabama,0-14,932935.0,19.5,2012
01,Alabama,0-17,1130229.0,23.7,2012
01,Alabama,0-9,614451.0,12.9,2012
01,Alabama,10-19,655643.0,13.7,2012
01,Alabama,15+,3844391.0,80.5,2012
01,Alabama,15-24,677967.0,14.2,2012
01,Alabama,18+,3647097.0,76.3,2012
01,Alabama,18-19,139865.0,2.9,2012
01,Alabama,18-24,480673.0,10.1,2012
01,Alabama,18-39,1391784.0,29.1,2012
01,Alabama,18-44,1707582.0,35.7,2012
01,Alabama,20-24,340808.0,7.1,2012
01,Alabama,20-29,650524.0,13.6,2012
01,Alabama,25-29,309716.0,6.5,2012
01,Alabama,25-34,607797.0,12.7,2012
01,Alabama,30-34,298081.0,6.2,2012
01,Alabama,30-39,601395.0,12.6,2012
01,Alabama,35-39,303314.0,6.3,2012
01,Alabama,35-44,619112.0,13.0,2012
01,Alabama,40-44,315798.0,6.6,2012
01,Alabama,40-49,657203.0,13.8,2012
01,Alabama,40-64,1592008.0,33.3,2012
01,Alabama,45-49,341405.0,7.1,2012
01,Alabama,45-54,686672.0,14.4,2012
01,Alabama,45-64,1276210.0,26.7,2012
01,Alabama,50-54,345267.0,7.2,2012
01,Alabama,50-59,655603.0,13.7,2012
01,Alabama,55-59,310336.0,6.5,2012
01,Alabama,55-64,589538.0,12.3,2012
01,Alabama,60-64,279202.0,5.8,2012
01,Alabama,60-69,492786.0,10.3,2012
01,Alabama,65+,663305.0,13.9,2012
01,Alabama,65-69,213584.0,4.5,2012
01,Alabama,65-74,374441.0,7.8,2012
01,Alabama,70-74,160857.0,3.4,2012
01,Alabama,70-79,283483.0,5.9,2012
01,Alabama,75-79,122626.0,2.6,2012
01,Alabama,75-84,211411.0,4.4,2012
01,Alabama,80+,166238.0,3.5,2012
01,Alabama,80-84,88785.0,1.9,2012
01,Alabama,85+,77453.0,1.6,2012
01,Alabama,All,4777326.0,100.0,2012
01,Alabama,0-14,930247.0,19.7,2010
01,Alabama,0-17,1132303.0,24.0,2010
01,Alabama,0-9,613258.0,13.0,2010
01,Alabama,10-19,661083.0,14.0,2010
01,Alabama,15+,3782404.0,80.3,2010
01,Alabama,15-24,674272.0,14.3,2010
01,Alabama,18+,3580348.0,76.0,2010
01,Alabama,18-19,142038.0,3.0,2010
01,Alabama,18-24,472216.0,10.0,2010
01,Alabama,18-39,1378836.0,29.3,2010
01,Alabama,18-44,1702671.0,36.1,2010
01,Alabama,20-24,330178.0,7.0,2010
01,Alabama,20-29,637567.0,13.5,2010
01,Alabama,25-29,307389.0,6.5,2010
01,Alabama,25-34,597185.0,12.7,2010
01,Alabama,30-34,289796.0,6.1,2010
01,Alabama,30-39,599231.0,12.7,2010
01,Alabama,35-39,309435.0,6.6,2010
01,Alabama,35-44,633270.0,13.4,2010
01,Alabama,40-44,323835.0,6.9,2010
01,Alabama,40-49,671622.0,14.3,2010
01,Alabama,40-64,1566295.0,33.2,2010
01,Alabama,45-49,347787.0,7.4,2010
01,Alabama,45-54,685414.0,14.5,2010
01,Alabama,45-64,1242460.0,26.4,2010
01,Alabama,50-54,337627.0,7.2,2010
01,Alabama,50-59,638793.0,13.6,2010
01,Alabama,55-59,301166.0,6.4,2010
01,Alabama,55-64,557046.0,11.8,2010
01,Alabama,60-64,255880.0,5.4,2010
01,Alabama,60-69,453078.0,9.6,2010
01,Alabama,65+,635217.0,13.5,2010
01,Alabama,65-69,197198.0,4.2,2010
01,Alabama,65-74,353234.0,7.5,2010
01,Alabama,70-74,156036.0,3.3,2010
01,Alabama,70-79,276485.0,5.9,2010
01,Alabama,75-79,120449.0,2.6,2010
01,Alabama,75-84,208147.0,4.4,2010
01,Alabama,80+,161534.0,3.4,2010
01,Alabama,80-84,87698.0,1.9,2010
01,Alabama,85+,73836.0,1.6,2010
01,Alabama,All,4712651.0,100.0,2010
02,Alaska,0-14,157463.0,21.5,2015
02,Alaska,0-17,188127.0,25.7,2015
02,Alaska,0-9,106292.0,14.5,2015
02,Alaska,10-19,101477.0,13.8,2015
02,Alaska,15+,575912.0,78.5,2015
02,Alaska,15-24,111472.0,15.2,2015
02,Alaska,18+,545248.0,74.3,2015
02,Alaska,18-19,19642.0,2.7,2015
02,Alaska,18-24,80808.0,11.0,2015
02,Alaska,18-39,241205.0,32.9,2015
02,Alaska,18-44,286602.0,39.1,2015
02,Alaska,20-24,61166.0,8.3,2015
02,Alaska,20-29,121840.0,16.6,2015
02,Alaska,25-29,60674.0,8.3,2015
02,Alaska,25-34,114178.0,15.6,2015
02,Alaska,30-34,53504.0,7.3,2015
02,Alaska,30-39,99723.0,13.6,2015
02,Alaska,35-39,46219.0,6.3,2015
02,Alaska,35-44,91616.0,12.5,2015
02,Alaska,40-44,45397.0,6.2,2015
02,Alaska,40-49,92945.0,12.7,2015
02,Alaska,40-64,238337.0,32.5,2015
02,Alaska,45-49,47548.0,6.5,2015
02,Alaska,45-54,100674.0,13.7,2015
02,Alaska,45-64,192940.0,26.3,2015
02,Alaska,50-54,53126.0,7.2,2015
02,Alaska,50-59,104624.0,14.3,2015
02,Alaska,55-59,51498.0,7.0,2015
02,Alaska,55-64,92266.0,12.6,2015
02,Alaska,60-64,40768.0,5.6,2015
02,Alaska,60-69,67425.0,9.2,2015
02,Alaska,65+,65706.0,9.0,2015
02,Alaska,65-69,26657.0,3.6,2015
02,Alaska,65-74,43803.0,6.0,2015
02,Alaska,70-74,17146.0,2.3,2015
02,Alaska,70-79,26874.0,3.7,2015
02,Alaska,75-79,9728.0,1.3,2015
02,Alaska,75-84,16501.0,2.3,2015
02,Alaska,80+,12175.0,1.7,2015
02,Alaska,80-84,6773.0,0.9,2015
02,Alaska,85+,5402.0,0.7,2015
02,Alaska,All,733375.0,100.0,2015
02,Alaska,0-14,153256.0,21.9,2011
02,Alaska,0-17,186097.0,26.6,2011
02,Alaska,0-9,101789.0,14.5,2011
02,Alaska,10-19,104999.0,15.0,2011
02,Alaska,15+,547447.0,78.1,2011
02,Alaska,15-24,108642.0,15.5,2011
02,Alaska,18+,514606.0,73.4,2011
02,Alaska,18-19,20691.0,3.0,2011
02,Alaska,18-24,75801.0,10.8,2011
02,Alaska,18-39,219856.0,31.4,2011
02,Alaska,18-44,269053.0,38.4,2011
02,Alaska,20-24,55110.0,7.9,2011
02,Alaska,20-29,107723.0,15.4,2011
02,Alaska,25-29,52613.0,7.5,2011
02,Alaska,25-34,98377.0,14.0,2011
02,Alaska,30-34,45764.0,6.5,2011
02,Alaska,30-39,91442.0,13.1,2011
02,Alaska,35-39,45678.0,6.5,2011
02,Alaska,35-44,94875.0,13.5,2011
