state_fips,state_name,sex,population,population_pct,time_period
13,Georgia,All,10297484.0,100.0,2018
13,Georgia,All,10625615.0,100.0,2021
13,Georgia,All,10099320.0,100.0,2016
13,Georgia,All,10403847.0,100.0,2019
13,Georgia,All,10006693.0,100.0,2015
13,Georgia,All,10516579.0,100.0,2020
13,Georgia,All,10201635.0,100.0,2017
13,Georgia,All,10722325.0,100.0,2022
15,Hawaii,All,1392704.0,100.0,2014
15,Hawaii,All,1362730.0,100.0,2012
15,Hawaii,All,1376298.0,100.0,2013
15,Hawaii,All,1280241.0,100.0,2009
15,Hawaii,All,1346554.0,100.0,2011
15,Hawaii,All,1333591.0,100.0,2010
15,Hawaii,All,1422029.0,100.0,2018
15,Hawaii,All,1453498.0,100.0,2021
15,Hawaii,All,1413673.0,100.0,2016
15,Hawaii,All,1422094.0,100.0,2019
15,Hawaii,All,1406299.0,100.0,2015
15,Hawaii,All,1420074.0,100.0,2020
15,Hawaii,All,1421658.0,100.0,2017
15,Hawaii,All,1450589.0,100.0,2022
16,Idaho,All,1599464.0,100.0,2014
16,Idaho,All,1567803.0,100.0,2012
16,Idaho,All,1583364.0,100.0,2013
16,Idaho,All,1492573.0,100.0,2009
16,Idaho,All,1549987.0,100.0,2011
16,Idaho,All,1526797.0,100.0,2010
16,Idaho,All,1687809.0,100.0,2018
16,Idaho,All,1811617.0,100.0,2021
16,Idaho,All,1635483.0,100.0,2016
16,Idaho,All,1717750.0,100.0,2019
16,Idaho,All,1616547.0,100.0,2015
16,Idaho,All,1754367.0,100.0,2020
16,Idaho,All,1657375.0,100.0,2017
16,Idaho,All,1854109.0,100.0,2022
17,Illinois,All,12868747.0,100.0,2014
17,Illinois,All,12823860.0,100.0,2012
17,Illinois,All,12848554.0,100.0,2013
17,Illinois,All,12785043.0,100.0,2009
17,Illinois,All,12790182.0,100.0,2011
17,Illinois,All,12745359.0,100.0,2010
17,Illinois,All,12821497.0,100.0,2018
17,Illinois,All,12821813.0,100.0,2021
17,Illinois,All,12851684.0,100.0,2016
17,Illinois,All,12770631.0,100.0,2019
17,Illinois,All,12873761.0,100.0,2015
17,Illinois,All,12716164.0,100.0,2020
17,Illinois,All,12854526.0,100.0,2017
17,Illinois,All,12757634.0,100.0,2022
18,Indiana,All,6542411.0,100.0,2014
18,Indiana,All,6485530.0,100.0,2012
18,Indiana,All,6514861.0,100.0,2013
18,Indiana,All,6342469.0,100.0,2009
18,Indiana,All,6454254.0,100.0,2011
18,Indiana,All,6417398.0,100.0,2010
18,Indiana,All,6637426.0,100.0,2018
18,Indiana,All,6751340.0,100.0,2021
18,Indiana,All,6589578.0,100.0,2016
18,Indiana,All,6665703.0,100.0,2019
18,Indiana,All,6568645.0,100.0,2015
18,Indiana,All,6696893.0,100.0,2020
18,Indiana,All,6614418.0,100.0,2017
18,Indiana,All,6784403.0,100.0,2022
19,Iowa,All,3078116.0,100.0,2014
19,Iowa,All,3047646.0,100.0,2012
19,Iowa,All,3062553.0,100.0,2013
19,Iowa,All,2978880.0,100.0,2009
19,Iowa,All,3032266.0,100.0,2011
19,Iowa,All,3016267.0,100.0,2010
19,Iowa,All,3132499.0,100.0,2018
19,Iowa,All,3179090.0,100.0,2021
19,Iowa,All,3106589.0,100.0,2016
19,Iowa,All,3139508.0,100.0,2019
19,Iowa,All,3093526.0,100.0,2015
19,Iowa,All,3150011.0,100.0,2020
19,Iowa,All,3118102.0,100.0,2017
19,Iowa,All,3188836.0,100.0,2022
20,Kansas,All,2882946.0,100.0,2014
20,Kansas,All,2851183.0,100.0,2012
20,Kansas,All,2868107.0,100.0,2013
20,Kansas,All,2777835.0,100.0,2009
20,Kansas,All,2830985.0,100.0,2011
20,Kansas,All,2809329.0,100.0,2010
20,Kansas,All,2908776.0,100.0,2018
20,Kansas,All,2932099.0,100.0,2021
20,Kansas,All,2898292.0,100.0,2016
20,Kansas,All,2910652.0,100.0,2019
20,Kansas,All,2892987.0,100.0,2015
20,Kansas,All,2912619.0,100.0,2020
20,Kansas,All,2903820.0,100.0,2017
20,Kansas,All,2935922.0,100.0,2022
21,Kentucky,All,4383272.0,100.0,2014
21,Kentucky,All,4340167.0,100.0,2012
21,Kentucky,All,4361333.0,100.0,2013
21,Kentucky,All,4252000.0,100.0,2009
21,Kentucky,All,4316040.0,100.0,2011
21,Kentucky,All,4285828.0,100.0,2010
21,Kentucky,All,4440204.0,100.0,2018
21,Kentucky,All,4494141.0,100.0,2021
21,Kentucky,All,4411989.0,100.0,2016
21,Kentucky,All,4449052.0,100.0,2019
21,Kentucky,All,4397353.0,100.0,2015
21,Kentucky,All,4461952.0,100.0,2020
21,Kentucky,All,4424376.0,100.0,2017
21,Kentucky,All,4502935.0,100.0,2022
22,Louisiana,All,4601049.0,100.0,2014
22,Louisiana,All,4529605.0,100.0,2012
22,Louisiana,All,4567968.0,100.0,2013
22,Louisiana,All,4411546.0,100.0,2009
22,Louisiana,All,4484596.0,100.0,2011
22,Louisiana,All,4429940.0,100.0,2010
22,Louisiana,All,4663616.0,100.0,2018
22,Louisiana,All,4657305.0,100.0,2021
22,Louisiana,All,4645670.0,100.0,2016
22,Louisiana,All,4664362.0,100.0,2019
22,Louisiana,All,4625253.0,100.0,2015
22,Louisiana,All,4664616.0,100.0,2020
22,Louisiana,All,4663461.0,100.0,2017
22,Louisiana,All,4640546.0,100.0,2022
23,Maine,All,1328535.0,100.0,2014
23,Maine,All,1329084.0,100.0,2012
23,Maine,All,1328320.0,100.0,2013
23,Maine,All,1316380.0,100.0,2009
23,Maine,All,1328543.0,100.0,2011
23,Maine,All,1327665.0,100.0,2010
23,Maine,All,1332813.0,100.0,2018
23,Maine,All,1357046.0,100.0,2021
23,Maine,All,1329923.0,100.0,2016
23,Maine,All,1335492.0,100.0,2019
23,Maine,All,1329100.0,100.0,2015
