state_fips,state_name,sex,age,population,time_period
01,Alabama,All,30-39,627855.0,2022
01,Alabama,All,40-49,616003.0,2022
01,Alabama,All,50-59,649740.0,2022
01,Alabama,All,60-69,621766.0,2022
01,Alabama,All,70-79,392892.0,2022
01,Alabama,All,80+,192039.0,2022
01,Alabama,All,All,5028092.0,2022
02,Alaska,All,0-9,101789.0,2011
02,Alaska,All,10-19,104999.0,2011
02,Alaska,All,20-29,107723.0,2011
02,Alaska,All,30-39,91442.0,2011
02,Alaska,All,40-49,103691.0,2011
02,Alaska,All,50-59,105440.0,2011
02,Alaska,All,60-69,53269.0,2011
02,Alaska,All,70-79,21912.0,2011
02,Alaska,All,80+,10438.0,2011
02,Alaska,All,All,700703.0,2011
02,Alaska,All,0-9,100841.0,2010
02,Alaska,All,10-19,105344.0,2010
02,Alaska,All,20-29,105411.0,2010
02,Alaska,All,30-39,89005.0,2010
02,Alaska,All,40-49,107168.0,2010
02,Alaska,All,50-59,102109.0,2010
02,Alaska,All,60-69,50384.0,2010
02,Alaska,All,70-79,21071.0,2010
02,Alaska,All,80+,9856.0,2010
02,Alaska,All,All,691189.0,2010
02,Alaska,All,0-9,104736.0,2013
02,Alaska,All,10-19,103433.0,2013
02,Alaska,All,20-29,114982.0,2013
02,Alaska,All,30-39,94993.0,2013
02,Alaska,All,40-49,98757.0,2013
02,Alaska,All,50-59,106985.0,2013
02,Alaska,All,60-69,60213.0,2013
02,Alaska,All,70-79,24617.0,2013
02,Alaska,All,80+,11600.0,2013
02,Alaska,All,All,720316.0,2013
02,Alaska,All,0-9,105683.0,2014
02,Alaska,All,10-19,102332.0,2014
02,Alaska,All,20-29,119092.0,2014
02,Alaska,All,30-39,97000.0,2014
02,Alaska,All,40-49,96649.0,2014
02,Alaska,All,50-59,105582.0,2014
02,Alaska,All,60-69,64169.0,2014
02,Alaska,All,70-79,25963.0,2014
02,Alaska,All,80+,11830.0,2014
02,Alaska,All,All,728300.0,2014
02,Alaska,All,0-9,106292.0,2015
02,Alaska,All,10-19,101477.0,2015
02,Alaska,All,20-29,121840.0,2015
02,Alaska,All,30-39,99723.0,2015
02,Alaska,All,40-49,92945.0,2015
02,Alaska,All,50-59,104624.0,2015
02,Alaska,All,60-69,67425.0,2015
02,Alaska,All,70-79,26874.0,2015
02,Alaska,All,80+,12175.0,2015
02,Alaska,All,All,733375.0,2015
02,Alaska,All,0-9,100412.0,2009
02,Alaska,All,10-19,104101.0,2009
02,Alaska,All,20-29,112777.0,2009
02,Alaska,All,30-39,88835.0,2009
02,Alaska,All,40-49,106034.0,2009
02,Alaska,All,50-59,95366.0,2009
02,Alaska,All,60-69,45231.0,2009
02,Alaska,All,70-79,20752.0,2009
02,Alaska,All,80+,9634.0,2009
02,Alaska,All,All,683142.0,2009
02,Alaska,All,0-9,103733.0,2012
02,Alaska,All,10-19,103361.0,2012
02,Alaska,All,20-29,111310.0,2012
02,Alaska,All,30-39,92486.0,2012
02,Alaska,All,40-49,102093.0,2012
02,Alaska,All,50-59,107168.0,2012
02,Alaska,All,60-69,56321.0,2012
02,Alaska,All,70-79,23860.0,2012
02,Alaska,All,80+,10807.0,2012
02,Alaska,All,All,711139.0,2012
02,Alaska,All,0-9,105127.0,2020
02,Alaska,All,10-19,95652.0,2020
02,Alaska,All,20-29,114103.0,2020
02,Alaska,All,30-39,108925.0,2020
02,Alaska,All,40-49,86483.0,2020
02,Alaska,All,50-59,94339.0,2020
02,Alaska,All,60-69,80503.0,2020
02,Alaska,All,70-79,36505.0,2020
02,Alaska,All,80+,15353.0,2020
02,Alaska,All,All,736990.0,2020
02,Alaska,All,0-9,106047.0,2019
02,Alaska,All,10-19,95973.0,2019
02,Alaska,All,20-29,116667.0,2019
02,Alaska,All,30-39,107891.0,2019
02,Alaska,All,40-49,86538.0,2019
02,Alaska,All,50-59,96856.0,2019
02,Alaska,All,60-69,78720.0,2019
02,Alaska,All,70-79,33902.0,2019
02,Alaska,All,80+,14474.0,2019
02,Alaska,All,All,737068.0,2019
02,Alaska,All,0-9,106868.0,2018
02,Alaska,All,10-19,97172.0,2018
02,Alaska,All,20-29,118599.0,2018
02,Alaska,All,30-39,106217.0,2018
02,Alaska,All,40-49,88005.0,2018
02,Alaska,All,50-59,99374.0,2018
02,Alaska,All,60-69,76748.0,2018
