ENTLMT_RSN_CURR,STATE_NAME,STATE_CODE,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
ESRD,Michigan,23,47,22,69,0.6811594203
ESRD,Minnesota,24,.,.,.,0.8947368421
ESRD,Mississippi,25,.,.,.,0.5833333333
ESRD,Missouri,26,.,.,.,0.9473684211
ESRD,Montana,27,.,0,.,1
ESRD,Nebraska,28,.,.,.,0.8571428571
ESRD,Nevada,29,.,.,.,0.3333333333
ESRD,"New Hampshire",30,.,0,.,1
ESRD,"New Jersey",31,.,.,.,0.75
ESRD,"New Mexico",32,.,.,.,0.6153846154
ESRD,"New York",33,69,17,86,0.8023255814
ESRD,"North Carolina",34,.,.,.,0.75
ESRD,"North Dakota",35,.,0,.,1
ESRD,Ohio,36,60,30,90,0.6666666667
ESRD,Oklahoma,37,.,.,.,0.7777777778
ESRD,Oregon,38,.,.,.,0.5454545455
ESRD,Pennsylvania,39,.,.,.,0.775
ESRD,"Rhode Island",41,.,0,.,1
ESRD,"South Carolina",42,.,.,.,0.4
ESRD,"South Dakota",43,.,0,.,1
ESRD,Tennessee,44,22,12,34,0.6470588235
ESRD,Texas,45,150,75,225,0.6666666667
ESRD,Utah,46,.,.,.,0.875
ESRD,Vermont,47,.,0,.,1
ESRD,Virginia,49,.,.,.,0.7916666667
ESRD,Washington,50,.,.,.,0.7692307692
ESRD,"West Virginia",51,.,.,.,0.5
ESRD,Wisconsin,52,.,.,.,0.76
ESRD,Wyoming,53,.,0,.,1
"Disabled and ESRD",Alabama,1,24,19,43,0.5581395349
"Disabled and ESRD",Arizona,3,.,.,.,0.6153846154
"Disabled and ESRD",Arkansas,4,.,.,.,0.5
"Disabled and ESRD",California,5,35,22,57,0.6140350877
"Disabled and ESRD",Colorado,6,.,0,.,1
"Disabled and ESRD",Connecticut,7,.,.,.,0.7272727273
"Disabled and ESRD",Delaware,8,.,0,.,1
"Disabled and ESRD",Florida,10,34,14,48,0.7083333333
"Disabled and ESRD",Georgia,11,35,20,55,0.6363636364
"Disabled and ESRD",Hawaii,12,.,.,.,0.8
"Disabled and ESRD",Idaho,13,.,.,.,0.75
"Disabled and ESRD",Illinois,14,25,12,37,0.6756756757
"Disabled and ESRD",Indiana,15,.,.,.,0.6818181818
"Disabled and ESRD",Iowa,16,.,.,.,0.5714285714
"Disabled and ESRD",Kansas,17,.,.,.,0.625
"Disabled and ESRD",Kentucky,18,.,.,.,0.5
"Disabled and ESRD",Louisiana,19,.,.,.,0.7407407407
"Disabled and ESRD",Maine,20,0,.,.,0
"Disabled and ESRD",Maryland,21,.,.,.,0.5
"Disabled and ESRD",Massachusetts,22,.,.,.,0.5555555556
"Disabled and ESRD",Michigan,23,20,12,32,0.625
"Disabled and ESRD",Minnesota,24,.,.,.,0.5555555556
"Disabled and ESRD",Mississippi,25,13,14,27,0.4814814815
"Disabled and ESRD",Missouri,26,18,19,37,0.4864864865
"Disabled and ESRD",Montana,27,.,.,.,0.6
"Disabled and ESRD",Nebraska,28,.,.,.,0.75
"Disabled and ESRD",Nevada,29,.,.,.,0.25
"Disabled and ESRD","New Jersey",31,.,.,.,0.8260869565
"Disabled and ESRD","New Mexico",32,.,.,.,0.5
"Disabled and ESRD","New York",33,.,.,.,0.652173913
"Disabled and ESRD","North Carolina",34,26,22,48,0.5416666667
"Disabled and ESRD","North Dakota",35,.,0,.,1
"Disabled and ESRD",Ohio,36,50,28,78,0.641025641
"Disabled and ESRD",Oklahoma,37,.,.,.,0.4285714286
"Disabled and ESRD",Oregon,38,.,0,.,1
"Disabled and ESRD",Pennsylvania,39,31,21,52,0.5961538462
"Disabled and ESRD","Rhode Island",41,.,.,.,0.6666666667
"Disabled and ESRD","South Carolina",42,24,20,44,0.5454545455
"Disabled and ESRD","South Dakota",43,.,.,.,0.3333333333
"Disabled and ESRD",Tennessee,44,28,25,53,0.5283018868
"Disabled and ESRD",Texas,45,55,38,93,0.5913978495
"Disabled and ESRD",Virginia,49,.,.,.,0.68
"Disabled and ESRD",Washington,50,.,.,.,0.7777777778
"Disabled and ESRD","West Virginia",51,.,.,.,0.4
"Disabled and ESRD",Wisconsin,52,.,.,.,0.4444444444
