RACE_NAME,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Unknown,188689,22501,211190,0.8934561296
"Non-Hispanic White",8316537,1107371,9423908,0.8824934411
"Black or African-American",1076276,255412,1331688,0.8082043241
Other,84281,12406,96687,0.8716890585
"Asian/Pacific Islander",358626,53310,411936,0.8705866931
Hispanic,837828,163745,1001573,0.8365121664
"American Indian / Alaska Native",41162,14276,55438,0.7424871027
