ENTLMT_RSN_CURR,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
Aged,9833598,1363446,11197044,0.8782316118
Disabled,1067975,264860,1332835,0.8012807287
ESRD,1140,356,1496,0.7620320856
"Disabled and ESRD",686,359,1045,0.6564593301
