AGE_GROUP,BENE_YES,BENE_NO,TOTAL_BENE,BENE_YES_PCT
_18-39,43095,17902,60997,0.7065101562
_40-64,979674,295037,1274711,0.7685459685
_65-69,1970114,363109,2333223,0.8443744983
_70-74,2747828,459129,3206957,0.8568334405
_75-79,2182772,371412,2554184,0.8545868269
_80-84,1404091,253634,1657725,0.8469987483
_85+,1204698,239925,1444623,0.8339186071
