Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States and Puerto Rico,States and Puerto Rico Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Breast,26000,Colorado,8,80-84 years,80-84,156,54621,285.6
,1999,1999,Breast,26000,Colorado,8,85+ years,85+,149,47252,315.3
,1999,1999,Breast,26000,Connecticut,9,30-34 years,30-34,36,254504,14.1
,1999,1999,Breast,26000,Connecticut,9,35-39 years,35-39,99,293075,33.8
,1999,1999,Breast,26000,Connecticut,9,40-44 years,40-44,184,286444,64.2
,1999,1999,Breast,26000,Connecticut,9,45-49 years,45-49,271,246896,109.8
,1999,1999,Breast,26000,Connecticut,9,50-54 years,50-54,347,222424,156
,1999,1999,Breast,26000,Connecticut,9,55-59 years,55-59,342,171572,199.3
,1999,1999,Breast,26000,Connecticut,9,60-64 years ,60-64,299,130887,228.4
,1999,1999,Breast,26000,Connecticut,9,65-69 years,65-69,272,118365,229.8
,1999,1999,Breast,26000,Connecticut,9,70-74 years,70-74,342,114972,297.5
,1999,1999,Breast,26000,Connecticut,9,75-79 years,75-79,341,100744,338.5
,1999,1999,Breast,26000,Connecticut,9,80-84 years,80-84,233,72454,321.6
,1999,1999,Breast,26000,Connecticut,9,85+ years,85+,217,62821,345.4
,1999,1999,Breast,26000,Delaware,10,35-39 years,35-39,23,64858,35.5
,1999,1999,Breast,26000,Delaware,10,40-44 years,40-44,36,61972,58.1
,1999,1999,Breast,26000,Delaware,10,45-49 years,45-49,48,53351,90
,1999,1999,Breast,26000,Delaware,10,50-54 years,50-54,66,47477,139
,1999,1999,Breast,26000,Delaware,10,55-59 years,55-59,68,38109,178.4
,1999,1999,Breast,26000,Delaware,10,60-64 years ,60-64,69,31777,217.1
,1999,1999,Breast,26000,Delaware,10,65-69 years,65-69,71,29791,238.3
,1999,1999,Breast,26000,Delaware,10,70-74 years,70-74,64,26404,242.4
,1999,1999,Breast,26000,Delaware,10,75-79 years,75-79,68,20984,324.1
,1999,1999,Breast,26000,Delaware,10,80-84 years,80-84,44,13166,334.2
,1999,1999,Breast,26000,Delaware,10,85+ years,85+,29,10239,283.2
