Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2000,2000,Breast,26000,Pennsylvania,42,10173,12284173,82.8
,2000,2000,Breast,26000,Rhode Island,44,854,1050268,81.3
,2000,2000,Breast,26000,South Carolina,45,2830,4024223,70.3
,2000,2000,Breast,26000,Tennessee,47,3834,5703719,67.2
,2000,2000,Breast,26000,Texas,48,12449,20944499,59.4
,2000,2000,Breast,26000,Utah,49,1054,2244502,47
,2000,2000,Breast,26000,Vermont,50,471,609618,77.3
,2000,2000,Breast,26000,Virginia,51,4921,7105817,69.3
,2000,2000,Breast,26000,Washington,53,4482,5910512,75.8
,2000,2000,Breast,26000,West Virginia,54,1376,1807021,76.1
,2000,2000,Breast,26000,Wisconsin,55,4165,5373999,77.5
,2000,2000,Breast,26000,Wyoming,56,350,494300,70.8
,2001,2001,Breast,26000,Alabama,1,3121,4467634,69.9
,2001,2001,Breast,26000,Alaska,2,339,633714,53.5
,2001,2001,Breast,26000,Arizona,4,3535,5273477,67
,2001,2001,Breast,26000,Arkansas,5,1881,2691571,69.9
,2001,2001,Breast,26000,California,6,22410,34479458,65
,2001,2001,Breast,26000,Colorado,8,2857,4425687,64.6
,2001,2001,Breast,26000,Connecticut,9,3071,3432835,89.5
,2001,2001,Breast,26000,Delaware,10,608,795699,76.4
,2001,2001,Breast,26000,District of Columbia,11,457,574504,79.5
,2001,2001,Breast,26000,Florida,12,13903,16356966,85
,2001,2001,Breast,26000,Georgia,13,5250,8377038,62.7
,2001,2001,Breast,26000,Hawaii,15,922,1225948,75.2
,2001,2001,Breast,26000,Idaho,16,852,1319962,64.5
,2001,2001,Breast,26000,Illinois,17,9084,12488445,72.7
,2001,2001,Breast,26000,Indiana,18,4432,6127760,72.3
,2001,2001,Breast,26000,Iowa,19,2324,2931997,79.3
,2001,2001,Breast,26000,Kansas,20,2025,2702162,74.9
,2001,2001,Breast,26000,Kentucky,21,2890,4068132,71
,2001,2001,Breast,26000,Louisiana,22,2930,4477875,65.4
,2001,2001,Breast,26000,Maine,23,1137,1285692,88.4
,2001,2001,Breast,26000,Maryland,24,3810,5374691,70.9
,2001,2001,Breast,26000,Massachusetts,25,5098,6397634,79.7
,2001,2001,Breast,26000,Michigan,26,7423,9991120,74.3
,2001,2001,Breast,26000,Minnesota,27,3657,4982796,73.4
,2001,2001,Breast,26000,Missouri,29,4100,5641142,72.7
,2001,2001,Breast,26000,Montana,30,721,906961,79.5
,2001,2001,Breast,26000,Nebraska,31,1332,1719836,77.4
,2001,2001,Breast,26000,Nevada,32,1437,2098399,68.5
,2001,2001,Breast,26000,New Hampshire,33,989,1255517,78.8
,2001,2001,Breast,26000,New Jersey,34,6794,8492671,80
,2001,2001,Breast,26000,New Mexico,35,1144,1831690,62.5
,2001,2001,Breast,26000,New York,36,14060,19082838,73.7
,2001,2001,Breast,26000,North Carolina,37,5928,8210122,72.2
,2001,2001,Breast,26000,North Dakota,38,471,639062,73.7
,2001,2001,Breast,26000,Ohio,39,8458,11387404,74.3
,2001,2001,Breast,26000,Oklahoma,40,2556,3467100,73.7
,2001,2001,Breast,26000,Oregon,41,2848,3467937,82.1
,2001,2001,Breast,26000,Pennsylvania,42,10369,12298970,84.3
,2001,2001,Breast,26000,Rhode Island,44,832,1057142,78.7
,2001,2001,Breast,26000,South Carolina,45,2878,4064995,70.8
,2001,2001,Breast,26000,South Dakota,46,568,757972,74.9
,2001,2001,Breast,26000,Tennessee,47,3714,5750789,64.6
,2001,2001,Breast,26000,Texas,48,12648,21319622,59.3
,2001,2001,Breast,26000,Utah,49,1105,2283715,48.4
,2001,2001,Breast,26000,Vermont,50,498,612223,81.3
,2001,2001,Breast,26000,Virginia,51,4728,7198362,65.7
,2001,2001,Breast,26000,Washington,53,4635,5985722,77.4
,2001,2001,Breast,26000,West Virginia,54,1406,1801481,78
,2001,2001,Breast,26000,Wisconsin,55,4239,5406835,78.4
,2001,2001,Breast,26000,Wyoming,56,299,494657,60.4
,2002,2002,Breast,26000,Alabama,1,3094,4480089,69.1
,2002,2002,Breast,26000,Alaska,2,327,642337,50.9
,2002,2002,Breast,26000,Arizona,4,3541,5396255,65.6
,2002,2002,Breast,26000,Arkansas,5,1948,2705927,72
,2002,2002,Breast,26000,California,6,22596,34871843,64.8
,2002,2002,Breast,26000,Colorado,8,2851,4490406,63.5
,2002,2002,Breast,26000,Connecticut,9,2881,3458749,83.3
,2002,2002,Breast,26000,Delaware,10,583,806169,72.3
,2002,2002,Breast,26000,District of Columbia,11,407,573158,71
,2002,2002,Breast,26000,Florida,12,13907,16689370,83.3
,2002,2002,Breast,26000,Georgia,13,5306,8508256,62.4
,2002,2002,Breast,26000,Hawaii,15,910,1239613,73.4
,2002,2002,Breast,26000,Idaho,16,909,1340372,67.8
,2002,2002,Breast,26000,Illinois,17,8865,12525556,70.8
,2002,2002,Breast,26000,Indiana,18,4380,6155967,71.2
,2002,2002,Breast,26000,Iowa,19,2317,2934234,79
,2002,2002,Breast,26000,Kansas,20,2004,2713535,73.9
,2002,2002,Breast,26000,Kentucky,21,2835,4089875,69.3
,2002,2002,Breast,26000,Louisiana,22,2916,4497267,64.8
,2002,2002,Breast,26000,Maine,23,1061,1295960,81.9
,2002,2002,Breast,26000,Maryland,24,4013,5440389,73.8
,2002,2002,Breast,26000,Massachusetts,25,5089,6417206,79.3
,2002,2002,Breast,26000,Michigan,26,7354,10015710,73.4
,2002,2002,Breast,26000,Minnesota,27,3623,5018935,72.2
,2002,2002,Breast,26000,Missouri,29,4175,5674825,73.6
,2002,2002,Breast,26000,Montana,30,651,911667,71.4
,2002,2002,Breast,26000,Nebraska,31,1345,1728292,77.8
,2002,2002,Breast,26000,Nevada,32,1390,2173791,63.9
,2002,2002,Breast,26000,New Hampshire,33,1016,1269089,80.1
,2002,2002,Breast,26000,New Jersey,34,6571,8552643,76.8
,2002,2002,Breast,26000,New Mexico,35,1133,1855309,61.1
,2002,2002,Breast,26000,New York,36,14076,19137800,73.6
,2002,2002,Breast,26000,North Carolina,37,5731,8326201,68.8
,2002,2002,Breast,26000,North Dakota,38,467,638168,73.2
,2002,2002,Breast,26000,Ohio,39,8361,11407889,73.3
,2002,2002,Breast,26000,Oklahoma,40,2563,3489080,73.5
,2002,2002,Breast,26000,Oregon,41,2826,3513424,80.4
,2002,2002,Breast,26000,Pennsylvania,42,9953,12331031,80.7
,2002,2002,Breast,26000,Rhode Island,44,843,1065995,79.1
,2002,2002,Breast,26000,South Carolina,45,2863,4107795,69.7
,2002,2002,Breast,26000,South Dakota,46,621,760020,81.7
,2002,2002,Breast,26000,Tennessee,47,3879,5795918,66.9
,2002,2002,Breast,26000,Texas,48,13024,21690325,60
,2002,2002,Breast,26000,Utah,49,1052,2324815,45.3
,2002,2002,Breast,26000,Vermont,50,489,615442,79.5
,2002,2002,Breast,26000,Virginia,51,4928,7286873,67.6
,2002,2002,Breast,26000,Washington,53,4728,6052349,78.1
,2002,2002,Breast,26000,West Virginia,54,1302,1805414,72.1
,2002,2002,Breast,26000,Wisconsin,55,4012,5445162,73.7
,2002,2002,Breast,26000,Wyoming,56,334,500017,66.8
,2003,2003,Breast,26000,Alabama,1,2921,4503491,64.9
,2003,2003,Breast,26000,Alaska,2,375,648414,57.8
,2003,2003,Breast,26000,Arizona,4,3377,5510364,61.3
,2003,2003,Breast,26000,Arkansas,5,1810,2724816,66.4
,2003,2003,Breast,26000,California,6,21406,35253159,60.7
,2003,2003,Breast,26000,Colorado,8,2885,4528732,63.7
,2003,2003,Breast,26000,Connecticut,9,2767,3484336,79.4
,2003,2003,Breast,26000,Delaware,10,589,818003,72
,2003,2003,Breast,26000,District of Columbia,11,588,568502,103.4
,2003,2003,Breast,26000,Florida,12,13066,17004085,76.8
,2003,2003,Breast,26000,Georgia,13,5290,8622793,61.3
,2003,2003,Breast,26000,Hawaii,15,870,1251154,69.5
,2003,2003,Breast,26000,Idaho,16,819,1363380,60.1
,2003,2003,Breast,26000,Illinois,17,8259,12556006,65.8
,2003,2003,Breast,26000,Indiana,18,4013,6196638,64.8
,2003,2003,Breast,26000,Iowa,19,2161,2941999,73.5
,2003,2003,Breast,26000,Kansas,20,1860,2723004,68.3
,2003,2003,Breast,26000,Kentucky,21,2809,4117170,68.2
,2003,2003,Breast,26000,Louisiana,22,2932,4521042,64.9
