education_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Did not graduate High School",42,186,228,17.3100653991246,9.43900519081831,25.1811256074309,.,.,.
"Graduated High School",302,544,846,29.7495212784311,23.2833987102456,36.2156438466166,33.7135221008127,24.7003092094205,42.726734992205
"Attended College or Technical School",290,443,733,37.0373711991992,31.8289610622652,42.2457813361331,39.4077318845678,31.2530554768882,47.5624082922473
"Graduated from College or Technical School",642,594,1236,50.9929045818136,46.5224931378571,55.4633160257702,51.1699030420765,43.5651008457279,58.7747052384251
"Don’t know/Not sure/Missing",6,10,16,50.0781334391083,8.72996777975375,91.4262990984629,.,.,.
