Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Age Groups,Age Groups Code,Count,Population,Crude Rate
,1999,1999,Cervix Uteri,27010,Georgia,13,75-79 years,75-79,29,97066,29.9
,1999,1999,Cervix Uteri,27010,Illinois,17,25-29 years,25-29,30,444400,6.8
,1999,1999,Cervix Uteri,27010,Illinois,17,30-34 years,30-34,59,462016,12.8
,1999,1999,Cervix Uteri,27010,Illinois,17,35-39 years,35-39,78,507081,15.4
,1999,1999,Cervix Uteri,27010,Illinois,17,40-44 years,40-44,82,494067,16.6
,1999,1999,Cervix Uteri,27010,Illinois,17,45-49 years,45-49,87,435962,20
,1999,1999,Cervix Uteri,27010,Illinois,17,50-54 years,50-54,75,372180,20.2
,1999,1999,Cervix Uteri,27010,Illinois,17,55-59 years,55-59,61,294263,20.7
,1999,1999,Cervix Uteri,27010,Illinois,17,60-64 years ,60-64,64,243398,26.3
,1999,1999,Cervix Uteri,27010,Illinois,17,65-69 years,65-69,42,218646,19.2
,1999,1999,Cervix Uteri,27010,Illinois,17,70-74 years,70-74,28,214195,13.1
,1999,1999,Cervix Uteri,27010,Illinois,17,75-79 years,75-79,39,188910,20.6
,1999,1999,Cervix Uteri,27010,Illinois,17,80-84 years,80-84,24,140723,17.1
,1999,1999,Cervix Uteri,27010,Illinois,17,85+ years,85+,18,136788,13.2
,1999,1999,Cervix Uteri,27010,Indiana,18,25-29 years,25-29,21,207015,10.1
,1999,1999,Cervix Uteri,27010,Indiana,18,30-34 years,30-34,27,208587,12.9
,1999,1999,Cervix Uteri,27010,Indiana,18,35-39 years,35-39,31,242331,12.8
,1999,1999,Cervix Uteri,27010,Indiana,18,40-44 years,40-44,31,241078,12.9
,1999,1999,Cervix Uteri,27010,Indiana,18,45-49 years,45-49,39,215977,18.1
,1999,1999,Cervix Uteri,27010,Indiana,18,50-54 years,50-54,27,186461,14.5
,1999,1999,Cervix Uteri,27010,Indiana,18,55-59 years,55-59,21,148129,14.2
,1999,1999,Cervix Uteri,27010,Iowa,19,30-34 years,30-34,18,90838,19.8
,1999,1999,Cervix Uteri,27010,Iowa,19,35-39 years,35-39,21,110850,18.9
,1999,1999,Cervix Uteri,27010,Iowa,19,40-44 years,40-44,20,113276,17.7
,1999,1999,Cervix Uteri,27010,Iowa,19,45-49 years,45-49,22,104043,21.1
,1999,1999,Cervix Uteri,27010,Kansas,20,35-39 years,35-39,16,105555,15.2
,1999,1999,Cervix Uteri,27010,Kansas,20,40-44 years,40-44,18,106123,17
,1999,1999,Cervix Uteri,27010,Kansas,20,45-49 years,45-49,18,94241,19.1
,1999,1999,Cervix Uteri,27010,Kentucky,21,30-34 years,30-34,22,143778,15.3
,1999,1999,Cervix Uteri,27010,Kentucky,21,35-39 years,35-39,40,163406,24.5
,1999,1999,Cervix Uteri,27010,Kentucky,21,40-44 years,40-44,30,161290,18.6
,1999,1999,Cervix Uteri,27010,Kentucky,21,45-49 years,45-49,27,146446,18.4
,1999,1999,Cervix Uteri,27010,Kentucky,21,50-54 years,50-54,20,129037,15.5
,1999,1999,Cervix Uteri,27010,Kentucky,21,65-69 years,65-69,21,78112,26.9
,1999,1999,Cervix Uteri,27010,Louisiana,22,25-29 years,25-29,25,153448,16.3
,1999,1999,Cervix Uteri,27010,Louisiana,22,30-34 years,30-34,23,157043,14.6
,1999,1999,Cervix Uteri,27010,Louisiana,22,35-39 years,35-39,27,179140,15.1
,1999,1999,Cervix Uteri,27010,Louisiana,22,40-44 years,40-44,44,177785,24.7
,1999,1999,Cervix Uteri,27010,Louisiana,22,45-49 years,45-49,42,159237,26.4
,1999,1999,Cervix Uteri,27010,Louisiana,22,50-54 years,50-54,21,134149,15.7
,1999,1999,Cervix Uteri,27010,Louisiana,22,55-59 years,55-59,26,106780,24.3
,1999,1999,Cervix Uteri,27010,Louisiana,22,65-69 years,65-69,19,81554,23.3
,1999,1999,Cervix Uteri,27010,Louisiana,22,70-74 years,70-74,19,77225,24.6
,1999,1999,Cervix Uteri,27010,Maryland,24,30-34 years,30-34,18,214620,8.4
,1999,1999,Cervix Uteri,27010,Maryland,24,35-39 years,35-39,25,240697,10.4
,1999,1999,Cervix Uteri,27010,Maryland,24,40-44 years,40-44,26,229042,11.4
,1999,1999,Cervix Uteri,27010,Maryland,24,45-49 years,45-49,22,203747,10.8
,1999,1999,Cervix Uteri,27010,Maryland,24,50-54 years,50-54,30,178074,16.8
,1999,1999,Cervix Uteri,27010,Maryland,24,55-59 years,55-59,25,135372,18.5
,1999,1999,Cervix Uteri,27010,Maryland,24,75-79 years,75-79,17,76206,22.3
,1999,1999,Cervix Uteri,27010,Massachusetts,25,30-34 years,30-34,21,253627,8.3
,1999,1999,Cervix Uteri,27010,Massachusetts,25,35-39 years,35-39,34,274621,12.4
,1999,1999,Cervix Uteri,27010,Massachusetts,25,40-44 years,40-44,29,262923,11
,1999,1999,Cervix Uteri,27010,Massachusetts,25,45-49 years,45-49,29,232110,12.5
,1999,1999,Cervix Uteri,27010,Massachusetts,25,50-54 years,50-54,21,205092,10.2
,1999,1999,Cervix Uteri,27010,Michigan,26,25-29 years,25-29,27,334124,8.1
,1999,1999,Cervix Uteri,27010,Michigan,26,30-34 years,30-34,48,354483,13.5
,1999,1999,Cervix Uteri,27010,Michigan,26,35-39 years,35-39,50,400760,12.5
,1999,1999,Cervix Uteri,27010,Michigan,26,40-44 years,40-44,64,408224,15.7
,1999,1999,Cervix Uteri,27010,Michigan,26,45-49 years,45-49,54,364885,14.8
,1999,1999,Cervix Uteri,27010,Michigan,26,50-54 years,50-54,36,309095,11.6
,1999,1999,Cervix Uteri,27010,Michigan,26,55-59 years,55-59,30,242728,12.4
,1999,1999,Cervix Uteri,27010,Michigan,26,60-64 years ,60-64,33,195218,16.9
,1999,1999,Cervix Uteri,27010,Michigan,26,65-69 years,65-69,22,178428,12.3
,1999,1999,Cervix Uteri,27010,Michigan,26,70-74 years,70-74,29,176081,16.5
,1999,1999,Cervix Uteri,27010,Michigan,26,75-79 years,75-79,22,152847,14.4
,1999,1999,Cervix Uteri,27010,Minnesota,27,30-34 years,30-34,22,175948,12.5
,1999,1999,Cervix Uteri,27010,Minnesota,27,35-39 years,35-39,19,207444,9.2
