Notes,Year,Year Code,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Count,Population,Crude Rate
,2000,2000,Cervix Uteri,27010,Nevada,32,125,990315,12.6
,2000,2000,Cervix Uteri,27010,New Hampshire,33,65,630111,10.3
,2000,2000,Cervix Uteri,27010,New Jersey,34,468,4340112,10.8
,2000,2000,Cervix Uteri,27010,New Mexico,35,78,925624,8.4
,2000,2000,Cervix Uteri,27010,New York,36,1024,9842061,10.4
,2000,2000,Cervix Uteri,27010,North Carolina,37,388,4119034,9.4
,2000,2000,Cervix Uteri,27010,North Dakota,38,22,321555,6.8
,2000,2000,Cervix Uteri,27010,Ohio,39,531,5845425,9.1
,2000,2000,Cervix Uteri,27010,Oklahoma,40,182,1756493,10.4
,2000,2000,Cervix Uteri,27010,Oregon,41,152,1728647,8.8
,2000,2000,Cervix Uteri,27010,Pennsylvania,42,628,6351999,9.9
,2000,2000,Cervix Uteri,27010,Rhode Island,44,49,545774,9
,2000,2000,Cervix Uteri,27010,South Carolina,45,198,2068627,9.6
,2000,2000,Cervix Uteri,27010,Tennessee,47,282,2926133,9.6
,2000,2000,Cervix Uteri,27010,Texas,48,1144,10545156,10.8
,2000,2000,Cervix Uteri,27010,Utah,49,64,1119827,5.7
,2000,2000,Cervix Uteri,27010,Vermont,50,37,310849,11.9
,2000,2000,Cervix Uteri,27010,Virginia,51,287,3619742,7.9
,2000,2000,Cervix Uteri,27010,Washington,53,235,2967734,7.9
,2000,2000,Cervix Uteri,27010,West Virginia,54,113,928269,12.2
,2000,2000,Cervix Uteri,27010,Wisconsin,55,258,2719235,9.5
,2000,2000,Cervix Uteri,27010,Wyoming,56,22,245584,9
,2001,2001,Cervix Uteri,27010,Alabama,1,232,2309496,10
,2001,2001,Cervix Uteri,27010,Alaska,2,29,305579,9.5
,2001,2001,Cervix Uteri,27010,Arizona,4,208,2641676,7.9
,2001,2001,Cervix Uteri,27010,Arkansas,5,159,1376845,11.5
,2001,2001,Cervix Uteri,27010,California,6,1535,17294223,8.9
,2001,2001,Cervix Uteri,27010,Colorado,8,168,2195705,7.7
,2001,2001,Cervix Uteri,27010,Connecticut,9,136,1768959,7.7
,2001,2001,Cervix Uteri,27010,Delaware,10,42,409349,10.3
,2001,2001,Cervix Uteri,27010,District of Columbia,11,37,303740,12.2
,2001,2001,Cervix Uteri,27010,Florida,12,1005,8372776,12
,2001,2001,Cervix Uteri,27010,Georgia,13,393,4256162,9.2
,2001,2001,Cervix Uteri,27010,Hawaii,15,58,609189,9.5
,2001,2001,Cervix Uteri,27010,Idaho,16,42,658043,6.4
,2001,2001,Cervix Uteri,27010,Illinois,17,645,6370443,10.1
,2001,2001,Cervix Uteri,27010,Indiana,18,291,3120158,9.3
,2001,2001,Cervix Uteri,27010,Iowa,19,119,1492287,8
,2001,2001,Cervix Uteri,27010,Kansas,20,129,1365966,9.4
,2001,2001,Cervix Uteri,27010,Kentucky,21,243,2076871,11.7
,2001,2001,Cervix Uteri,27010,Louisiana,22,228,2308063,9.9
,2001,2001,Cervix Uteri,27010,Maine,23,64,659657,9.7
,2001,2001,Cervix Uteri,27010,Maryland,24,200,2779864,7.2
,2001,2001,Cervix Uteri,27010,Massachusetts,25,227,3312567,6.9
,2001,2001,Cervix Uteri,27010,Michigan,26,463,5089289,9.1
,2001,2001,Cervix Uteri,27010,Minnesota,27,175,2514149,7
,2001,2001,Cervix Uteri,27010,Missouri,29,272,2895476,9.4
,2001,2001,Cervix Uteri,27010,Montana,30,48,454683,10.6
,2001,2001,Cervix Uteri,27010,Nebraska,31,66,871208,7.6
,2001,2001,Cervix Uteri,27010,Nevada,32,90,1030850,8.7
,2001,2001,Cervix Uteri,27010,New Hampshire,33,45,637412,7.1
,2001,2001,Cervix Uteri,27010,New Jersey,34,478,4369932,10.9
,2001,2001,Cervix Uteri,27010,New Mexico,35,90,930387,9.7
,2001,2001,Cervix Uteri,27010,New York,36,953,9878713,9.6
,2001,2001,Cervix Uteri,27010,North Carolina,37,336,4187317,8
,2001,2001,Cervix Uteri,27010,North Dakota,38,16,319787,5
,2001,2001,Cervix Uteri,27010,Ohio,39,481,5853691,8.2
,2001,2001,Cervix Uteri,27010,Oklahoma,40,212,1760052,12
,2001,2001,Cervix Uteri,27010,Oregon,41,144,1747889,8.2
,2001,2001,Cervix Uteri,27010,Pennsylvania,42,569,6354395,9
,2001,2001,Cervix Uteri,27010,Rhode Island,44,46,548974,8.4
,2001,2001,Cervix Uteri,27010,South Carolina,45,213,2089963,10.2
,2001,2001,Cervix Uteri,27010,South Dakota,46,30,381537,7.9
,2001,2001,Cervix Uteri,27010,Tennessee,47,237,2948421,8
,2001,2001,Cervix Uteri,27010,Texas,48,1178,10731190,11
,2001,2001,Cervix Uteri,27010,Utah,49,60,1139182,5.3
,2001,2001,Cervix Uteri,27010,Vermont,50,23,311779,7.4
,2001,2001,Cervix Uteri,27010,Virginia,51,297,3665386,8.1
,2001,2001,Cervix Uteri,27010,Washington,53,225,3002080,7.5
,2001,2001,Cervix Uteri,27010,West Virginia,54,127,923643,13.7
,2001,2001,Cervix Uteri,27010,Wisconsin,55,186,2733647,6.8
,2001,2001,Cervix Uteri,27010,Wyoming,56,18,245327,7.3
,2002,2002,Cervix Uteri,27010,Alabama,1,261,2314370,11.3
,2002,2002,Cervix Uteri,27010,Alaska,2,23,309633,7.4
,2002,2002,Cervix Uteri,27010,Arizona,4,200,2704217,7.4
,2002,2002,Cervix Uteri,27010,Arkansas,5,121,1383239,8.7
,2002,2002,Cervix Uteri,27010,California,6,1557,17498462,8.9
,2002,2002,Cervix Uteri,27010,Colorado,8,168,2228665,7.5
,2002,2002,Cervix Uteri,27010,Connecticut,9,121,1780500,6.8
,2002,2002,Cervix Uteri,27010,Delaware,10,37,414652,8.9
,2002,2002,Cervix Uteri,27010,District of Columbia,11,33,303146,10.9
,2002,2002,Cervix Uteri,27010,Florida,12,970,8541734,11.4
,2002,2002,Cervix Uteri,27010,Georgia,13,418,4327934,9.7
,2002,2002,Cervix Uteri,27010,Hawaii,15,47,616192,7.6
,2002,2002,Cervix Uteri,27010,Idaho,16,51,668686,7.6
