income_group,state_name,state_fips,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"$50,000 to < $75,000","West Virginia",54,165,28,193,82.987499597066,76.3800845757356,89.5949146183964,83.679066096909,73.7939897687516,93.5641424250664
"$75,000 to < $100,000","West Virginia",54,122,17,139,87.0071110138448,80.1712777291254,93.8429442985642,88.5075809359785,80.4704684796863,96.5446933922708
"$100,000 to < $200,000","West Virginia",54,135,18,153,88.1419043906774,82.2817227349004,94.0020860464543,89.7376145770827,81.8078269911975,97.6674021629679
"$200,000 or more","West Virginia",54,24,4,28,88.1317691560141,75.8951896562575,100,92.0312048667343,80.9221363261897,100
"Don’t know/Not sure/Missing","West Virginia",54,176,55,231,74.5445932865668,67.1934903951306,81.8956961780031,74.4910791713736,63.3254842480909,85.6566740946563
"Less than $15,000",Wisconsin,55,99,41,140,71.4403974306283,61.6088122712353,81.2719825900213,74.2392455899595,61.6138795312512,86.8646116486677
"$15,000 to < $25,000",Wisconsin,55,165,64,229,74.1368085149019,67.1336981411915,81.1399188886123,75.2332835073561,65.2472940461658,85.2192729685463
"$25,000 to < $35,000",Wisconsin,55,225,43,268,80.1547260306335,72.8156150102936,87.4938370509734,79.1907690008898,66.1922824729752,92.1892555288045
"$35,000 to < $50,000",Wisconsin,55,271,59,330,81.1369213731118,75.9738782328844,86.2999645133391,80.8231631397003,72.9159040959092,88.7304221834914
"$50,000 to < $75,000",Wisconsin,55,357,81,438,80.6925025001963,75.9225725355345,85.4624324648582,80.9880619059256,73.7099427226983,88.2661810891529
"$75,000 to < $100,000",Wisconsin,55,308,46,354,84.8971775321621,78.9286039185665,90.8657511457577,85.7372421768871,79.1451977422827,92.3292866114915
"$100,000 to < $200,000",Wisconsin,55,347,58,405,88.5594451505982,85.0572160583732,92.0616742428232,89.0564064443801,83.6883041453691,94.4245087433911
"$200,000 or more",Wisconsin,55,69,11,80,88.2564109177318,78.9449395574983,97.5678822779654,90.9982139401442,81.6571772679252,100
"Don’t know/Not sure/Missing",Wisconsin,55,406,87,493,81.2536737360019,76.7534158417406,85.7539316302632,81.1440603973797,73.4344650800747,88.8536557146846
"Less than $15,000",Wyoming,56,17,21,38,41.3664917267058,23.8333906006388,58.8995928527729,.,.,.
"$15,000 to < $25,000",Wyoming,56,46,39,85,54.8317287548036,42.9076481732908,66.7558093363164,56.002772918665,37.0884263210512,74.9171195162788
"$25,000 to < $35,000",Wyoming,56,61,35,96,55.6893080792994,44.5656242697386,66.8129918888602,55.2702036622628,34.5547873129838,75.9856200115418
"$35,000 to < $50,000",Wyoming,56,84,59,143,54.900742233502,45.4561507485308,64.3453337184732,49.9246606563483,34.4440745657533,65.4052467469432
"$50,000 to < $75,000",Wyoming,56,139,49,188,71.3602030705612,63.0976258571002,79.6227802840221,70.4963270075036,56.9620602312832,84.0305937837241
"$75,000 to < $100,000",Wyoming,56,114,37,151,73.8515117475842,65.6286627665875,82.0743607285808,76.3052884146737,64.310846389011,88.2997304403364
"$100,000 to < $200,000",Wyoming,56,99,37,136,70.3782421224464,61.4042236247407,79.352260620152,71.2635236271743,56.9696543435184,85.5573929108302
"$200,000 or more",Wyoming,56,20,4,24,83.3852002626517,64.8316828248446,100,89.1156383705223,70.3426283754066,100
"Don’t know/Not sure/Missing",Wyoming,56,126,56,182,67.9080422046351,59.7961807138251,76.0199036954452,65.2887789688475,51.0023777803933,79.5751801573017
