income_group,bene_yes,bene_no,total_bene,bene_yes_pct,bene_yes_pct_lcl,bene_yes_pct_ucl,age_adjusted_pct,age_adjusted_pct_lcl,age_adjusted_pct_ucl
"Less than $15,000",3664,1995,5659,63.6884144319776,61.0795523912747,66.2972764726805,63.3997154634024,60.1105058030131,66.6889251237917
"$15,000 to < $25,000",6024,2700,8724,67.9341558696956,65.6831849751549,70.1851267642363,67.8168724058192,64.4466287323115,71.1871160793269
"$25,000 to < $35,000",7032,2647,9679,71.6913841225325,69.7000217683523,73.6827464767126,71.3403674024072,68.4476531561833,74.2330816486311
"$35,000 to < $50,000",8431,2625,11056,75.8517647841058,74.2442814084065,77.459248159805,75.54745804906,73.0274915862184,78.0674245119015
"$50,000 to < $75,000",11622,2993,14615,78.3254108032943,76.8787057457945,79.7721158607942,78.4934488120593,76.3026645471742,80.6842330769444
"$75,000 to < $100,000",9663,2132,11795,81.5159006859989,80.0332313139947,82.9985700580031,82.2063431297142,79.9604172711851,84.4522689882432
"$100,000 to < $200,000",13060,2719,15779,81.7758821514143,80.3006409861436,83.2511233166849,82.4792287888557,79.9379129653811,85.0205446123302
"$200,000 or more",3729,657,4386,86.2664073796294,84.5921419229425,87.9406728363164,85.675847714271,82.4556902477685,88.8960051807735
"Don’t know/Not sure/Missing",14580,4004,18584,77.118820437428,75.7732210778629,78.464419796993,77.0301272764415,74.8932007672746,79.1670537856084
