time_period,state_fips,total_state_leg_count
2026,30,150
2025,30,150
2024,30,150
2023,30,150
2022,30,150
2021,30,150
2020,30,150
2019,30,150
2018,30,150
2017,30,150
2016,30,150
2015,30,150
2014,30,150
2013,30,150
2012,30,150
2011,30,150
2010,30,150
2009,30,150
2008,30,150
2007,30,150
2006,30,150
2005,30,150
2004,30,150
2003,30,150
2002,30,150
2001,30,150
2000,30,150
1999,30,150
1998,30,150
1997,30,150
1996,30,150
1995,30,150
1994,30,150
1993,30,150
1992,30,150
1991,30,150
1990,30,150
1989,30,150
1988,30,150
1987,30,150
1986,30,150
1985,30,150
1984,30,150
1983,30,150
1982,30,150
1981,30,150
1980,30,150
1979,30,150
1978,30,150
1977,30,150
1976,30,150
1975,30,150
