time_period,state_fips,total_state_leg_count
2026,17,177
2025,17,177
2024,17,177
2023,17,177
2022,17,177
2021,17,177
2020,17,177
2019,17,177
2018,17,177
2017,17,177
2016,17,177
2015,17,177
2014,17,177
2013,17,177
2012,17,177
2011,17,177
2010,17,177
2009,17,177
2008,17,177
2007,17,177
2006,17,177
2005,17,177
2004,17,177
2003,17,177
2002,17,177
2001,17,177
2000,17,177
1999,17,177
1998,17,177
1997,17,177
1996,17,177
1995,17,177
1994,17,177
1993,17,177
1992,17,177
1991,17,177
1990,17,177
1989,17,177
1988,17,177
1987,17,177
1986,17,177
1985,17,177
1984,17,177
1983,17,177
1982,17,236
1981,17,236
1980,17,236
1979,17,236
1978,17,236
1977,17,236
1976,17,235
1975,17,236
