time_period,state_fips,total_state_leg_count
2026,25,200
2025,25,200
2024,25,200
2023,25,200
2022,25,200
2021,25,200
2020,25,200
2019,25,200
2018,25,200
2017,25,200
2016,25,200
2015,25,200
2014,25,200
2013,25,200
2012,25,200
2011,25,200
2010,25,200
2009,25,200
2008,25,200
2007,25,200
2006,25,200
2005,25,200
2004,25,200
2003,25,200
2002,25,200
2001,25,200
2000,25,200
1999,25,200
1998,25,200
1997,25,200
1996,25,200
1995,25,200
1994,25,200
1993,25,200
1992,25,200
1991,25,200
1990,25,200
1989,25,200
1988,25,200
1987,25,200
1986,25,200
1985,25,200
1984,25,200
1983,25,200
1982*,25,200
1981,25,200
1980,25,200
1979,25,200
1978,25,280
1977,25,280
1976,25,280
1975,25,280
