time_period,state_fips,total_state_leg_count
2026,26,148
2025,26,148
2024,26,148
2023,26,148
2022,26,148
2021,26,148
2020,26,148
2019,26,148
2018,26,148
2017,26,148
2016,26,148
2015,26,148
2014,26,148
2013,26,148
2012,26,148
2011,26,148
2010,26,148
2009,26,148
2008,26,148
2007,26,148
2006,26,148
2005,26,148
2004,26,148
2003,26,148
2002,26,148
2001,26,148
2000,26,148
1999,26,148
1998,26,148
1997,26,148
1996,26,148
1995,26,148
1994,26,148
1993,26,148
1992,26,148
1991,26,148
1990,26,148
1989,26,148
1988,26,148
1987,26,148
1986,26,148
1985,26,148
1984,26,148
1983,26,148
1982,26,148
1981,26,148
1980,26,148
1979,26,148
1978,26,148
1977,26,148
1976,26,148
1975,26,148
