time_period,state_fips,total_state_leg_count
2026,46,105
2025,46,105
2024,46,105
2023,46,105
2022,46,105
2021,46,105
2020,46,105
2019,46,105
2018,46,105
2017,46,105
2016,46,105
2015,46,105
2014,46,105
2013,46,105
2012,46,105
2011,46,105
2010,46,105
2009,46,105
2008,46,105
2007,46,105
2006,46,105
2005,46,105
2004,46,105
2003,46,105
2002,46,105
2001,46,105
2000,46,105
1999,46,105
1998,46,105
1997,46,105
1996,46,105
1995,46,105
1994,46,105
1993,46,105
1992,46,105
1991,46,105
1990,46,105
1989,46,105
1988,46,105
1987,46,105
1986,46,105
1985,46,105
1984,46,105
1983,46,105
1982,46,105
1981,46,105
1980,46,105
1979,46,105
1978,46,105
1977,46,105
1976,46,105
1975,46,105
