time_period,state_fips,total_state_leg_count
2026,39,132
2025,39,132
2024,39,132
2023,39,132
2022,39,132
2021,39,132
2020,39,132
2019,39,132
2018,39,132
2017,39,132
2016,39,132
2015,39,132
2014,39,132
2013,39,132
2012,39,132
2011,39,132
2010,39,132
2009,39,132
2008,39,132
2007,39,132
2006,39,132
2005,39,132
2004,39,132
2003,39,132
2002,39,132
2001,39,132
2000,39,132
1999,39,132
1998,39,132
1997,39,132
1996,39,132
1995,39,132
1994,39,132
1993,39,132
1992,39,132
1991,39,132
1990,39,132
1989,39,132
1988,39,132
1987,39,132
1986,39,132
1985,39,132
1984,39,132
1983,39,132
1982,39,132
1981,39,132
1980,39,132
1979,39,132
1978,39,132
1977,39,132
1976,39,132
1975,39,132
