time_period,state_fips,total_state_leg_count
2026,55,132
2025,55,132
2024,55,132
2023,55,132
2022,55,132
2021,55,132
2020,55,132
2019,55,132
2018,55,132
2017,55,132
2016,55,132
2015,55,132
2014,55,132
2013,55,132
2012,55,132
2011,55,132
2010,55,132
2009,55,132
2008,55,132
2007,55,132
2006,55,132
2005,55,132
2004,55,132
2003,55,132
2002,55,132
2001,55,132
2000,55,132
1999,55,132
1998,55,132
1997,55,132
1996,55,132
1995,55,132
1994,55,132
1993,55,132
1992,55,132
1991,55,132
1990,55,132
1989,55,132
1988,55,132
1987,55,132
1986,55,132
1985,55,132
1984,55,132
1983,55,132
1982,55,132
1981,55,132
1980,55,132
1979,55,132
1978,55,132
1977,55,132
1976,55,132
1975,55,132
