time_period,state_fips,total_state_leg_count
2026,15,76
2025,15,76
2024,15,76
2023,15,76
2022,15,76
2021,15,76
2020,15,76
2019,15,76
2018,15,76
2017,15,76
2016,15,76
2015,15,76
2014,15,76
2013,15,76
2012,15,76
2011,15,76
2010,15,76
2009,15,76
2008,15,76
2007,15,76
2006,15,76
2005,15,76
2004,15,76
2003,15,76
2002,15,76
2001,15,76
2000,15,76
1999,15,76
1998,15,76
1997,15,76
1996,15,76
1995,15,76
1994,15,76
1993,15,76
1992,15,76
1991,15,76
1990,15,76
1989,15,76
1988,15,76
1987,15,76
1986,15,76
1985,15,76
1984,15,76
1983,15,76
1982,15,76
1981,15,76
1980,15,76
1979,15,76
1978,15,76
1977,15,76
1976,15,76
1975,15,76
