time_period,state_fips,total_state_leg_count
2026,48,181
2025,48,181
2024,48,181
2023,48,181
2022,48,181
2021,48,181
2020,48,181
2019,48,181
2018,48,181
2017,48,181
2016,48,181
2015,48,181
2014,48,181
2013,48,181
2012,48,181
2011,48,181
2010,48,181
2009,48,181
2008,48,181
2007,48,181
2006,48,181
2005,48,181
2004,48,181
2003,48,181
2002,48,181
2001,48,181
2000,48,181
1999,48,181
1998,48,181
1997,48,181
1996,48,181
1995,48,181
1994,48,181
1993,48,181
1992,48,181
1991,48,181
1990,48,181
1989,48,181
1988,48,181
1987,48,181
1986,48,181
1985,48,181
1984,48,181
1983,48,181
1982,48,181
1981,48,181
1980,48,181
1979,48,181
1978,48,181
1977,48,181
1976,48,181
1975,48,181
