time_period,state_fips,total_state_leg_count
2026,34,120
2025,34,120
2024,34,120
2023,34,120
2022,34,120
2021,34,120
2020,34,120
2019,34,120
2018,34,120
2017,34,120
2016,34,120
2015,34,120
2014,34,120
2013,34,120
2012,34,120
2011,34,120
2010,34,120
2009,34,120
2008,34,120
2007,34,120
2006,34,120
2005,34,120
2004,34,120
2003,34,120
2002,34,120
2001,34,120
2000,34,120
1999,34,120
1998,34,120
1997,34,120
1996,34,120
1995,34,120
1994,34,120
1993,34,120
1992,34,120
1991,34,120
1990,34,120
1989,34,120
1988,34,120
1987,34,120
1986,34,120
1985,34,120
1984,34,120
1983,34,120
1982,34,120
1981,34,120
1980,34,120
1979,34,120
1978,34,120
1977,34,120
1976,34,120
1975,34,120
