time_period,state_fips,total_state_leg_count
2026,19,150
2025,19,150
2024,19,150
2023,19,150
2022,19,150
2021,19,150
2020,19,150
2019,19,150
2018,19,150
2017,19,150
2016,19,150
2015,19,150
2014,19,150
2013,19,150
2012,19,150
2011,19,150
2010,19,150
2009,19,150
2008,19,150
2007,19,150
2006,19,150
2005,19,150
2004,19,150
2003,19,150
2002,19,150
2001,19,150
2000,19,150
1999,19,150
1998,19,150
1997,19,150
1996,19,150
1995,19,150
1994,19,150
1993,19,150
1992,19,150
1991,19,150
1990,19,150
1989,19,150
1988,19,150
1987,19,150
1986,19,150
1985,19,150
1984,19,150
1983,19,150
1982,19,150
1981,19,150
1980,19,150
1979,19,150
1978,19,150
1977,19,150
1976,19,150
1975,19,150
