time_period,state_fips,total_state_leg_count
2026,54,134
2025,54,134
2024,54,134
2023,54,134
2022,54,134
2021,54,134
2020,54,134
2019,54,134
2018,54,134
2017,54,134
2016,54,134
2015,54,134
2014,54,134
2013,54,134
2012,54,134
2011,54,134
2010,54,134
2009,54,134
2008,54,134
2007,54,134
2006,54,134
2005,54,134
2004,54,134
2003,54,134
2002,54,134
2001,54,134
2000,54,134
1999,54,134
1998,54,134
1997,54,134
1996,54,134
1995,54,134
1994,54,134
1993,54,134
1992,54,134
1991,54,134
1990,54,134
1989,54,134
1988,54,134
1987,54,134
1986,54,134
1985,54,134
1984,54,134
1983,54,134
1982,54,134
1981,54,134
1980,54,134
1979,54,134
1978,54,134
1977,54,134
1976,54,134
1975,54,134
