time_period,state_fips,total_state_leg_count
2026,01,140
2025,01,140
2024,01,140
2023,01,140
2022,01,140
2021,01,140
2020,01,140
2019,01,140
2018,01,140
2017,01,140
2016,01,140
2015,01,140
2014,01,140
2013,01,140
2012,01,140
2011,01,140
2010,01,140
2009,01,140
2008,01,140
2007,01,140
2006,01,140
2005,01,140
2004,01,140
2003,01,140
2002,01,140
2001,01,140
2000,01,140
1999,01,140
1998,01,140
1997,01,140
1996,01,140
1995,01,140
1994,01,140
1993,01,140
1992,01,140
1991,01,140
1990,01,140
1989,01,140
1988,01,140
1987,01,140
1986,01,140
1985,01,140
1984,01,140
1983,01,140
1982,01,140
1981,01,140
1980,01,140
1979,01,140
1978,01,140
1977,01,140
1976,01,140
1975,01,140
