time_period,state_fips,total_state_leg_count
2025,41,90
2024,41,90
2023,41,90
2022,41,90
2021,41,90
2020,41,90
2019,41,90
2018,41,90
2017,41,90
2016,41,90
2015,41,90
2014,41,90
2013,41,90
2012,41,90
2011,41,90
2010,41,90
2009,41,90
2008,41,90
2007,41,90
2006,41,90
2005,41,90
2004,41,90
2003,41,90
2002,41,90
2001,41,90
2000,41,90
1999,41,90
1998,41,90
1997,41,90
1996,41,90
1995,41,90
1994,41,90
1993,41,90
1992,41,90
1991,41,90
1990,41,90
1989,41,90
1988,41,90
1987,41,90
1986,41,90
1985,41,90
1984,41,90
1983,41,90
1982,41,90
1981,41,90
1980,41,90
1979,41,90
1978,41,90
1977,41,90
1976,41,90
1975,41,90
