time_period,state_fips,total_state_leg_count
2026,20,165
2025,20,165
2024,20,165
2023,20,165
2022,20,165
2021,20,165
2020,20,165
2019,20,165
2018,20,165
2017,20,165
2016,20,165
2015,20,165
2014,20,165
2013,20,165
2012,20,165
2011,20,165
2010,20,165
2009,20,165
2008,20,165
2007,20,165
2006,20,165
2005,20,165
2004,20,165
2003,20,165
2002,20,165
2001,20,165
2000,20,165
1999,20,165
1998,20,165
1997,20,165
1996,20,165
1995,20,165
1994,20,165
1993,20,165
1992,20,165
1991,20,165
1990,20,165
1989,20,165
1988,20,165
1987,20,165
1986,20,165
1985,20,165
1984,20,165
1983,20,165
1982,20,165
1981,20,165
1980,20,165
1979,20,165
1978,20,165
1977,20,165
1976,20,165
1975,20,165
